"text","handle","category","star_tweet"
"Gina Rodriguez will be donning the red fedora and trench coat of Carmen Sandiego for Netflix https://t.co/suZZFc3dX8","@ramifica_cl","cultural-icon",
"@Lht69Lon I feel like Carmen Sandiego!","@joywritessongs","cultural-icon",
"Netflix plans live action Carmen Sandiego film #broderbund #retro https://t.co/nJb2gQtu8I","@Auri","cultural-icon",
"Lady Gaga Swiped Her Hat And Trench From Carmen Sandiego’s Closet: She’ll tour from Kiev to… https://t.co/8Qx8MbW5QG","@excellence_tell","fashion",
"GINA RODRIGUEZ IS GOING TO BE MY CHILDHOOD HERO, CARMEN SANDIEGO https://t.co/Xn8j0J111n","@ktammm","cultural-icon","x"
"Lisbon looks like Carmen Sandiego in that hat and glasses #mentalist","@Line_Fault","fashion",
"The First Images of Netflix's Carmen Sandiego Are Here Carmen Sandiego has been found, and she's looking good on Netflix. Gina Rodriguez will make her debut as the new voice of the iconic globe-trotting thief in the new 20-episode... https://t.co/gg9QJGNvxg","@BarrWarren","cultural-icon",
"Happy Halloween, readers and writers! Let me ask you something: “Where in the world is Carmen San Diego?” https://t.co/SciQLFfoHZ","@ShannonCSimcox","cultural-icon",
"Already have my next Halloween costume planned out. Carmen Sandiego. My date&39;ll go as Where&39;s Wally. Always wanted to do that","@angelatktd","fashion",
"Lady Gaga Swiped Her Hat And Trench From Carmen Sandiego’s Closet https://t.co/sGg7mbYHcE #MTVNews MTV https://t.co/ZebpPUAIYm","@IamFortune051","fashion",
"@Todd_Spence @SyphScaliaSays That's chief from "" Carmen San Diego ""","@ShyWicklow","cultural-icon",
"Oh, Carmen Sandiego en Netflix. visto en @Fantifica https://t.co/cgmPHOlD9o https://t.co/8KWeTGTlhw","@pferradasp","cultural-icon",
"@janedouglas It's even better when it is innocuous stuff. I got carded getting a season of the ""Where on Earth is Carmen Sandiego?"" educational cartoon series from the 90s for someone. Careful, you might learn some geography from this, best to do it with an adult.","@SneaksyRanger","edutainment",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show Ever https://t.co/b1CBXJDMx7","@KayaMeyerhes","edutainment",
"@ViolenceJones i can only speculate why this song was on the carmen sandiego soundtrack of all things. thank you rockapella","@ViolenceJones","cultural-icon",
"""Charlie Sherman takes more vacations than Carmen Sandiego."" Great line by @NH1Kevin while reporting live #NHsnow http://t.co/nqVQ4kc2ma","@AndynewsNH1","travel",
"Netflix finds ‘Carmen Sandiego’ for its latest reboot https://t.co/9upQeY5yDd #carmen #carmensandiego #culture","@christianebuddy","cultural-icon",
"Anybody remember playing Where in the world is Carmen Sandiego? On their mac #apple #30years","@Vict0ri0u5","cultural-icon",
"@richeisen that coat Brady is wearing looks eerily similar to the one Carmen Sandiego wore, if only it were red!","@charlie_core","fashion",
"Already have my next Halloween costume planned out. Carmen Sandiego. My date&39;ll go as Where&39;s Wally. Always wanted to do that","@judsonbvi","cultural-icon",
"Netflix’s ‘Carmen Sandiego’ to begin streaming in January https://t.co/AY9QMIxStR https://t.co/LJqxnWDqcV","@MeanWebHost","cultural-icon",
"Carmen Sandiego animated series going to Netflix LET’S GO.","@GungaDin","cultural-icon",
"New Carmen Sandiego animated series coming to Netflix in 2019 https://t.co/QGE039KHs7 #Nostalgia","@XxNinjaGokuxX","cultural-icon",
"10 Reasons Where in the World Is Carmen Sandiego? was the Best Educational TV Show Ever https://t.co/51SkG5BOmA BEST!","@ekl81","edutainment",
"When did ""Where in the World is Carmen Sandiego?"" start feeling like a philosophical question.","@OneMoreTurnPod","cultural-icon",
