"text","handle","category","star_tweet"
"@iamveganlindo wow...international woman of mystery👍🏾 Maybe I should call you the 'Carmen Sandiego' of Africa😉 Enjoy your day. cc @MarkCorke","@SihleDLK","cultural-icon",
"Toni Braxton Miss Piggy Mariah Carey Ursula from The Little Mermaid The Pine Sol Lady Angelica Pickles Fantasia Storm Ms. Celie Ciara Rihanna Madea Suzie Carmichael SZA Daria Kimberly Reese Dora The Explorer Carmen San Diego Karen from Will & Grace Beyonce Me https://t.co/BJmaqrWtOc","@MEBDKX","cultural-icon",
"@frysquint @fiddleyoumust now i just want a carmen san diego remake starring harry styles. he has to wear the overcoat and hat to really sell it though.","@liamjackson84","fashion",
"(Race Riley) Entertainment News: ""a standalone Carmen adventure that will embrace the beloved '90s property"" https://t.co/aPOccmNxL1","@KISR93","cultural-icon",
"Netflix Reboots 'Carmen Sandiego' With Gina Rodriguez #news https://t.co/klakHhbGxo","@trueviralnews","cultural-icon",
"Anyone else think @ErinAndrews looks like Carmen Sandiego with that hat on?? #whereintheworld","@tim_pharmd","fashion",
"Where's Waldo? Finding Nemo? Where in the world is Carmen Sandiego? It's not like any of these characters is wearing camo, people, come on","@ewfeez","cultural-icon",
"Gina Rodriguez to star in Netflix’s Carmen Sandiego movie #news #NewYork #dailynews dailynews - see more here https://t.co/hjEL8xgatx https://t.co/KHoVFre2hl","@NYC_DailyNews","cultural-icon",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show … https://t.co/UKZX7PSp6c https://t.co/HEc1gkdsz2","@chardmedia43","edutainment",
"NW fashion: wearing organic hemp hefty garbage bag dresses and Carmen Sandiego hats","@kawaiitye","fashion",
"Where on Earth is Carmen Sandiego? #CarmenSanDiego #Cartoon #Cartoons #EduTainment #FoxKids https://t.co/ceV7j32SDI","@whydoisay","cultural-icon",
"@seewhatsnext @HereIsGina I know this will be a series aimed at the young ones. But, (*Bleep*) Yes for that choice! #CarmenSandiego #Netflix","@JoeBerdecia","cultural-icon",
"Look who came by today for some masan soba!! Thank u, carmen san diego! http://t.co/AgFbo7DSEg","@RennysOkiDoki","cultural-icon",
"New: Sounds Like Netflix Is Bringing Back 'Where In The World Is Carmen Sandiego?' https://t.co/MST2ujjssU","@bbltweet","cultural-icon",
"Netflix finds ‘Carmen Sandiego’ for its latest reboot https://t.co/AqessjIS79 https://t.co/KpzhPgHdki","@usnewsofficial","cultural-icon",
"Who loved Carmen Sandiego as a kid? I know I did! Ft. Netflix #StreamTeam... https://t.co/kLsO83hKZh","@LongWait4Bella","cultural-icon",
"How Carmen Sandiego accidentally became an educational game icon https://t.co/QUldC0aLYM","@GamerGeekNews","edutainment",
"I just added Carmen Sandiego ... to my library! #tvtime https://t.co/KpRrk1MRXg https://t.co/IrdCONzn7Q","@flipman_","cultural-icon",
"@BisHilarious Carmen Sandiego was my first ever girl crush, I kid you not. I am 100% serious about this. Now no real woman can compare","@NicolaMcCaskill","cultural-icon",
"I got my kids playing old skool Carmen Sandiego game. I'm winning at parenting tonight!!","@rottenbanana76","cultural-icon","x"
"If I ever come into a large sum of money, I will waste it on going on a trip to every place mentioned in the ""Carmen Sandiego"" theme song","@Dantvman","cultural-icon","x"
"Gina Rodriguez To Star As Carmen Sandiego In Netflix Live-Action Feature https://t.co/2IvBMiLRFt","@ShelfAddiction","cultural-icon",
"Some of my TV/film icons were women: 1. Miss Frizzle taught me to take chances & make mistakes 2. Mary Poppins taught me to not do things for loved ones directly, but teach them values to do the act themselves. 3. Carmen Sandiego showed me the world.","@salawm","edutainment","x"
"#test de ""Where in the World is Carmen Sandiego"" sur #amiga #mastersystem #megadrive et #supernintendo : https://t.co/ySO8do8kCJ #critique #review #jeuxvideo #retrogaming #carmensandiego #carmensandiegonetflix","@Game_Review_FR","cultural-icon",
"@t_MARIEh Lol i seen Britt last night at my homegirls kickback and I asked if you were in town since you move around like carmen sandiego","@ElyTheEthiopian","cultural-icon",
"Fun fact: The first time I met @timfrancisco , he mentioned being involved with the development of Babel Fish - Elementary school me felt like I had met an Interweb Star ( Like Carmen San Diego. ) We have a solid team at https://t.co/KbmpqrgKmo @djkinkle @HealingVibes no doubt. https://t.co/Oao1KeRxDm","@Marcquistador","cultural-icon",
"These car problems this week are killing my damn vibe. Bout to dip out to San Diego on a train with my dog and go find Carmen Sandiego.","@galeasjp","cultural-icon",
"if Waldo and Carmen Sandiego had a kid you'd just never be able to find that bro","@TheGabeFS","cultural-icon",
"@LaconicLelex @c_gonzalez Telling list. But yes, I did love Col. Santiago as a kid, and Carmen Sandiego remains a secret role model. ;)","@Quinnae_Moon","role-model","w"
"There is a woman in the cafeteria wearing a red coat and hat and it's taking everything in me not to say ""Gotcha Carmen Sandiego!""","@EyeOfTheKatrina","fashion",
"netflix's carmen sandiego comes out the day after my birthday what a wonderful gift","@priceoftrash","cultural-icon",
"@Goodtweet_man Learned this from playing ""Where in Time is Carmen San Diego"" around age 8.","@BamaExpat","edutainment","w"
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show … https://t.co/2iYycuRJ0p https://t.co/HGGsxYXdXi","@MDunford78","edutainment",
"@lucyamorris Up there with Carmen Sandiego which I learned off by heart so it stopped being challenging at all","@SiobhanKeoghNZ","edutainment",
"@RieslingTigger well, this is all for my Carmen Sandiego outfit, but I've aimed for each part to be usable in isolation too.","@scattermoon","fashion",
"Sick so no Halloween. 😕 Was going to go as Carmen SanDiego. Still works because now friends can wonder where in the world I am. #Halloween","@FeralCherylZ","fashion",
"Hee! @ladytian & I just saw the best couples cosplay. Waldo & Carmen SanDiego. Sadly, we were on the escalator, so we have no proof that we found them. #WonderCon","@ralkana47","cultural-icon",
"New ‘Carmen Sandiego’ Coming to Netflix in 2019 https://t.co/JHy5PVTirs https://t.co/7CfkZ50Hbr","@comicvault","cultural-icon",
"I was self conscious about wearing a costume but on the way in I saw someone in full Day of the Dead regalia, a Christian monk, and Carmen Sandiego","@Mirrankei","fashion",
"Has there been an episode of Carmen Sandiego where she steals Paddington’s hat?","@helenhousandi","fashion",
"Embrace your inner Carmen Sandiego and visit each corner of the globe! Check out @Mashables 2016 traveler's guide https://t.co/DlnjG2kZL9","@EdelmanDC","travel",
"@FeministaJones “Where In the World Is Carmen Sandiego”. Best hosts, best game, best theme song.","@raisedbymoogles","cultural-icon",
"#kidstodaywillneverknow #carmensandiego #Fun #geography #Funny #Memes https://t.co/wZErkFBW3c","@FollowEReed","cultural-icon",
"We Found Carmen Sandiego On Netflix In January https://t.co/58m3MuwO79","@Vix_Social","cultural-icon",
"J1 @ccc Hambourg - Thank you K.Nohl & N.Nikodijevic for your nice talk: Where in the World Is Carmen Sandiego? https://t.co/nAdhFDRmyt #33c3 https://t.co/nUniqDUdLE","@v_dagrain","cultural-icon",
"@xoyeuns appeared in spendtime palace's “sonora”. he will voice “player” in the Netflix series “carmen sandiego” in 2019.","@xoyeuns","cultural-icon",
"‘Carmen Sandiego’ Animated Series Greenlit at Netflix, Gina Rodriguez to Star https://t.co/FLAAjA45Nb via @variety","@WhoRepresents","cultural-icon",
"@TheDaveKlein Where in the World is Carmen Sandiego? 3 - New Carmen Adventure on the DS? YES!","@SealyBoo","cultural-icon",
"@ACMenes Prob should have voted for Carmen Sandiego. Her legion of Pun cronies could have brought some class to smash. Also the Louvre.","@TangentGuyOP","cultural-icon",
"@PortlandsPro @xPlan_Cx @LasVegasSiren #OOC Where in the World is Carmen Sandiego: Efed Style!","@BiancaSlaysYou","fashion",
"Netflix Is Developing an Animated Carmen Sandiego Series Starring Gina Rodriguez https://t.co/IP60dsrRie","@blakespearstv","cultural-icon",
"@BrandiiJolene: Shayna is like. My ""Chief"" from Carmen San Diego. I never get to see her in person but her life advice is always solid.","@BrandiiJolene","cultural-icon",
"@scattermoon *giggle* we tweeted about Carmen Sandiego last night- not knowing your cosplay choice- weird synchronicity ^_^","@Orphemeriel","fashion",
"I miss the days of computer class in elementary school...playing Oregon Trail, Number Munchers, Carmen San Diego #ThoseWereTheDaysMan","@dcarman724","edutainment",
"Wait... what? Floppy drive support discontinued?! How am I supposed to play my legacy Carmen SanDiego and Wasteland?! http://t.co/Rpwn49FhpP","@DillieO","cultural-icon",
"Oh GTFO - favourite game growing up 🤗 ⚡️ “Netflix greenlights a Carmen Sandiego series” https://t.co/iG7Oz146ub","@claire_emerson_","cultural-icon",
"Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego https://t.co/PXorBCMvT5 #media #articles","@Apocrifos","cultural-icon",
"@REZOcast @marksquare_ Where in the world is Carmen Sandiego?","@REZOMaverick045","cultural-icon",
"And just like that Carmen Sandiego is on my cosplay list. The only villain I truly loved as a child.","@Pandoya","fashion","x"
"Netflix is betting on ‘90s kids nostalgia for learning with upcoming lineup https://t.co/8D5SpjAtFP https://t.co/zWhVsMjboj","@Jasondonnelly18","cultural-icon",
"#StrangerThings star FinnSkata will join HereIsGina in Netflix's reboot of #CarmenSandiego… https://t.co/CpqCeq6HmH THR","@abbear111","cultural-icon",
"@DannyGradio educational tv show:321 Contact Where in the world is Carmen San Diego","@bpollock530","edutainment",
"@MiklCraw4d ""Larry Fedora"" sounds like a ""Where in the World is Carmen San Diego"" character","@wc_thats_me","fashion",
"my friend said i’m the real life Carmen Sandiego lmfaoo","@lochnessssa","cultural-icon",
"Lady Gaga Swiped Her Hat And Trench From Carmen Sandiego’s Closet https://t.co/YcfWeecHTi https://t.co/ydN0pm4qTh","@FIO3208","fashion",
"super sleuth. carmen san diego taught us that.","@MR40TILFIVE","edutainment",
"@bangishotyou @hello_amanda Bright red. The most inconspicuous color. He blends right in. If only he'd had Carmen Sandiego's red trench coat he could have just stolen the courthouse.","@Wyndgrove","fashion",
"Netflix plans live-action 'Carmen Sandiego' film with Gina Rodriguez https://t.co/5UHStdiIbY","@compsolv","cultural-icon",
"#Mashable #News Gina Rodriguez will play Carmen Sandiego in the live-action movie: Netflix… https://t.co/N91SoNvQd0","@alayanimajneb","cultural-icon",
"YOW ✈️ YYZ ✈️ MCO+HP WORLD!!! ✈️ EWR ✈️ DUB Yeah I am #hustle #travel #CarmenSanDiego #LeavingOnAJetPlane","@Naomi_Freeman","travel","x"
"That long red coat.. That red fedora.. You stole my heart, Cute time explorer #carmensandiego #gamervalentinepoem","@UrzasRage","cultural-icon",
"Sam Nunberg just needs a red trench coat and a fedora and he could be the next Carmen Sandiego.","@mitty1375","fashion",
"@KidRaw313 “@KidRaw313: I saw the video n from my experience as a Carmen Sandiego detective that was not Keke Palmer dropping neck like n executioner”😂","@Hey_Marcell","cultural-icon",
"Netflix finds 'Carmen Sandiego' for its latest reboot https://t.co/clIW3e8qKj","@gadgetmanjay","cultural-icon",
"Carmen Sandiego books were lit tho. Flippin all through them mfers.","@tonedibiase","cultural-icon",
