"text","handle","category","star_tweet"
"@MaraWilson OMG, the picture there of you looks like you're about to go off on some sort of glamorous globe trotting adventure, are you going to Istanbul to stop Carmen San Diego? *ARE* you Carmen San Diego?","@JeanLucPicorgi","travel",
"guarantee erin andrews has more style than every single mope comparing her to carmen san diego","@FireJB_","fashion",
"One Halloween my sister and I went as Carmen Sandiego and Babs Bunny. Decent female kid-culture icons, imo. What are the equivalents today?","@jocelyngiannini","fashion",
"So Carmen Sandiego is Puerto Rican! I knew it lol https://t.co/kFSbNNg9Yr","@blakegotcake","role-model",
"Either I just saw real life Carmen San Diego, or that lady made some very bold fashion choices #seenatdullesairport","@Julieep88","fashion",
"Where In The World Is Carmen San Diego???? My Lil' Explorer #AmaniViana #MyBooger #Westminster https://t.co/7s883ibOro","@AGonzalez47","travel",
"Just saw a young guy in a royal blue suit wearing a bright red trilby get on the train. Like his mum was Carmen Sandiego.","@newcurator","fashion",
"@CiLLASTAYFLY thank u carmen sandiego","@Just_Lugo","cultural-icon",
"""Very stylish, very Carmen Sandiego of you your Highness."" https://t.co/7QJeS1I5rA","@OneWebSwingAway","fashion",
"Thank you for your contribution, Anonymous. Very Carmen Sandiego of you. #gogofilm","@LastManRocking","cultural-icon",
"Dressed up for work today in my Halloween costume. I'm the only one who did. #DontEvenCare #CarmenSandiego 🌍💃🏻💼 https://t.co/cCwf6nZsT0","@kaylamfoley","fashion",
"I think I'll be @CarmenSandiego #carmenSandiego for Halloween","@CJIngHoppus","fashion",
"spacetwinks: carmen sandiego was a brilliant woman and master thief who told both the entire world and the... http://t.co/PUN0wvynwh","@mister_terrific","role-model",
"@Muffinus I'm an Anthropology Major; want to make educational books and games in the same genres as Carmen Sandiego and Magic School Bus. :)","@Anidex","travel",
"@queer_queenie there was an episode where her EEEEVIL SCHEME was to steal King Tut's sarcophagus from the British Museum and... return it to where it was taken from carmen sandiego, lesbian decolonialist icon","@MichaelBloomer8","role-model",
"It’s a bit silly, but I am beyond excited about this #CarmenSanDiego reboot. Parents got me a game when I was very young, and seriously, it was life changing. Yes, a thief, but also a jet-setting Latina/entrepreneur/art collector. Not a lot of those in the media in 80/90s.","@minsd","cultural-icon","w"
"Already have my next Halloween costume planned out. Carmen Sandiego. My date&39;ll go as Where&39;s Wally. Always wanted to do that","@judsonbvi","fashion",
"Everyone is looking for me but I’m just trying to find myself 🤓🎃 — #happyhalloween #happyhalloween🎃 #halloweencostume #halloweenmakeup #halloween🎃 #halloween2018 #govgeek #wednesdaywisdom #waldo #whereswaldo #carmensandiego #cosplay @TheChicGovGeek @TheGovGeeks https://t.co/E7YaxcBtxD","@JavierLopezMSA","cultural-icon",
"I just thought of a really good cosplay idea using Carmen Sandiego. But I need a Carmen Sanduego","@TheOTAPShow","fashion",
"OMG!!! Friends, travel needs. Carmen Sandiego is back! I just found a new app to play CSD on iPhone!! I know what... https://t.co/bwwo0iGPdN","@FlashpackerFam","cultural-icon",
"I'm still waiting for a #CarmenSandiego movie. My enjoyment of that TV show might have been the first signal of my wanderlust","@darylparanada","travel","x"
