"text","handle","category","star_tweet"
"I know I’m not the only one who remembers Carmen Sandiego?","@adriennespaige","cultural-icon",
"totally being Carmen San Diego for Halloween and if you don't know who that is, I feel sorry for your childhood","@jennatort","cultural-icon",
"Someone get Jessica Chastain a fedora and trenchcoat and let's make that Carmen Sandiego movie already! https://t.co/N1bOW2nTLS","@IPreferPi314","fashion",
"Why isn't carmen sandiego on netflix!?!","@audiofreedom","cultural-icon",
"@SFjelds4Ever hopefully you have that gorgeous #CarmenSanDiego red hat. And you can finally find your one true love, #WheresWaldo 👀","@wripkoski","cultural-icon",
"It’s taken me a while, but I’ve come to accept that we will never capture Joseph Kony, bruh is the real life Carmen Sandiego","@ButtaDatBiscuit","cultural-icon",
"In addition to lending her voice to an animated series, @HereIsGina will also star in a live-action feature of Carmen Sandiego for @Netflix https://t.co/II3CYZ5PKb","@THR","cultural-icon",
"Gentle reminder that Carmen Sandiego always served us divorced secured bag fashion, whilst solving the world's greatest riddles. https://t.co/k25KNFzyXh","@EmbraceTheJ","fashion",
"I have no pants. It's too cold to have no pants. Where in carmen san diego are my pants?!","@achrisbailey","cultural-icon",
"Have we found Carmen Sandiego yet?","@upthebutler","cultural-icon",
"Jane The Virgin’s Gina Rodriguez To Star In New Netflix Series Carmen Sandiego https://t.co/JHwXnxiurT https://t.co/ZQ4IrnbnGa","@360nobs_","cultural-icon",
"Get Gina Rodriguez a Giant Coat, Because She’s Doing a Live-Action Carmen Sandiego Movie https://t.co/nUfTtEcq1I via @Vulture","@The_News_DIVA","cultural-icon",
"KarloMdz: CBSNews: “Carmen Sandiego” reboot voiced by Gina Rodriguez coming to Netflix https://t.co/zrFmdW2De1 … … https://t.co/kCLfzUFxzq","@BanankoJanko","cultural-icon",
"where in the world is carmen sandiego?","@aneurastenica","cultural-icon",
"Netflix Reboots 'Carmen Sandiego' With Gina Rodriguez https://t.co/RY31Hq08if via @thr","@Santosh65606746","cultural-icon",
"I also got a pretty sweet red trench coat, in case I decide to cosplay Carmen Sandiego for some reason.","@CansofBeans","fashion",
"Explore. Do something wild. Get lost without your cell phone. Try to find Carmen San Diego. Idc, just do something different.","@QuothTheRay","travel",
"Caroline definitely wore it better than Carmen Sandiego. @itskatelambert #TeachersSeries","@TreshonBrown4","fashion",
"This is how I learned my geography #carmensandiego #videogames #retro https://t.co/sryeuKwExa","@RillaMulwane","edutainment","w"
"@the_real_tyler Love it! I mean, how can you not root for Carmen Sandiego?! The only question is to find a hero worthy of her. https://t.co/1f0hxQtzfr","@TheLauraDavy","role-model",
"Alright. The Chief from Where in the World is Carmen Sandiego has been postponed. For @GaymerX, I will bring back my Ness cosplay.","@kungfulasers","fashion",
"My 20-Year Quest To Find Carmen Sandiego! https://t.co/pJG8m9iAbs #gaming #gamer #retrogaming #edutainment https://t.co/Ep5LyIujib","@u_dimensions","edutainment",
"Should I be Carmen Sandiego for Halloween? Would anyone know who I am?","@jessaphobia_","fashion",
"So many women on dating apps say they love to travel and want a partner in crime. One of them has got to be Carmen Sandiego. #doitrockapella","@MatthwBlack","cultural-icon",
"Found this Real-life Waldo playing Where in the World is Carmen Sandiego on Tumblr. SO MANY ADVENTURES. So jealous. https://t.co/CnEVtMzfed","@jentenortiz","cultural-icon",
"I have an urge to play Carmen San Diego.","@bitch_boi_brad","cultural-icon",
"I want to see @KeroKeroppi64 stream some old school educational pc games. Time to build up that vocabulary and general world knowledge. I'm thinking some magic school bus games and some Carmen San Diego games","@ThatsADarkHorse","cultural-icon",
"Test your geography skills during @BMets Where in the World is Carmen Sandiego Night! First pitch 6:35 https://t.co/FsYFNZtleU","@SteveAtTheBMets","cultural-icon",
"Dressing up as Waldo for Halloween, hmu if you want to go as Carmen Sandiego with me","@JosephBoismier","cultural-icon",
"Practicing geography with ""Where in the world is Carmen Sandiego in the US?"" Who doesn't love this game?!? #oldschool @WoodbrookSchool https://t.co/MksXIRGdKD","@Cmgappa","edutainment",
"‘Carmen Sandiego’ Series Greenlit at Netflix with Gina Rodriguez | Variety https://t.co/gdFdeNmx9s","@RafaFloresLA","cultural-icon",
"Marcelo will be blamed for the goal but where was Dani Alves? you're more likely to find Carmen San Diego in Brazils defensive half than him","@sidewayspass","cultural-icon",
"Netflix is making a live-action Carmen Sandiego movie. #carmensandiego #netflix #movies… https://t.co/grZ02pvR5o","@nerdinformants","cultural-icon",
"OMG Just realised @Rasheeda_S IS Carmen Sandiego because Latino American, forever travelling and SHE HAS A HAT LIKE THAT GUYS!?!","@mishqarossier","cultural-icon",
"@lightlybow Journey, fallout, fable, overcooked, where in time is Carmen San Diego","@BoBo_Of_ID","cultural-icon",
"mashable: Carmen Sandiego is coming to Netflix and the actress voicing her is perfection https://t.co/V7gKB1tEZJ","@OptioneerJM","cultural-icon",
"Kourtney Kardashian Takes Younes Bendjima on a Surprise Birthday Trip Oh, the places they'll go! Kourtney Kardashian channeled her inner Carmen San Diego for Younes Bendjima's birthday--and no, we're not talking about a role-playing fantasy.... https://t.co/CgXxl4FK5P","@ToddRobertson33","travel",
"@TheBubblegumReb @jumpinsunflower Random side note... The animation+style reminds me of the Carmen San Diego word games I used to play? 😂😂","@TheBubblegumReb","cultural-icon",
"Gina Rodriguez Will Play Carmen Sandiego For Netflix Film and TV Show https://t.co/ZMAyLfyrMI https://t.co/Ng0qibKH4S","@Excelsior_82","cultural-icon",
"Jane the Virgin's Gina Rodriguez to Voice Netflix's Carmen Sandiego: Where in the world is Carmen… https://t.co/1OdtExstoT #TVUSA #TVLine https://t.co/TNKS97HUM1","@Spielenews_de","cultural-icon",
"Yes please and thank you! Netflix Could Be Bringing Carmen Sandiego Back https://t.co/bsFAximCrx via @io9","@khakinobeleatha","cultural-icon",
"Gina Rodriguez To Star As Carmen Sandiego In Netflix Live-Action Feature https://t.co/Ww9Ph2i3tl via @deadline","@nuyorican_21","cultural-icon",
"@RyanRoach5 @space_sloth26 It's like Where in the World is Carmen Sandiego? for idiots. Complete idiots.","@raaadaniel","cultural-icon",
"Imma let you finish, but Carmen Sandiego is the greatest female video game character of all time https://t.co/8jG7dhmHh2 #tech","@GrouvyT","role-model",
"Sounds Like Netflix Is Bringing Back 'Carmen Sandiego' https://t.co/fpYwsfWgmL","@SecretJones","cultural-icon",
"Where in the World Is Carmen Sandiego? Becoming a Secret Travel Agent https://t.co/UV5snFj4AS","@erod2009","travel",
"Animated Carmen Sandiego Series Coming to Netflix Starring Gina Rodriguez https://t.co/zyhUSU9ZDk","@GeeksOfColor","cultural-icon",
