"text","handle","category","star_tweet"
"Khloe looks like a super hot Carmen Sandiego. Who likes to vacation sometimes. https://t.co/74xpFiyBFt","@jenniferbunni","fashion",
"Perfect idea. I need a girl to dress up as Carmen Sandiego for Halloween and be my date because I'm going as Waldo.","@BackRowLearner","fashion",
"Ok so apparently Gina Rodriguez is gonna be the voice of an animated CARMEN SANDIEGO show and it is EVERYTHING!","@KarenBabaren","cultural-icon",
"In addition to voicing the titular thief in a new cartoon, Gina Rodriguez will be STARRING IN A FREAKING LIVE-ACTION CARMEN SANDIEGO MOVIE! All I can say is YES PLEASE GIVE IT TO ME NOW. As a lifelong Carmen Sandiego fan & a @HereIsGina fan, I'm psyched! https://t.co/wPBeVCmH2d","@AdamTheAlien","cultural-icon",
"Looks like Carmen Sandiego stole the statue of David. #doitrockapella #HappyHalloween http://t.co/vQOa6hVIXL","@phira","fashion",
"Netflix is betting on ‘90s kids nostalgia for learning with upcoming lineup https://t.co/W54XIpRLgI","@DNSRainbowNews","cultural-icon",
"Catherine Zeta-Jones looks like Carmen Sandiego in this movie #red2","@iv_an","cultural-icon",
"What do you get when you have The Doctor, Waldo, and Carmen Sandiego in one location? An epic adventure! Follow our journey and see if you can figure out where we’re stopping, you might… https://t.co/JXIKGmIbo1","@bossierlibrary","cultural-icon",
"@_AlexLawrence It would be FANTASTIC to have a ""where in the world is Carmen SanDiego"" type Go app that teaches kids about locations, etc.","@drgurner","edutainment",
"Get a first look at Netflix's Carmen Sandiego animated series https://t.co/1dz5FudGnj","@AmandaW29474500","cultural-icon",
"#fbf I still find joy playing the first edition of Where in the world is Carmen Sandiego 😂💕Fly to Peking ✈️ https://t.co/EPX03VfCS5","@EastLATraveler","cultural-icon",
"Gina Rodriguez to star in Netflix’s live-action ‘Carmen Sandiego’ movie: https://t.co/pmAQFZWzHL via @AOL","@AdamMaina_","cultural-icon",
"Check out ""Not Your She-Ro: @carmensandiego and the Importance of Feminism in Entertainment"" @syfy! We're so excited to be working on a TV show AND book series that promotes a strong, complicated female character (and stars @HereIsGina!) https://t.co/JndRo3e9O9 https://t.co/hcYbrw6tUr","@HMHKids","feminism",
"Netflix's Carmen Sandiego Reboot Gets January Premiere Date — First Look https://t.co/cIoRp7oUot https://t.co/QjS1edKNmB","@Rapida_movies","cultural-icon",
"Tonight's highlight: There was a couple doing sexy Waldo (from Where's Waldo) and Carmen Sandiego costume pair. They entered the costume contest but no one could find them when the contest started. Later that night I saw them in the fish tank and yelled ""I FOUND THEM!!""","@Genderplasmic","fashion",
".@mbilodeau to me, wearing a fedora: ""You look like Carmen Sandiego."" Mission accomplished! 😝😝","@CLoureiroTO","fashion",
"@buzzerblog They should see about getting Carmen Sandiego from PBS. Educational Game Show programming!","@TheZorker","edutainment",
"Where in the world is Carmen Sandiego?","@Branndilynnn","cultural-icon",
"@IDDocHymes ""Where in the world is Carmen Sandiego? Doo be doon whoop!"" I can hear the game show song in my head!","@osnsmom","cultural-icon",
"Everybody dresses as Waldo for Halloween but nobody has the gall to pull off Carmen Sandiego","@xMOONS","fashion",
"everyone saying Carmen Sandiego (@MrAaronAbrams included) but I'm getting a Rule-63 Riddler cosplay vibe? #Hannibal http://t.co/lUF74uAAcf","@oliveiranth","fashion",
"This #OrigamiOwl chica is on the move!!! To the tune of #CarmenSandiego - where in the world is our favorite... http://t.co/qW77fr89oK","@MyLifeIsAHootDD","cultural-icon",
"Gina Rodriguez will be donning the red fedora and trench coat of Carmen Sandiego for Netflix https://t.co/baHDz6uwPk https://t.co/8GP0lHFQ5p","@moomblr","cultural-icon",
