"text","handle","category","star_tweet"
"@kingdidge @CTrajceska The need to bring back “where in the world is Carmen Sandiego” that’s where I learnt my geography","@Calleja84","edutainment",
"Netflix Could Be Bringing Carmen Sandiego Back https://t.co/myEZtb31G0","@EdGamer","cultural-icon",
"oh my god it just hit me that I got my Carmen San Diego coat on the Amazon (dot com)","@winnersusedrugs","fashion",
"Bro I don't even remember what Carmen Sandiego was about why TF is it coming to Netflix?","@chrisKapital1","cultural-icon",
"@SuedeBlade So that's where Carmen Sandiego got her coat.","@Cferra1227","fashion",
"#MeetTheGamer Started at 5 when Dad brought home an IBM PS4/PC, RPG, MMO, Adventure Carmen San Diego, SimLife, The Longest Journey, Baldur's Gate 2, WoW, Fallout, Dragon Age, @ESO Met my BFF gaming, and it helps with my ED/alcohol recovery Books, cross stitch, politics, cats","@sosomanysarahs","cultural-icon",
"There are two childhood dreams I have that will never happen. 1) I always wanted to be on #CarmenSanDiego so that at the end of the show...","@cerothstein","cultural-icon","x"
"I learn so much about the world by watching where in the world is Carmen San Diego. Best show on PBS beside Reading Rainbow","@KingBentley","edutainment",
"The First Images of Netflix’s Carmen Sandiego Are Here https://t.co/zChm2whpl8 https://t.co/MEOmDoagL6","@hdlatestmovies","cultural-icon",
"Netflix is making a Carmen Sandiego movie with Gina Rodriguez - CNET https://t.co/jq0VINNBRs","@krunox123","cultural-icon",
"#TopNews Gina Rodriguez to voice animated Carmen Sandiego series https://t.co/m3Qnb7teP3 https://t.co/HxWFe6l0KF https://t.co/fGZ5qXiyok","@FreebieNinja1","cultural-icon",
"@Gamer_GFX “@Gamer_GFX: Where in the world is Carmen Sandiego?” Shes in my car man in san diego","@ALIENAIRWRECK","cultural-icon",
"Raising a 90's kid. She's legit addicted to Roundhouse, Where in the World is Carmen Sandiego? , Animaniacs, and The Adventures of Pete & Pete. Kids at school like https://t.co/H1lEDhw0Vr","@ShitcoinSherpa","cultural-icon",
"#fashion #style Karlie Kloss Pulls a Carmen Sandiego On Us, and It's Amazing: Where in the wo... http://t.co/hqCk3J6Al3 #glamour #trends","@fradedo88","fashion",
"A lady just ran up to me and said ""I found Carmen Sandiego"" ~because of my hat #whereintheworldiscarmensandiego http://t.co/M63FtgZmx3","@Sara_Zuccari","cultural-icon",
"Netflix Developing Live-Action Carmen Sandiego Movie https://t.co/V0AsUXaHFn","@moviesteem","cultural-icon",
"It's a missed opportunity if #DuaneCapizzi and @netflix don't ask @PTXofficial for an update of @RockapellaMusic #CarmenSandiego theme song.","@formertwink","cultural-icon",
"Miss Rogers the most well known traveler I know next to Carmen San Diego","@BusterDouglas4","travel",
"Netflix Gets Rights To Live-Action Carmen Sandiego Movie https://t.co/ekFXv1oHs4 https://t.co/jNadizlG4S","@GeekyGadgets","cultural-icon",
"Netflix Is Bringing Back OG Scammer Carmen Sandiego & Everyone Is GEEKED Netflix Orders Carmen Sandiego ...https://t.co/TZv6Z7K9PO https://t.co/wHVB6PvEP0","@WhatFinnLikes","cultural-icon",
"Carmen, San Diego is probably in California like duh","@m_rammsey","cultural-icon",
"@ZacharyLevi Sang to the Carmen Sandiego theme... LOL","@NikiNavarro87","cultural-icon",
"I like to see the @TheBakerTwins @ShannonBaker @ShaunaBaker dress up as the greatest hide and seek champion, Carmen Sandiego. https://t.co/qyKCeK8oIU","@Hotvle","fashion",
"I wonder how my favorite education games hold up... or maybe I'm just looking for an excuse to replay Where In Time Is Carmen Sandiego.","@jeni_hackett","edutainment",
"How Carmen Sandiego accidentally became an educational game icon https://t.co/UzgdXIqqf1","@GamesPlace4u","edutainment",
"@neilhimself You are the Carmen Sandiego of modern days. Always travelling doing mischifs! #Awesome","@polsedierta","travel",
"The fierce Gina Rodriguez will star as Carmen Sandiego in the upcoming Netflix film. @REMEZCLA","@alpfa","cultural-icon",
"No joke: intercom at DFW airport just said they were searching for passenger Carmen Sandiego. Where in the world is she? :)","@ScottCady1","travel","x"
"that one's just a regular carmen sandiego costume cause you can do much else to it to sexy it up, it's already peak sexy","@HoodieThirteen","fashion",
"Netflix is rebooting Carmen Sandiego as an animated kids’ series https://t.co/JIuiStuxH2","@mrbillbrazil","cultural-icon",
"CARMEN SAN DIEGO!!! She was in Kansas City, MO btw... 😜 @PlanetComicon #cosplay #cosplayer… https://t.co/fcufwZuGTO","@bonnafett44","fashion",
"Netflix’s ‘Carmen Sandiego’ Series Gets Premiere Date | The Latest Hip-Hop News, Music and Media - https://t.co/YezittiR5Z","@hiphothiphop","cultural-icon",
"@Kaylersx I found a dress that may work--it looks like what Carmen Sandiego would wear to Broadway. @GreatCometBway @joshgroban","@nurseregank","fashion",
"Happy Halloween 🎃. I dressed up as the #FiercelyLatina Carmen Sandiego (@HereIsGina version). https://t.co/fwCriRkaCg","@jessmram","cultural-icon",
"@janelleNOmonae lmao, I need a future hat. Feeling like Indiana Jones meets Carmen SanDiego","@thatnoxiousCALI","fashion",
"It's Official: Carmen Sandiego Is Getting Her Own Animated Netflix Series https://t.co/GGkV8Mhzfn via @io9 YAAAAAS!!!!","@LibraryTasha","cultural-icon",
"@SpradlingDylan thank you Dylan .... I am regular Carmen San Diego","@Robdogg039","cultural-icon",
"Sometimes I just sit here and wonder... where In the world is Carmen San Diego ?","@Jay_Solo_10","cultural-icon","x"
"top left banana carmen sandiego lookin https://t.co/E6Nmn04HPW","@rekka236","cultural-icon",
"The real life Carmen Sandiego #Dubai #Atlantis #CatchMeIfYouCan #Edgeless #Circle https://t.co/AmhgDAJSCS","@lisadettore","travel",
"Fav cosplay couple: Waldo and Carmen Sandiego. #SDCC2017 #SDCC #WheresWaldo #WhereintheworldisCarmenSandiego","@elenalovesgames","cultural-icon",
"This makes me feel like Carmen Sandiego https://t.co/CqnjT6IkGi","@ChateauErin","cultural-icon",
"Someone on my snappy chatty told me I travel more than Carmen Sandiego lol #whereintheworldisKaila","@yah_bish","travel","x"
"Netflix's 'Carmen Sandiego' debuts on January 19th, 2019: Since Netflix first announced its animated Carmen Sandiego reboot, news about the upcoming series has been, well, hard to find. Now, the studio has dropped some intriguing images from the series… https://t.co/GJ4ZDL7Ynx https://t.co/16p22eq4Nk","@bdnews24","cultural-icon",
"#homeschoolers what are you doing right now? We are playing Where in the USA is Carmen San Diego? #geography can... http://t.co/SmvHRoulU0","@OhSweetMercy","cultural-icon",
"hmm Carmen Sandiego as this year’s halloween costume?? let’s see if I remember","@itsjesslyon","cultural-icon",
"Really excited for this! #bringthe90sback - Gina Rodriguez Will Help Revive Carmen Sandiego For Netflix https://t.co/naK9NiZOig","@nquick24","cultural-icon","x"
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show Ever https://t.co/95FkQoqS4l @Peoplemag","@PeopleBuzzNet","edutainment",
"@TheBeardedDre @lexkaneki @RiqueCobain the goalpost been around the world more times than carmen san diego","@1godbodyzay","cultural-icon",
"@samuel_loose @BennParrish Benn is going to work on Halloween dressed like where’s Waldo and I think you should go as Carmen Sandiego.","@ChelsyParrish","cultural-icon",
"@WeGeekGirls I'm so excited for #CarmenSandiego! MT @WeGeekGirls: Love the hat! #AgentCarter http://t.co/t7QmsEj637","@RegLevy","cultural-icon",
"Netflix Could Be Bringing Carmen Sandiego Back https://t.co/fMMRs6lehv I am so down for this.","@KKND679","cultural-icon",
"@DariusAmore I’mma get you a Carmen San Diego hat lol.","@rmichaelthomas","fashion",
"Netflix orders animated Carmen Sandiego series https://t.co/CjmPSYlL3n #ciencia #tecnologia #TheVerge #games","@alvaroSantos","cultural-icon",
"Sounds Like Netflix Is Bringing Back 'Carmen Sandiego' Big deal! https://t.co/HrODvXOZNT","@manncer","cultural-icon",
"""Where am I?"" -Carmen Sandiego having a midlife crisis","@SeymourShaper","cultural-icon","x"
"I'm def about to be Carmen Sandiego for Halloween","@tashhxxo","fashion",
"Where in the world is Carmen Sandiego and Waldo? #halloween #chicago @jessicanichell3 https://t.co/EaaD3dTFpW","@zacharymwebster","cultural-icon",
"Gina Rodriguez, ‘Stranger Things’ actor, to lend voice to Netflix’s ‘Carmen Sandiego’ https://t.co/TgqCCTAx7m https://t.co/XFsdr2MSDM","@Wearables101","cultural-icon",
"Carmen Sandiego is coming to Netflix and the actress voicing her is perfection https://t.co/K1zJy6qELO","@iashleyrichards","cultural-icon",
