"text","handle","category","star_tweet"
"Jane the Virgin's Gina Rodriguez May Voice Carmen Sandiego on Animated Netflix Series: Gina… https://t.co/8PwqkhxVYV","@GossipGawker","cultural-icon",
"@LittlestBirds can you steal SCOTUS for me? Like Carmen San Diego style?","@rvapaul","cultural-icon",
"Where in the world is Carmen Sandiego and Waldo? #halloween #chicago @jessicanichell3 https://t.co/EaaD3dTFpW","@zacharymwebster","fashion",
"I found Carmen Sandiego! She's an adult now and takes the bus http://t.co/JHX6btuJOE","@melissasaurous","cultural-icon",
"@jakob_way @DLicious1515 @cloudinsmash64 because my life is like Carmen sandiego no one can find it","@Gameboy_92","cultural-icon",
"i've never quite understood who Carmen Sandiego is. she was the sort of anti hero antagonist of two old pc games where you had to catch her but there was also a tv show?","@DashingCripple","cultural-icon",
"Thank you @EW for acknowledging how great a Carmen Sandiego show would be #makeithappen http://t.co/uD40ayP3ri","@DCW1911","cultural-icon",
"Netflix greenlights 'Carmen Sandiego' animated reboot https://t.co/czIU9CBvbc","@pavelkukov","cultural-icon",
"@elizaskinner I was Carmen San Diego. My pal was a streaker. It was a fun Halloween. (Fave holiday!!!!) https://t.co/6FesdVhvcF","@rachaelnicole","fashion",
"Permanently inspired by Carmen Sandiego. 💄#always #mylook #hat #lipstick #brunette #blackandwhite… https://t.co/9EgGlrQz5f","@sampulon","fashion","x"
"The First Images of Netflix's Carmen Sandiego Are Here Carmen Sandiego has been found, and she's looking good on Netflix. Gina Rodriguez will make her debut as the new voice of the iconic globe-trotting thief in the new 20-episode... https://t.co/6BRAdCoKY6","@ToddRobertson33","cultural-icon",
"Gina Rodriguez will play Carmen Sandiego in the live-action movie https://t.co/bhG000pZOr #movies #netflix","@iSanjayJoshi","cultural-icon",
"@flyaway_k I dress up as Carmen San Diego and go with Cocoa Puffs cereal first, then come back as Frederick Douglass (Because he’s still totally alive) and eat a granola cereal. Naturally I have to bring my ID to purchase my cereal.","@ShinyHappyHead","cultural-icon",
"#entertainment Netflix Is Reportedly Reviving Carmen Sandiego With Gina Rodriguez: Where in the world is Carmen… https://t.co/Rd0ebAtHHz","@GeorgianneStoll","cultural-icon",
"Happy #Halloween from #CarmenSandiego! #Halloween2016 https://t.co/LPR5OV9aLb","@GBadilloBooks","fashion",
"Netflix orders animated Carmen Sandiego series (#wnn2) Netflix has ordered an animated Carmen Sandiego series, io9 reports. The 22-episode…","@WNN_Dash2","cultural-icon",
"#cosplay I've done so far: #steampunk #wonderwoman #carmensandiego #claraoswald #pinup #disney #elektra","@Mz_Contrary","fashion",
"""I have this idea for a restaurant chain called Pizza Hut, but I don't know what kind of logo to make."" ""How about a Carmen Sandiego hat?""","@BryceKalal","cultural-icon",
"GINA RODRIGUEZ IS GOING TO PLAY CARMEN SAN DIEGO IN A NETFLIX REVIVAL SERIES https://t.co/pSdx8DECiH","@eloserbeth141","cultural-icon",
"It seems that Carmen Sandiego (or Bart Simpson) is alive and well in Tucson, Arizona: someone stole a life-size... http://t.co/jaSwjN11e6","@RatsMovement","cultural-icon",
"@MatthewACherry @netflix Extra points if I can name the actress (Lynne Thigpen), her role & show (The Chief on Where in the World is Carmen San Diego?) w/out google?","@LaniKaiDuck","cultural-icon",
"I TAUGHT CARMEN SAN DIEGO HOW TO GO INCOGNITO","@buzzkillerbb","cultural-icon",
"It appears that the @nytimes has finally found Carmen Sandiego in Spain. https://t.co/inm1dGa8MD","@DavidJMichael","cultural-icon",
"Y'all, there's a new Carmen Sandiego show?! Why didn't you tell me this earlier?","@totallyhealthie","cultural-icon",
"Where in the World Is Carmen Sandiego? Becoming a Secret Travel Agent [video]: https://t.co/CKEvkz3bGz ( https://t.co/xokBvmdHNB )","@HighSNHN","travel",
"Imma let you finish, but Carmen Sandiego is the greatest female video game character of all time https://t.co/W9TtTrHLYz #Gaming ?","@WineMakerMe","role-model",
"I can't believe no one got my Carmen Sandiego reference. Yall suck https://t.co/bZacbUJJ8v","@joonieinabottle","cultural-icon",
"Carmen Sandiego Reboot Arrives On Netflix In January https://t.co/5MAk5aM8Nl https://t.co/iqhfDCRBG5","@rootrawcom","cultural-icon",
"Carmen Sandiego style 🙆🙌❤️😍 #trench http://t.co/7eOYsKlw3O","@BriAnnaMax_23","fashion",
"Jane The Virgin's Gina Rodriguez To Star In New Netflix Series Carmen Sandiego https://t.co/PnuUUPNcjm","@DjChigga","cultural-icon",
"Why am I excited for a Carmen Sandiego movie and animated series? Oh well. Can't wait! Gina Rodriguez to Star in ‘Carmen Sandiego’ Movie – Variety https://t.co/pPhEWYNcaj","@UtinniUtinni","cultural-icon",
"I wanna be Carmen San Diego for Halloween but my hair is blonde now :/","@elenastoner","fashion",
"Netflix hires a MAJOR US TV star as the new voice of Carmen Sandiego https://t.co/0sp2sdKnwh","@digitalspyent","cultural-icon",
"Children of the '90s Rejoice, For Carmen Sandiego Is Getting Her Own Animated Netflix Series https://t.co/An6W1BsnB8 via @MaximMag","@TheRealKwabena","cultural-icon",
"@grubbypandas This one: https://t.co/SO1Si4KxxG Though that wouldn't load on some machines, so some used this: https://t.co/UsMEfkkd2d","@r_nd_f__ld","cultural-icon",
"In my purple pea coat I feel like the afrotastic version of Carmen San Diego... #WhereOnCampusIsSidney","@Apo_I_Dont_Know","fashion","x"
"Netflix is making a Carmen Sandiego movie with Gina Rodriguez https://t.co/qgvF5imrHq #Followback #news https://t.co/BC1wc7rod5","@loopnewsinfo","cultural-icon",
"Netflix orders animated Carmen Sandiego series - Netflix has ordered an animated Carmen Sandiego series, io9 re... https://t.co/jehRLUZcSv","@ZyiteGadgets","cultural-icon",
"@DALee74 based on that hat, pretty sure you found Carmen Sandiego @inaneenglish","@mforbes37","fashion",
"I believe U can tell a lot about a person 's 💘 for the 1990s If they like Where in Time is Carmen Sandiego tv show theme or the Where on Earth is Carmen Sandiego tv show theme or the Where in the World is Carmen Sandiego tv show theme or 💘 all 3 shows themes equally","@JoshuaBrunken","cultural-icon",
"Tbh the Carmen Sandiego/Waldo couple's Halloween costume is the best one I've seen yet","@courtlizcamp","fashion",
"Lady Gaga Swiped Her Hat And Trench From Carmen Sandiego’s Closet: She’ll tour from Kiev to… https://t.co/8Qx8MbW5QG","@excellence_tell","fashion",
"Netflix plans live-action 'Carmen Sandiego' film with Gina Rodriguez https://t.co/Bnbwn1EoV8 https://t.co/6pA8mDZMlE","@applestreem","cultural-icon",
"‘@Variety @CarmenSandiego # AnimatedSeries Greenlit at #Netflix, @GinaRodriguez to Star https://t.co/QwVkF6wrrk via @variety","@CanduManagement","cultural-icon",
"Sorry, Red Hat, but your branding will always be linked to Carmen Sandiego for me.","@mildmojo","fashion",
"Having conquered math, you all may be pleased to know that I am about to embark on the journey known best as Carmen Sandiego Word Detective.","@TheOrchidShow","cultural-icon",
"Need a clean Carmen San Diego coat and hat for the winter months","@SmartyArtyDee","fashion",
"@DanaAriss An awesome @wonderopolis for Where in the World is Carmen Sandiego? http://t.co/0VgrQwe8w4","@ZBettess","cultural-icon",
"Netflix is betting on ‘90s kids nostalgia for learning with upcoming lineup https://t.co/TsDzy1O0BG #polygon #games #reviews","@CrespoherreraA","cultural-icon",
"happy new year wake me up when there's a new carmen sandiego game","@yomeghan","cultural-icon",
"Now the game show Where in the world is Carmen San Diego had a unique theme acupella style performed brilliantly by @RockapellaMusic","@Thibodeaux38","cultural-icon",
"Netflix's 'Carmen Sandiego' debuts on January 19th, 2019 https://t.co/H4ActArvOo https://t.co/PolnlYTrOv","@TechStarr","cultural-icon",
"Carmen Sandiego is coming to Netflix and the actress voicing her is perfection https://t.co/3Gxupo43yt","@jinanasmawati","cultural-icon",
"Netflix is making a Carmen Sandiego movie with Gina Rodriguez - CNET https://t.co/v5DfnE4DyE","@Standard4All","cultural-icon",
"Heading into Richmond, VA like Carmen San Diego. **coat not pictured** @ Richmond, Virginia https://t.co/iK0JKyhG9N","@sheilatempter","fashion",
"New post! Channeling Carmen Sandiego. @ http://t.co/3V8CXFdNpT http://t.co/rCuUVWHxpL","@OnTheRacks","fashion",
"Do it, Rockapella: Netflix is Making a New 'Carmen Sandiego' Show - Geek https://t.co/Hnb5Vd7Fis","@NewGamesPlay","cultural-icon",
"What I have learnt about NY fashion: Dress like Carmen San Diego but not in bright red","@fezbov","fashion",
"Had a dream that @cinephileo had concocted an elaborate scavenger hunt involving Carmen Sandiego-esque world traveling. At least I think it was a dream.","@Cobes","cultural-icon",
"I’ve loved the pastoral symphony since I first heard its opening bars in elementary school, courtesy of “where in time is Carmen San Diego?” Currently listening with Bernstein but the Kleiber recording is probably my favorite.","@bosiemoncrieff","cultural-icon",
"Omg Where's Waldo and Carmen Sandiego are THEE cutest couples costumes! 😱😍😍","@ReeseRoy22","fashion",
"Where on Earth is Carmen Sandiego? ('96) Theme is a Mozart tune w/ lyrics. Beautifully animated, really drew you in. Probably the best adventure/mystery/educational cartoon ever. Carmen was a fantastic villain; charismatic & cool. Gina Rodriguez will play her in a new Netflix one https://t.co/QL2DRPTHni","@bloodyw0nder","edutainment",
"Where in the world is Carmen SanDiego and my airplane???!! 🛩🛩🛩🛩🛩🕵🕵🕵🕵 https://t.co/exANnStdQg","@JessyPants02","travel",
"Where On This Educational Map Is Carmen Sandiego? #MoreRealisticVideoGameTitles @midnight","@JoshRyGwin","edutainment",
"Where in the world is Carmen Sandiego? Where's Waldo? Why they're spending Halloween together of course! https://t.co/9lHHeaBSkA","@kwsipio","fashion",
"@HaveADayKid7 lmao. And don't forget the critical thinking skills Carmen Sandiego taught you","@MrJakeFreeman","edutainment",
"#Netflix Could Be Bringing Carmen Sandiego Back https://t.co/uNDtsK021z","@NHKtips","cultural-icon",
"Hey #90sKids, Carmen Sandiego is Coming Back for More Geography Teaching Adventures! #CarmeSandiego #Netflix https://t.co/KoYfd0VzvU https://t.co/Eiz1oTdOFN","@supchucks","edutainment",
"Already have my next Halloween costume planned out. Carmen Sandiego. My date&39;ll go as Where&39;s Wally. Always wanted to do that","@bernadineqxqb","cultural-icon",
"Gina Rodriguez cast in Netflix's 'Carmen Sandiego' movie https://t.co/w3iyGvv3Tm","@qkode","cultural-icon",
"""You know what? If Carmen Sandiego & Waldo had a child, it would be impossible to find."" #ihearditsoitweetedit","@bethycasto","cultural-icon",
"Damn it, I was going to make the Erin Andrews outfit by Carmen San Diego joke, and twitter beat me to it.","@SBisho12","fashion",
"#News Gina Rodriguez to voice animated Carmen Sandiego series https://t.co/CwtDeFtuG6 https://t.co/X0LPCcBr6f","@postperhour","cultural-icon",
"Gina Rodriguez to play Carmen Sandiego in Netflix film The actor will also voice the character in an upcoming animated series https://t.co/zg1UQWcng4","@NetworkofnewsUK","cultural-icon",
"📷 carmensandiegonetflix: Carmen Sandiego coming to Netflix? *hacks database* January 18! https://t.co/aY9ZNROrBz","@tvshowsilovee","cultural-icon",
"Addicted to trench coats so apparently I’m the love child of Inspector Gadget and Carmen San Diego now.","@thatswhatTYsaid","fashion","x"
"@socialkosplay You are now being followed by The Great and Powerful @Necrodius! +100 to Awesome Rating! :D Also, is that Carmen Sandiego cosplay? If so, +100 more :D","@Necrodius","fashion",
