"text","handle","category","star_tweet"
"#FollowFriday #FF @RealityGlitch because he found Carmen Sandiego but then they just traded hats? I dunno it was kinda weird.","@Nintendo_Legend","fashion",
"Did anyone ever find Carmen Sandiego? Is she still on the run? Has she served her time? Is she still serving looks with the red fedora and trench coat? Where is she?","@graceafuller","cultural-icon","x"
"Check out reason #1 VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show Ever https://t.co/Os2H6Whgiy","@DavidYazbek","edutainment",
"Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego https://t.co/jEFBE87mE4 https://t.co/uBwgxgIsXa","@PansehTsewole1","cultural-icon",
"So I realized that every time it's Halloween I'm constantly Carmen Sandiego, but I think this year I'm going to be the crazy Druid chick from Troll 2","@TianaCamachoVO","fashion",
"I'm always looking for the flappy hat. I'll find Carmen San Diego 3x before I find you at Goodyear Ballpark https://t.co/1IMFC2lpN7","@byJeffRich","cultural-icon",
"@czechtwice Haha. Someone told me it reminded them of Carmen San Diego. It's the hat they handed out for Dress to the Nines day the K.","@amandapalumbo","fashion",
"Netflix is betting on ‘90s kids nostalgia for learning with upcoming lineup https://t.co/Y6MtIbJF3n #Games #Features #Reviews #news #cultu… https://t.co/73ARgrzP7x","@Iconjurer","cultural-icon",
"I am not only totally in for this rebirth of Carmen Sandiego, I think Gina Rodriguez would be an excellent person to portray that character. I just hope she visits North Dakota at least once! https://t.co/VIolawzp53","@ubersaurus","cultural-icon","x"
"""@adamlambert: Where in the world is Carmen San Diego?"" LOOKING FOR HER MUPPET FUR HAT","@SASpurs21Fan","cultural-icon",
"@LasVegasLocally @unlv It's the cowboy version of ""where in world is Carmen Sandiego"" being released for the Mega drive and Master System. Sorry, I'm a Sega kid.","@sweetiebird","cultural-icon",
"In a galaxy far away, when I was a kid I learned a lot of world connections through game, ""where in the world is carmen san diego"" #IEedchat","@mathkaveli","edutainment","w"
"Erin Andrews is wearing her best 'Carmen Sandiego' outfit today #NFLonFOX #GBvsSEA","@cjacksteel","fashion",
"@TaniaWalker Only if you pair it with a wide brimmed red fedora for the complete Carmen Sandiego look.","@DocFGeek","fashion",
"My brother calls me Carmen Sandiego because I’m always traveling and I’m pretty happy about that 😊","@jackieOhh_","travel","x"
"Dora the Explorer or Carmen Sandiego? Big Halloween decisions here people.","@shellbelle0123","cultural-icon",
"@kchironis PC: neopets, various dress up games, MegaMan, JumpStart, MathBlaster, Carmen Sandiego, Zoo Tycoon, Sims my older brother owned the consoles so I played w/e he bought but I was better at the fighting games than the shooting ones","@reallyisgreener","cultural-icon",
"❤️❤️❤️🌎🤓 I'm all in on this. I loved Carmen Sandiego. Dressed up as her for Halloween in 3rd grade & my hs Spanish class name was Carmen. https://t.co/nnYqWyhE07","@strongbasil","role-model","x"
"I had to copy all my CDs to tape cassettes cause the cars didn’t have CD players. Ever heard of a car phone? I used to get in trouble for taking apart my floppy disks My mom asked me to “flip the record” I had pen pals Oregon Trail & Carmen Sandiego Gumby Animaniacs","@EyeZick","cultural-icon",
"As a floater, sometimes I feel like buying myself a red hat and playing a branch-themed game of ""Where in the World is Carmen Sandiego?""","@Christina_Manzo","fashion",
"Where in the World Is Carmen Sandiego? Becoming a Secret Travel Agent https://t.co/i6sTr8odvV","@mnrdg","travel",
"I CANT STRESS ENOUGH HOW EXCITED I AM. CARMEN SANDIEGO IS MY IDOL⚡️ “Netflix greenlights a Carmen Sandiego series” https://t.co/IhtrtIs9p6","@TheSteffie","role-model","w"
"Where in the world is #CarmenSandiego because people are in dire need of learning geography.","@gabbyfer","edutainment","w"
"@profnojaegers I have hidden 13 ninja muffins somewhere in the world carmen sandiego style","@SillySilverWind","cultural-icon",
"I just learned that Carmen Sandiego has a cat named Carmine. I never noticed this.","@PushinUpRoses","cultural-icon",
"Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego: https://t.co/xmNpdyUn4W","@Tom__Coleman","cultural-icon",
"Gotta Catch ’em All…Carmen Sandiego Style #amwriting #writerslife #ThursdayThoughts #botswana #blog https://t.co/xCKN6EAzSx","@arrowheadfandp","fashion",
"Halloween party couple's costume idea: tell friends y'all are going as Waldo and Carmen Sandiego, then just don't show up to the party.","@IsaacKresta","fashion",
"I want to be Carmen Sandiego for Halloween! http://t.co/1t3VAsK9BY","@love_happy_hour","fashion",
"Is Carmen Sandiego a postmodern folk hero","@buttpraxis","role-model",
"Game Theories: Pauline = Carmen Sandiego. She wasn't the victim, Donkey Kong was part of a heist of illegal animals.Mario was in on the criminal business which is why another DK game had him kidnap a Kong. Same dress, same hat, same color.","@ThatPhillipSGuy","cultural-icon",
"Carmen Sandiego is a role model. https://t.co/76a8BVIvvh","@fromira","role-model","w"
"The adult version of Where in the World is Carmen Sandiego is Where in this Parking Garage is my Fucking Car and it’s not nearly as fun.","@cassanova3333","cultural-icon",
"Lets be honest, We ALL learned geography from #CarmenSandiego S/O @netflix for upcoming series 💃🏽💃🏽","@unapologeticJo","edutainment","x"
"@lamboftrain @K1ngEljay just mentally photoshopped him in Carmen Sandiego's hat. Needed that chuckle.","@AnAmazingFeat","fashion",
"I found Carmen Sandiego. She was hiding as a coat rack https://t.co/UTH4XLjrnW","@ScienceJesus","cultural-icon",
"Thought about wearing a bun... Might have to dust off my Carmen Sandiego","@JusDahl","fashion",
"Where is Sam Bradford? Perhaps he's traveling with Carmen Sandiego? Or maybe he's hiding in Eddie Valiant's closet?","@JasonwithaJay","travel",
"Cant trust women who rock fedoras b you aint carmen sandiego","@beatsbybogi","fashion",
"Happy Halloween from my costumes over the years... #PaperDoll #CarmenSandiego #JoyceByers #Dendelion #BabushkaDoll #MortonSaltGirl #Aquarius #Peacock","@HeidiALuerra","fashion",
"What if Carmen SanDiego and Waldo with the striped hat and sweater are somewhere with all my pens and sunglasses?","@RoxieBrookshire","cultural-icon",
"Fair enough. However, this means we stop whining about the disintegration of the institution of community and traditions such as civic participation. As somewhat of a nomad myself, I know that's difficult to achieve playing Carmen San Diego, in search of better opportunities. https://t.co/ZQJ8lDVuB5","@thedelphivision","travel",
"Questions that keep me up at night: 1. Where in Time is Carmen Sandiego? 2. Where in the World is Carmen Sandiego? 3. Who is this woman in a long trench coat and hat following me?","@herowen_","cultural-icon",
"He traveled further than Carmen Sandiego https://t.co/tso3P7XBhr","@MrAllenAlmachar","travel",
"If the Wide-Brimmed Hat Fits! Gina Rodriguez Will Play Carmen Sandiego in Live-Action Movie https://t.co/wTE03aRw0y https://t.co/dYB9OXTPUd","@HealthBeauty747","cultural-icon",
"I know where in the world Carmen San Diego is...she was headed west from 27th and Park in full costume about an hour ago","@AshleyRNoble","fashion",
"Carmen AND Waldo in the same place?! #costume #halloween #carmensandiego #whereswaldo… https://t.co/DDNl9y3aJ4","@musicboxsong","fashion",
"@joesteel Carmen Sandiego had the means to constantly travel to world. In Oregon Trail the only goal was to survive and most of the time you didn’t. I’d say it’s pretty accurate.","@dansturm","travel",
"can she wear this in red and be the modern day carmen sandiego pls https://t.co/qwD3Pa2TcD","@nvwju","fashion","x"
"@Sedna_51 Carmen Sandiego - hat, trench coat, boom.","@lizbizfizz","fashion",
"Gina Rodriguez to voice animated Carmen Sandiego series #FactsApps #Fashion https://t.co/MVHUielLgl https://t.co/Y61X1jCwRj","@FactsApps","cultural-icon",
"#QueenSugar Where in the world on NICKI MINAJS ALBUM.... (In the style of Carmen San Diego)","@Imwithtash","cultural-icon",
"@bcSharonZ What a wonderful picture of you two. Your adventures sound like a Carmen Sandiego trip‼️Godspeed Sharon, I’m envious of your travels🎈","@Melissamahlsted","travel",
"Netflix is learning how in the world to play the franchise game with Carmen Sandiego Nostalgic millennials, get ready for a Carmen Sandiego live-action movie and cartoon TV series. https://t.co/SlhDkBUsz5 via Quartz","@AmitKishore","cultural-icon",
"Carmen Sandiego spotted heisting a @cincinnatimetro bus. https://t.co/zXymHkIvZ3","@Paigetastic01","fashion",
"$309,000,000 after taxes. SHYT. I wouldn't even know what to do with that. I might just travel the world. Word to Carmen Sandiego.","@BedRoomGNGSTA","travel","x"
"A2: Where in the World is Carmen San Diego. There was SO MUCH to learn about. #LastingLearning https://t.co/YDoVJDDav2","@msyoung114","edutainment",
"@reincarmation thank you, Carmen Sandiego!","@anniemurphie","cultural-icon",
"I thought Halloween being on a Wednesday was gonna hamper a lot of the fun of the holiday, but so far I found both Waldo & Carmen Sandiego on their way to to work this morning and it made me smile!","@ShitMovieFest","fashion",
"I know she has a red hat, but the answer will always be ""no, I am not cosplaying Carmen Sandiego.""","@eringoblog","fashion",
"holiday party this year is spies/espionage-themed, so I'm pretty sure I need to get my Carmen Sandiego costume together","@techn0madic","fashion",
"i travel so much my life is like a really big game of where in the world is carmen sandiego","@KaiBruntmyer","travel","x"
"» Apple, Carmen Sandiego, and the Rise of Edutainment The Digital Antiquarian http://t.co/eUUIZ5BKjW","@herrkaschke","edutainment",
"#MeetTheHoosiers Jr. Close D Matt ""Frat"" Roberts. Fun Fact: Is on a quest to find Carmen Sandiego in Seville, Spain. https://t.co/tMDiGjLm62","@IULacrosse","travel",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show … https://t.co/O4DJMjEpgq https://t.co/kHeurek1k1","@gambacorta_m","edutainment",
"BossipNews> Iconic! Netflix Is Bringing Back OG Scammer Carmen Sandiego & Everyone Is GEEKED https://t.co/FolyTfFqNC","@SoMetroRadio","cultural-icon",
"Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego https://t.co/NS2Hj4g8g3 https://t.co/rpMNFhsh0v","@DrTsRemedies","cultural-icon",
"*singing* Where in the world is Carmen SanDiego?! #happyhalloween#carmensandiego https://t.co/Jrr11Wuf7s","@BadGirlsSports","fashion",
"Already have my next Halloween costume planned out. Carmen Sandiego. My date&39;ll go as Where&39;s Wally. Always wanted to do that","@leesatw651","cultural-icon",
"They’re making a Carmen Sandiego show on Netflix and 7 year old me is stOKED I mean wow what an icon https://t.co/chTxQi4R2g","@danisabella16","role-model","x"
"We finally found where Carmen Sandiego has been traveling. She’s been @MonksCafePhilly for all these years, traversing the world one beer at a time. https://t.co/GVDvCUHhx8","@Phillibeer","travel",
"@Spacekatgal We also had Carmen Sandiego, snap bracelets, Akira, Calvin and Hobbes, The Adventures of Pete and Pete, and the godlike Pro-Stars (Bo, Wayne, and Michael).","@chrispepp","cultural-icon",
"*sliding into my Carmen Sandiego-esque hat and coat* https://t.co/xlOFw1tnmg","@Kerr_Frost","fashion",
"My new goal in life is to star in a live action ""where in the world is Carmen San Diego?"" movie. #dreams #aspirations","@agedwhitewhine","cultural-icon",
"@kchironis I was homeschooled for several years, so edutainment was my bread and butter from age 11-13. Carmen Sandiego, Castle Explorer, the Way Things Work, Oregon and Yukon Trail, Magic Schoolbus, Journey of the Zoombinis. When I was a bit older, I played Escape Velocity for HOURS.","@ButWhatIfNeige","edutainment",
"@lululemon, long tunic, boots, coat that is too big to fit in my carryon, and probably the hat that I'll only wear once but feel compelled to bring since it's a good time to pretend I'm Carmen San Diego.","@deakhaus","fashion",
"Costume Guide to Carmen Sandiego's Criminal Style https://t.co/TBxac5a7Wt","@thecostumet","fashion",
"In the car to @c2e2 & realized: We are all #cosplay dressed as #hat people - I'm #CarmenSandiego, @beezd #DoctorWho, @JackRellok #Rorschach!","@MobileMollusk","fashion",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show … https://t.co/rZ3EXCtCZB https://t.co/KaSx39ERTL","@JoeJun4","edutainment",
"@SuedeBlade So that's where Carmen Sandiego got her coat.","@Cferra1227","fashion",
"OH MY GOD, glam Carmen Sandiego & her Pomeranian are sitting in front of me!!! She's flying in a big floppy bedazzled hat & I'm in love 😍","@renatasnacks","fashion",
"@daf1224 Love what you stand for, love what you do, love your picture mystery lady daf, are U Carmen Sandiego? LOL! Looking good in your hat! You wear it well Anyway God bless U & your efforts for putting things out there and showing your red white and blue as you wear it on your sleeve!","@almanza_amador","fashion",
"@chrissyteigen love the idea of you snooping around passengers for the scoop w ur big black Carmen Sandiego hat","@jasminedumpling","fashion",
"Saw a wide-brimmed red hat on someone in the train. Thought for moment Carmen Sandiego was on the T...","@GeekStanton","cultural-icon","x"
"Why did I never realize Carmen Sandiego is Hispanic?","@Preachcaleb","role-model",
"Where in the World Is Carmen Sandiego? Becoming a secret travel agent [3... https://t.co/YLBBa4O9MQ via @YouTube","@tom_vanveen","travel",
"Where in the world...#100happydays day 22 #worldtraveler #halloween #carmensandiego #costume http://t.co/FTmHTs78jE","@ManicPixiTravel","fashion",
"@welcomemattv I learned that my favorite game show, Where in the World is Carmen Sandiego, was taped next to Sesame Street, you know Carmen?","@JeremiahLiles1","cultural-icon",
"I also suddenly have a burning desire to see Talija dressed up like Carmen San Diego.","@TalijaCoyote","fashion",
"Where are we now? tbacon15 #roadtrip #carmensandiego #funtimes http://t.co/SBAvLvsocY","@JLazarz","travel","w"
"I forgot everything I learned about history in school, I only remember things I learned from Carmen Sandiego's Great Chase Through Time","@replacewythy","edutainment","w"
"Looking forward to playing ""Agent Carter or Carmen Sandiego?"" cosplay guessing game at comic conventions. #AgentCarter","@besandler","fashion",
"cutest 2 year old girl on my San Diego flight keeps chanting the Carmen SanDiego theme song. She's almost as excited as I am.","@gracebrown123","cultural-icon","x"
"When Carmen Sandiego taught me the word ""dossier"" in the early 90s, I did not expect to see it much again.","@elideep","edutainment","w"
"@BruceSallan so where didn't you travel to? You were like Where in the world is Carmen San Diego #DadChat","@Gr8DadsSociety","travel","w"
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show … https://t.co/ExiwTgDZF2 https://t.co/Q0DOeg2If9","@doogjohn","edutainment",
"Some bro told me my hat made me look like Carmen sandiego, I asked him if his mother still did his shopping","@kate_ross_","fashion",
"I wanted to be Carmen Sandiego for Halloween but I literally can't find a red trench coat 😩😭","@eirelavv","fashion",
"Pepper's Adventures in Time. King's Quest VII: The Princeless Bride. WitWi Carmen Sandiego. Day of the Tentacle. Theme Hospital. #childhood","@laurencruz","cultural-icon",
"The last theme night was Halloween, and somebody was dressed as Carmen Sandiego. So when they passed by me I went, “Where in the world are you?!” And the reply was, “Exactly! :D”","@tboogieee","fashion",
"@sarahcoldheart Cosplay carmen sandiego again","@eSZactLee","fashion",
"We learned to use computers on candy-colored Apples, and each student was assigned a floppy disc. You felt like a champ when you came up with a cool away message for you AIM Instant Messenger. I learned everything I know from Carmen Sandiego and Legends of the Hidden Temple.","@SirJanks","edutainment",
"Already have my next Halloween costume planned out. Carmen Sandiego. My date&39;ll go as Where&39;s Wally. Always wanted to do that","@pauleneublmckee","fashion",
"I also liked her ending outfit. Snazzy, though not as snazzy as that Carmen Sandiego-esque dress she wore in the manga. https://t.co/cCc2NvfpOU","@rikkuni","fashion",
"late realization... Carmen Sandiego was the hero in her games and media, don't @ me. seriously though, intelligent and powerful woman of color who traveled all over the globe, ran a very successful business doing what she loved. She's evil but Robin hood is a hero? pfft.","@Krynis","role-model","x"
"Mashable ""Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego"" https://t.co/bm06iJd8XO #News","@Amdavaadi","cultural-icon",
"they should reboot Carmen Sandiego. what little I knew of geography as a kid, I learned from that show. http://t.co/ThOuqGtLNG","@AnonymousZiZ","edutainment","x"
"@shibuyadreams Add a red hat and sunglasses and it's Carmen Sandiego","@fishpool86","fashion","x"
"Already have my next Halloween costume planned out. Carmen Sandiego. My date&39;ll go as Where&39;s Wally. Always wanted to do that","@monikaacm953","fashion",
"Wait. Is that a cookie with a Carmen San Diego hat on? 😂 #Empire","@dante2534","fashion",
"Carmen Sandiego and Waldo grab lunch #cosplay #cvg2018 #instagrammer #whereswaldo #whereintheworldiscarmensandiego #couplescostume @ Sheraton Bloomington Hotel https://t.co/1MHo13FnlG","@GoMidWestYWoman","cultural-icon",
"I think we finally found Carmen San Diego, I recognize that red coat and hat anywhere! https://t.co/9wY2WuMQl6","@HoodedLefty","cultural-icon",
"Davidson has been called for traveling more than Carmen SanDiego. #watchus #ShowMyAgeTweet","@jimhughelliott","travel",
"watching where on earth is carmen sandiego (my favorite version of carmen) and it makes me miss the old computer game i had in elementary.","@_itsVann_","edutainment",
"Come Get A Map https://t.co/JX7Yoc6NEX #posterPoster #maps #travel #carmensandiego #trackyourtrip https://t.co/n5bNs85d63","@PosterArtHouse","cultural-icon",
"@neitaro @Uobik I'd love it! Now on my ""easy&cheap+no-wig"" cosplay there are Carmen Sandiego and genderbend!cas XD","@guimilab","fashion",
"It's easy to put together this fun DIY Carmen Sandiego Costume! #Halloween #costume https://t.co/LJ5818oMeU https://t.co/Kmc7LqZm5M","@ThriftyJinxy","fashion",
"@runc0m @kubernetesio @RedHatNews I want a Carmen Sandiego hat! #RedHat","@fr3shnuts","fashion",
"Finally! Carmen Sandiego is the reason for my love of a good trench coat and fedora. https://t.co/qJTX7E9tBZ","@writerkatherine","fashion","x"
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational Show Ever https://t.co/fwaMUVwRdZ https://t.co/sSFodpGDCb","@Top_All_News","edutainment",
"My family used to call me Carmen Sandiego cause I was always traveling and never really told anybody where/when. Good times.","@SZAgold","travel","x"
"The hat. Carmen Sandiego? https://t.co/OlXmE4vqtg","@tlcesq","fashion",
"Carmen Sandiego with her red hat and trench-coat was EVERYTHING.","@semigemi","fashion","x"
"Excited Bill Nye the Science Guy eps are on @netflix! Now to complete my life, please add Where in the World is Carmen Sandiego. 🌋💃🏻","@sarlinz","cultural-icon",
"Iconic! Netflix Is Bringing Back OG Scammer Carmen Sandiego & Everyone Is GEEKED https://t.co/uYGem8HQC1 https://t.co/67LdwosXoQ","@Riek215","cultural-icon",
"Car 54, Where in the World is Carmen Sandiego? #CrossTVShows","@TLBKlaus","cultural-icon",
"Karlie Redd borrowed one of Rasheeda's Carmen SanDiego hats from last season for his meeting with Joseline...#LHHATL","@libra10584","fashion",
"Where In A Hat In Time Is Carmen Sandiego?","@GoldenSRL","cultural-icon",
"@chelsaya you're one gigantic hat away from being Carmen Sandiego","@ForTheLark","fashion",
"they should do something new with Carmen Sandiego. what an iconic woman","@untaintedtea","role-model",
"@RayMarkAble1 I saw you had that Carmen Sandiego costume that one time. Where in the world is Shannon Ray?","@_Corey_Deshun","fashion",
"Gina Rodriguez of ""Jane the Virgin"" Might Be The New Voice of Carmen Sandiego in Netflix Animated Series #latism https://t.co/TwNYmlDcqE","@kunmuth","role-model",
