"text","handle","category","star_tweet"
"WHAAAAAT?!?!?!!? ~It's Official: #CarmenSandiego Is Getting Her Own Animated #Netflix #Series~ https://t.co/Zroby7SBXy via @io9","@K41N_of_2358","cultural-icon",
"Pretty sure I know about geography from Carmen Sandiego.","@anton_ebooks","edutainment",
"So…. When is that Carmen SanDiego show coming from @Netflix?","@ZacCoffman","cultural-icon",
"Okay, I'm no video game expert so I'll just ask nicely for any company that makes video games to release Oregon Trail just as it originally was and Where in the World is Carmen Sandiego so I can play them on Xbox one. Thank you.","@angela1106","cultural-icon",
"First #costume of the day!! #carmensandiego #happyhalloween I'm just going to act suspicious all day. It comes n... http://t.co/FtVlvQy2JC","@GetMyHealthyOn","fashion",
"@ElizabethWatts5 you look like a modern day Carmen San Diego with your outfit tonight!! I'm a fan!!","@jrolgin","fashion",
"@DannyGradio educational tv show:321 Contact Where in the world is Carmen San Diego","@bpollock530","edutainment",
"Flashback Friday to matty_harris44 and I's costumes last year. Carmen San Diego and Agent Lee Jordan.… http://t.co/72Y51qXECj","@RachoUNO","cultural-icon",
"Carmen Sandiego had a yellow trench coat #MandelaEffect","@LateralSpiral","fashion",
"damn i had forgotten carmen san diego started as a computer game. *plays tv theme song again* 🔥🔥🔥","@bk_again_","cultural-icon",
"Carmen Sandiego is the anti-hero? https://t.co/zz1ukPBN7a","@hipcinema","role-model",
"So glad to see Gina getting these roles! If you haven't seen her on Jane the Virgin, check it out. She's incredible in it! https://t.co/NcqEB4bMtr https://t.co/NcqEB4bMtr","@joe_juhase","cultural-icon",
"I wish I had @kkfox32 job... MUST be nice to sit on a computer all day and travel the world on the side. #carmensandiego","@leslierae13","travel",
"@Netflix Originals i'm looking forward too part deux: #Wheelman feat. #FrankGrillo, #LostInSpace series, #StarTrekDiscovery, #CarmenSandiego","@ih8yh","cultural-icon",
"Where in the world is Carmen Sandiego? #LifeQuestions","@AceOvInsanity","cultural-icon",
"@Tibor__ Red hat as in Carmen Sandiego's or the Linux one? If it's Linux one that means assuming the deal goes through, IBM is the red hat. This means it's Watson vs libs. Ppv match in the making!","@Ficusplant","cultural-icon",
"Netflix's 'Carmen Sandiego' debuts on January 19th, 2019 https://t.co/CGirOJNT1P via @ric9871ric #retweet #pleaseretweet https://t.co/u5g3352ISy","@Ric9871Ric","cultural-icon",
"Netflix finds 'Carmen Sandiego' for its latest reboot In a bid to answer one of, if not the biggest unsolved... https://t.co/Sx1zaQdbFo","@samymohab","cultural-icon",
"2019 looks to be very optimistic for me. The #CaptainMarvel film and the #CarmenSandiego @netflix series coming that year!","@BurningKikoken","cultural-icon",
"I guess a good thing about the terrible weather is getting to wear a great trench coat and a fedora #carmensandiego style","@ClaireeHowson","fashion","x"
"ladies, if he: - never texts you back - doesn’t follow you on social media - wears a red hat - was a former spy for the Intelligence Service of Monaco - has traveled through time using a Chronoskimmer he’s not your man, he’s international criminal mastermind Carmen Sandiego","@rustyepstein","fashion",
"I hardcore miss the where in the USA is Carmen Sandiego video game","@MaeFli","cultural-icon",
"Not a regular thief like Carmen Sandiego!","@standard_dude","cultural-icon",
"New on Netflix in January: 'Incredibles 2,' 'Carmen Sandiego' and more Marvel https://t.co/cIip0SzdTO","@LLinda91","cultural-icon",
"On this day, over 33 years ago, Carmen Sandiego went missing. Press F to pay respects. #WhereInTheWorldIsCarmenSandiego https://t.co/evjcq7P0Ql","@HoldenZA","cultural-icon",
"Coming to #netflix soon...#carmensandiego!!! #wishitwasme #netflixandchill #Latinas #latinapower… https://t.co/EIgxkNyA0T","@RozB33","role-model",
"Coraline and Carmen Sandiego are next up on my list of Funkos for the Lady Heroes Shelf","@kaneandgriffin","role-model",
"#Fanose #Movies #comics |https://t.co/0BB3kvAaFM ..soon. First look image from Netflix’s Carmen Sandiego, Finn ... https://t.co/dtxAHFuabn","@hossamostafa707","cultural-icon",
"RottenTomatoes - Our first look at Netflix's new Carmen Sandiego animated series starring Gina Rodriguez. She's back January 18. https://t.co/ZBQU5jCRjE","@CinemApp_CineUK","cultural-icon",
"@RealMuckmaker Did he steal Carmen SanDiego's hat style? https://t.co/JpX8WOoTiD","@AltCheeto","fashion",
"@LadyKaianne I did once dress as Carmen Sandiego for Halloween","@W_Cath_SA","fashion",
"I need Halloween costume ideas. Last year I was Carmen Sandiego, the year before I was Audrey Hepburn. I need help! Suggestions, go!","@a_leesee_a","fashion",
"Um, yes. I pretend I'm Carmen Sandiego every time I wear mine. Doesn't everybody? https://t.co/SJR0Q3TEu1","@pipifelix","fashion",
"@chillibeanboy @MatthewWolfff Well she glides around the globe and she'll flimflam every nationShe's a double-dealing diva with a taste for thieveryHer itinerary's loaded up with moving violationsTell me where in the world is Carmen Sandiego? the song is now stuck in my head","@Jacala63","cultural-icon",
"@CodyMatzFox9 What if Waldo and Carmen Sandiego were actually Beta testers for this new travel thing? #idkwhereimgoing #whereintheworld?","@sailorlaalaa","travel",
"@HartKnight Hey, I'm with ya on that one. :) Ooh, Carmen Sandiego icon. I approve.","@SonicHomeboy","cultural-icon",
"Think of a world where instead of shaming #Carmensandiego for her crimes, we learned from what she tried to teach us.","@thisislarimix","edutainment",
"Cookie with the carmen san diego hat","@bebeBADaxx","fashion",
"Didn't like the designs of the Netflix SHE-RA reboot at all but at least with this #CarmenSandiego reboot Carmen herself looks good. https://t.co/ugXebgEOOy","@TimothyBOsborne","cultural-icon",
"Suitcase life...I'm wondering where in the world did Carmen Sandiego put her luggage with all that traveling?😑 https://t.co/M7pQRG8Ko2","@keemscott","travel",
"@ebontongue Somehow I could see you in a Carmen Sandiego-esque fedora...","@Myuphrid","fashion",
"⚡️ “Netflix greenlights a Carmen Sandiego series” https://t.co/SPv8QlVzo7","@jamesalx30","cultural-icon",
"Already have my next Halloween costume planned out. Carmen Sandiego. My date&39;ll go as Where&39;s Wally. Always wanted to do that","@knowlestbil","fashion",
"Why is Erin Andrews dressed up as Carmen San Diego RN?","@professormolly","fashion",
"oooh netflix is remaking carmen sandiego","@ellji","cultural-icon",
"@JessieJ Wow @JessieJ you're goin' in right now traveling more than Carmen Sandiego!! #WhereInTheWorldIsJessieJ http://t.co/JSQsKM17Ak","@wayneashleymusi","travel",
"He got the Carmen San Diego hat on https://t.co/dQNuNcix5x","@Lamar_NoOdom","fashion",
"@DaRealJohnConor that they were .. For some reason my fondest memory was trying to download Carmen San Diego to your computer 😂","@KathTarzwell","cultural-icon",
"Castlevania, Chilling Adventures of Sabrina, Bojack, Disenchanted, SheRa: Princesses of Power & Now Carmen Sandiego! Seriously guys there's never been a better time to be a @netflix subscriber!! If you want fantastic original content do yourself a favor and Subscribe ASAP!!!","@ASliceofComics","cultural-icon",
"@kylegriffin1 @Hegemommy When did Carmen Sandiego stop wearing her hat?","@pubsecinfosec","cultural-icon",
"Where in the world is Tori Toth this week? ❤️✈️ #carmensandiego life. This week I’m taking a… https://t.co/w9NXZzKAJi","@toritothstager","travel",
"Dreamed they remade Sonic Rush&SonicRushAdventure for the Switch but all they changed was Blaze&Sonic wore Carmen Sandiego outfits.","@wheekwonk","fashion",
"things i learned from carmen sandiego: puns have been important all throughout history","@lahirisms","edutainment",
"Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego https://t.co/vgnlswxL8O https://t.co/u7zpwWTjAf","@JamesStakowski","cultural-icon",
"@Blackdemon1000 Elk County? Close, I mean I'm passing by it on the 219 when I'm driving to my location. I feel like #CarmenSandiego","@FayroeFox","travel","w"
"To this day, I see art or cosplay of Alucard from Hellsing, my mind automatically goes to Carmen Sandiego first.","@JustCallMeDjm","fashion",
"Carmen Sandiego is returning as an animated children’s show on Netflix https://t.co/6Tknivz69m","@msejaent","cultural-icon",
"Agent carter stole Carmen sandiego's hat...or is agent carter really Carmen?","@thesavvybear81","fashion",
"I still have the original series on DVD to watch, and I won’t be able to get around to it before January. Are you a Carmen San Diego fan? And are you looking forward to the new series?","@ToonMasterTim","cultural-icon",
"And if they got on those Carmen Sandiego hats, it's a wrap. The bigger the hat, the less crap they taking! https://t.co/e5anTxUZf6","@busyworksport","fashion",
"#TechSpot Netflix greenlights 'Carmen Sandiego' animated reboot https://t.co/cDrRR1ArJc","@TechSquadDeals","cultural-icon",
"I want a Carmen Sandiego game where she travels the world taking fedoras back from MRAs.","@StabbinsMcGee","fashion",
"Nikhil Makwana: #NEWS Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego https://t.co/HfuKotuP3y … #Money …","@Tocacyy","cultural-icon",
"@BRKeogh http://t.co/3o5vZS6rpP CARMEN SANDIEGO ALSO WEARS A HAT & IS EDGY. COINCIDENCE????","@caraellison","fashion",
"I think Dora the explorer must be related to Where in the World Is Carmen Sandiego","@SexyScarsToo","cultural-icon",
"A #Hollywood star is born! Gina Rodriguez to play Carmen Sandiego in #Netflix action feature! 😎 https://t.co/8VKjxUnzVp","@HollywoodTales","cultural-icon",
"I sure loved my Apple 2GS back in the day. What I wouldn't give for a little Carmen Sandiego and a dot matrix printer right now. #banners","@julie_halpern","cultural-icon",
