"text","handle","category","star_tweet"
"dawg my car is named carmen san diego & anyone who knows me knows that.","@JeffJumpshot","cultural-icon",
"Rita Ora Is Red-Y For Winter With This Bundled Up Outfit In London!: Where in the world is Carmen Sandiego Rit... http://t.co/49EhkrRjAd","@carolbrowning42","cultural-icon",
"Netflix orders animated Carmen Sandiego series https://t.co/OMWfTiqz51 https://t.co/fd3ZCUpSln","@arnaudhacquin","cultural-icon",
"a) this is a good question b) well now I'll have the Carmen Sandiego theme stuck in my head all morning so I guess I'll pass it on to y'all c) I wonder how much Carmen Sandiego had to do with the overwhelming popularity of college a capella in the late 2000s","@DLind","cultural-icon",
"Road Trip!! Where in the world is Carmen Sandiego? http://t.co/TgHmOepeSQ","@eco_emily","travel",
"#MeetTheHoosiers Jr. Close D Matt ""Frat"" Roberts. Fun Fact: Is on a quest to find Carmen Sandiego in Seville, Spain. https://t.co/tMDiGjLm62","@IULacrosse","travel",
"#News #Apple Thirtieth anniversary of Carmen Sandiego marked with new iOS app: Global learning company Houghto... https://t.co/DyhbXqaLrz","@_Apple__News_","cultural-icon",
"I sure loved my Apple 2GS back in the day. What I wouldn't give for a little Carmen Sandiego and a dot matrix printer right now. #banners","@julie_halpern","cultural-icon",
"Carmen Sandiego is getting her own Netflix series meaning I've officially run out of reasons to refrain from getting me a subscription 😭😭","@rootless_froot","cultural-icon",
"@d4ni3ll33 lol you're a world traveler like Carmen San Diego. How do I find you ? 🕵","@_YJacques","travel",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show … https://t.co/wO7CrWD7GW https://t.co/aqDCkHcAWx","@vampbutterfly","edutainment",
"When Gina Rodriguez is the new Carmen Sandiego in the Netflix reboot of CARMEN SANDIEGO!! ❤️❤️❤️","@MIGHTYMAITE007","cultural-icon",
"If we could use time travel to chase down Carmen San Diego, why didn't we just go back in time and arrest her before she became a criminal?","@RoroMacSays","cultural-icon",
"“World’s greatest thief” Carmen Sandiego wouldn’t wear a bright red coat. #IfCartoonsWereLogical","@jaredshroyer","cultural-icon",
"Carmen Sandiego Is Officially Happening With Gina Rodriguez at Netflix: Get excited, gumshoes! Just days after it… https://t.co/tqWQgLlZmo https://t.co/Q1sGaVCqdR","@amandasome","cultural-icon",
"@iSmashFizzle She's a sticky-fingered filcher but she's such a cool, smart and charismatic thief that we all root for her anyway. Nobody ever made a song about the people pursuing Carmen Sandiego.","@Brocartoon","cultural-icon",
"My wife travels for work, every time I hit the Find My Friends button I feel like I’m playing a game of “Where in the World Is Carmen Sandiego?” https://t.co/kud8sCh0lG","@jctheproducer","travel","x"
"First poster and images for Netflix’s Carmen Sandiego https://t.co/qsaOZ4XdxR https://t.co/DpXmKsyrcg","@flickeringmyth","cultural-icon",
"But where in the world we will be able to watch it? Oh right, on Netflix- Dylan https://t.co/dlepXJkUAv https://t.co/dlepXJkUAv","@SquabbleBoxHQ","cultural-icon",
"When I started teaching Where in the World is Carmen Sandiego was the it game. 21st Century version -Where in the World is @emitoms Enjoy","@wyowayne68","edutainment",
"“Gina Rodriguez To Star As Carmen Sandiego In Netflix Live-Action Feature” https://t.co/aws3gJjiYp #smatterings https://t.co/mStcn2Of78","@sayahillman","cultural-icon",
"@shaner_english THERE in the world is Carmen San Diego! #WonderWoman","@shaner_english","cultural-icon",
"@funnysfaces i feel like the 2nd one is like a chic carmen sandiego https://t.co/RdyWKs8eU6","@the_diagon_alli","fashion",
"Imagine Gina Torres playing Carmen Sandiego in a movie that was like Mission impossible/Jason Bourne","@opph20","cultural-icon",
"So Netflix is creating a show based on Carmen Sandiego starring Gina Rodriguez as her? Interesting...","@BKFinest92","cultural-icon",
"@Amuly21 the Peggy shirt I have is a profile of her in the red hat. I wore it a few weeks ago and someone asked if it was Carmen San Diego","@codenamezinc","fashion",
"@DanAlexander21 This is like in Carmen San Diego when the dagger flies by","@Scott_prototype","cultural-icon",
