"text","handle","category","star_tweet"
"My humor seems to be falling on deaf ears. The lady in that article has a floppy hat and she's a criminal. She's Carmen San Diego.","@dave_mayhem","fashion",
"@wittysobriquet We fought for the computer with the 3 1/2 floppy drive in school because it had Carmen Sandiego, but I did a lot of bison hunting on the trail. Absolute classic.","@GeekLukeG","cultural-icon",
"Netflix Reboots 'Carmen Sandiego' With Gina Rodriguez https://t.co/PY64aQu1pU via @THR","@NETWORKWTV","cultural-icon",
"@netflix re: Carmen Sandiego - will Rockapella be returning?","@snacks_kyburz","cultural-icon",
"Kids should know about school in the good old days where you learn words in computer class like""RAM"" & playd Oregon trails & Carmen Sandiego","@Chris_Barrio","cultural-icon",
"Happy Halloween!!! Fun party with our hockey friends!! #whereintheworld #carmensandiego http://t.co/oFv0Cr9J2R","@kwhiteRN","fashion",
"Animation event- WeWork Hollywood on 11/13. Panel: A Co-Executive Producer for a DreamWorks/Netflix show who has writing credits on ""Voltron"", ""Avatar: The Last Airbender"", and ""Carmen Sandiego,"" a Lead Animator for Lucasfilm video…https://t.co/AOp772gyjM https://t.co/pEpzBFjtUf","@MyAmazingLifeYo","cultural-icon",
"How Carmen Sandiego accidentally became an educational game icon - %https://t.co/WPzYxNDV8C%","@MarioManiac6","inspiration",
"Just saw the best couple costume downtown: Waldo + Carmen Sandiego. #halloweengoals","@AllieBamma","fashion",
"Netflix plans live-action 'Carmen Sandiego' film with Gina Rodriguez https://t.co/envs1QQrxD #carmensandiego #entertainment #ginarodriguez","@GamerGeekNews","cultural-icon",
"Netflix’s Carmen Sandiego Animated Series Adds Stranger Things Star https://t.co/eMAPSyMWLL #imdb #movies #hollywood https://t.co/EFR7qV8FNi","@imdbcenter","cultural-icon",
"It's fate! ⚡ Netflix greenlights a Carmen Sandiego series https://t.co/GDiMxZ6pu4","@DemetriBlak","cultural-icon",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show … https://t.co/1Xxn6vqsLS https://t.co/eYGhF7VRHU","@kyra_teko","edutainment",
"@Umekopyon @VixVixious I've always loved geography though. Carmen Sandiego was my childhood.","@Umekopyon","cultural-icon",
"Call me rare but I like all the outfits the Resident Evil 2 remake characters have especially Ada's she giving me spy and Carmen Sandiego Vibes ain't nothing wrong with change people need to stop living in the 90s","@Purple1382","fashion",
"Netflix Could Be Bringing Carmen Sandiego Back https://t.co/q70MIAllEe","@LeeColston2","cultural-icon",
"Queer Eye and One Day at a Time were renewed and there’s gonna be a Carmen Sandiego movie. Well done, Netflix.","@danidraws","cultural-icon",
"@LaceRossi Fodor's USA Travel Guide, World Almanac of the USA & Where in the USA is Carmen Sandiego Clue Book help me find Carmen in the US.","@JeremiahLiles1","cultural-icon",
"So I just downloaded Sandiego Inc ..which is kinda like Where in the World is Carmen San Diego OMG. Hyperventilating.","@petersereno","cultural-icon",
"@Netflix_CA @915theBeat @Unfortunate @KimmySchmidt @GraceandFrankie Wait....carmen sandiego like the game show from my childhood?!","@JamesHogan757","cultural-icon",
"The third image from my colab with @garypeppergirl with an illustrated hat by me. A little Carmen Sandiego for... http://t.co/NhCsbG3AwV","@kellythompson1","fashion",
"What You Learn Hunting Carmen Sandiego Without Google's Help https://t.co/Y6ZMxcABeA #google","@_newstech_","edutainment",
"Are there mods for the old Carmen Sandiego games that change it so instead of having to arrest her when you find her, you can join her?","@FunkAlmighty","cultural-icon",
"Where in the world is Carmen Sandiego?","@rcotton2","cultural-icon",
"New post (Carmen Sandiego Premiere Date Set for January 2019 on Netflix – /Film) has been published on Breaking News - https://t.co/s7brmaNke5 https://t.co/1w9BBX5fEu","@BreakingNewsHom","cultural-icon",
"#We good day VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show Ever https://t.co/vHUgfIxrRN","@79384077743Z","edutainment",
"Just realized the best cosplay photo would be Waldo and Carmen Sandiego together.","@j_hat","cultural-icon",
"Where in Time is Carmen Sandiego? I don't know presently, but at one point she was in 1940s, and Peggy Carter lent her a hat.","@DubiousCA","cultural-icon",
"Netflix plans live-action 'Carmen Sandiego' film with Gina Rodriguez https://t.co/v1jTuDYZlL https://t.co/9T5zOIavkk","@DonDizzler","cultural-icon",
"#Netflix I'm begging you - please make a new version of Where in the World is Carmen Sandiego? I'd watch the hell out of that with my kid!","@rachaelbwriter","cultural-icon","x"
"The rain + this song makes me feel like Carmen San Diego https://t.co/oSEeERAZLh","@FreeDieselGlo","cultural-icon",
"@defonce_ For real though, this run as a whole is pretty solid drive-wise. Glad those Carmen San Diego VHS tapes I sent you are helping :D","@AlexHuffman","cultural-icon",
"@IvaCheung Who with, now? Mr. Rogers? Dora (all grown up)? Carmen Sandiego? Mr. Dressup?","@sesquiotic","fashion",
"How Carmen Sandiego accidentally became an educational game icon https://t.co/8RMF5F7qYM #game#gamer","@Gamer_Agent","inspiration",
".@HereIsGina to star as ‘Carmen Sandiego’ in @Netflix live-action https://t.co/mmy9TDTMVb [@vibe_viva] https://t.co/2jgrAzeHgx","@VibeMagazine","cultural-icon",
"@Shizzuie i never really got to watch carmen sandiego cuz i never saw it on canadian television :(","@_spatsula","cultural-icon",
"#Netflix plans live-action 'Carmen Sandiego' film with #GinaRodriguez https://t.co/wK1odtAUed https://t.co/27lS8DQ7Pj","@Gamolizer","cultural-icon",
"Gina Rodriguez Will Play Carmen Sandiego In Netflix Live Action Film https://t.co/yyCPUjeKBk","@any_event_media","cultural-icon",
"@omgfloofy Where in the World is Carmen Sandiego was an amazing edutainment title back in the day, and it could still be fantastic today.","@omgfloofy","edutainment",
"Jane the Virgin's Gina Rodriguez to Voice Netflix's Carmen Sandiego https://t.co/zlyM1VWQOB","@theCWfans","cultural-icon",
"Carmen Sandiego' Series Hits Netflix, With Gina Rodriguez https://t.co/mFVyMNeSmj","@cinemosity","cultural-icon",
"What's your favorite edutainment video game? Mine is Mario is Missing!, with honorable mentions to Where in the U.S.A. Is Carmen Sandiego? & Treasure Mountain.","@the_valerie","edutainment",
"The news that #CarmenSandiego is making a @netflix comeback is honestly the best thing to happen for several days #WhereOnEarth @NetflixUK","@MatthewBretton","cultural-icon","x"
"I can hear @HereIsGina's voice now... Check out this first look at @netflix's #CarmenSandiego!! https://t.co/KSbB7nBE8n https://t.co/xQaWAnpLpH","@samhighfill","cultural-icon",
"@Dustin8UrCereal Haha that's life, alright. Working way too much. How's the wanderlust life, Carmen San Diego?","@sirmitchellot","travel","x"
"#TECH #News Dust off that magnifying glass! Carmen Sandiego is getting a #Netflix movie… https://t.co/3rw31q2slg","@Harley_Woody","cultural-icon",
"Gina Rodriguez Lands Carmen Sandiego Role for Live-Action Netflix Movie https://t.co/9AxlYptuP3 https://t.co/blrYo0CAhw","@ProducerBooster","cultural-icon",
"I feel like Carmen Sandiego today! Where am I now? https://t.co/FI0x9anpQT","@candacecbure","travel","x"
"#CarmenSandiego on @netflix that makes me happy. Another reason I have to keep my Netflix Account 🤷🏾‍♂️","@joinlasc","cultural-icon",
"""And she's wearing this trench coat lookin' like Carmen SanDiego.""","@KodaFett","fashion",
"Netflix finds ""Carmen Sandiego"" for its latest reboot https://t.co/8LcTTuo5GY #carmen #carmensandiego #culture #internet","@Theusatime","cultural-icon",
"@Sketch_Dailies I bet Carmen SanDiego would have been bffs with Dora the Explorer #CARMENSANDIEGO http://t.co/G0MflLixJe","@redribbonrobot","cultural-icon",
"#Breaking @netflix planning a live-action #CarmenSandiego film. The film is an extension of the animated series, and will star Gina Rodriguez. https://t.co/EDzXwFRO61 @BlastingNews #IARTG #PJNET #tcot https://t.co/7e10CwewLE","@eoanews","cultural-icon",
