"text","handle","category","star_tweet"
"Doing my best impression of Where in the world is #carmensandiego lol! I love this season because I enjoy wearing hats 👒🤠🧢 _____ #fashion #fashionblogger #photoshoot #style #fashionstyle… https://t.co/B1DLhsalzm","@ShannonCWillis","fashion",
"I feel like Carmen Sandiego everyday #longcoatseason","@samieyez","fashion",
"engadget: Netflix finds 'Carmen Sandiego' for its latest reboot https://t.co/xMD95GeD7o https://t.co/oRimHsApfh","@all_newsonline1","cultural-icon",
"@The_Anim_Comm That would be neat! Netflix is also making a live-action Carmen Sandiego movie with Gina Rodriguez, so I think they have big plans for this property.","@MisterCoat","cultural-icon",
"Questions that keep me up at night: 1. Where in Time is Carmen Sandiego? 2. Where in the World is Carmen Sandiego? 3. Who is this woman in a long trench coat and hat following me?","@herowen_","cultural-icon",
"@DanaDelany my Carmen Sandiego of the XXI century! #InLove #BodyOfProofAlways","@_luacostaER","cultural-icon",
"Netflix Developing Live-Action Carmen Sandiego Movie https://t.co/zz1HnSjx4t - Jordan Oloman #retweet IGN","@ItsDrDEagle","cultural-icon",
"Netflix finds 'Carmen Sandiego' for its latest reboot https://t.co/zNUnSxuwIu In a bid to answer one of, if not the biggest unsolved myste… https://t.co/pjn3nJ2GVi","@LouzWate","cultural-icon",
"@AnalogGrrrL Carmen Sandiego has it.... That's why she's so elusive...🌍🕕","@ss_ibe","cultural-icon",
"kind of loving my life right now and how i can pretty much work anywhere in the world ✈️🌎 #carmensandiego","@Divya831","travel","x"
"Netflix is making a Carmen Sandiego movie with Gina Rodriguez – CNET https://t.co/1dZOstqBjw","@DrSonamsharma","cultural-icon",
"""Carmen Sandiego"" Reboot Finds New Home With Netflix https://t.co/dCFBGSMzGv (@JTeespeak)","@JackFMDFW","cultural-icon",
"Oh OK, it's more fun if you think of winter as a disguise. Under a beanie, scarf and coat, I could be anyone. I could be Carmen Sandiego.","@kateileaver","fashion",
"This video/song is not the greatest but it features my oldest cousin (in the silver jacket). I remember watching him learn new moves by copying the dancers in ""Where In Time is Carmen Sandiego?"" Follow your dreams y'all. -s https://t.co/0VQcTUAIW6","@comosedicenerd","cultural-icon",
"This elusive criminal mastermind decked out in red is here to teach a thing or two, as I take a look back at Where on Earth is Carmen Sandiego. This article covers the #cartoon and a little about the character that has stuck with me through the years. https://t.co/fiypruqCOC","@StephenWilds","edutainment","x"
"@TheChicGovGeek Carmen Sandiego!! Well she sneaks around the world from Kiev to Carolina, She's a sticky-fingered filcher from Berlin down to Belize, She'll take you for a ride on a slow boat to China, Tell me where in the world is Carmen Sandiego?... Ohhhh #childhood.","@EmilyDouglasHC","cultural-icon",
"1)color TV 2)stories about inventors 3)learning to use a mouse 4) Where in the World is Carmen SanDiego? #whatsparkscuriosity","@JoAnnJacobs68","cultural-icon",
"@agoodstrongwife *shakes fist at the heavens* Carmen San Diego!!!!","@OozyPuddles","cultural-icon",
".@ErinAndrews looks like Carmen SanDiego with that hat on. #SEAvsGB","@ben_roberts1","fashion",
"Gina Rodriguez will bring life to 'Carmen Sandiego' for Netflix https://t.co/bJyeSvkE59 via @latimes","@Chris_1791","cultural-icon",
"‘Carmen Sandiego’ Animated Series Is Coming — With Gina Rodriguez! https://t.co/znZWBEuZd7","@Rincon_Fashion","cultural-icon",
"Carmen Sandiego Hat http://t.co/2HvqVYdOqU via @Etsy Finish your #carmensandiego #cosplay with this hat!","@bluetiedesigns","fashion",
"Why did dress alike. This is worst than the Carmen Sandiego outfit #LHHATL","@StarringRaka","fashion",
"Carmen Sandiego Hat and Dark Layers https://t.co/QWF0WQmKR7","@meghandono","fashion",
"Carmen SanDiego was a great show because it taught an entire generation geography, history, and that beautiful women wil","@thomasexujopiz","edutainment",
"are we sure carmen sandiego wasn't a trickster god sent to drive kids mad with her game","@daintydropkicks","cultural-icon",
"@bellelumiere passions, where in the world is Carmen San Diego, Zoom, wishbone. That was when I was in elementary though.","@kellyyes","cultural-icon",
"@brenda_alicia Google: ""where in the world is Carmen Sandiego"" and ""where's Waldo"" and get in on the joke","@Jepoken","cultural-icon",
"Went old school today with a little Carmen Sandiego youtube/@EDpuzzle mashup. Solving crimes and learning about the world. @FatherHenriVS https://t.co/ZMV5JfFnSR","@fhvgrade3","cultural-icon",
