"text","handle","category","star_tweet"
"Can't wait to see Carmen Sandiego again #Netflix","@DaJMeRos","cultural-icon",
"Gina Rodriguez will bring Carmen Sandiego to life for Netflix https://t.co/TiscKkfUcT","@fizapirani","cultural-icon",
"I want to play Duke Nukem, Oregon Trail and Where in the World Is Carmen SanDiego! Is that too much to ask? #oldschool","@Oh_HeyCan","cultural-icon",
"Just call me Carmen San Diego. 💃🏼Where to next? Well, in order to combat post trip depression, just booked my next… https://t.co/RZl12VWYFb https://t.co/SJ5a1vSJd9","@Crazytravelista","travel",
"Carmen Sandiego Cosplay https://t.co/V9LMYWjoKd https://t.co/1rAlc8oLuB","@CosplayRR","fashion",
"The First Images of Netflix's Carmen Sandiego Are Here - https://t.co/qDcaVBzF0b","@TrillyOnline","cultural-icon",
"While no one is watching, The BBC steals Big Ben, Carmen Sandiego-style. http://t.co/Ly1AA0q4PK","@iamsas","fashion",
"@Ky1eLong favorite super hero? Left or right sock first? Where in the world is Carmen Sandiego?","@mediocrebest","cultural-icon",
"Car 54, Where in the World is Carmen Sandiego? #IconicTVMashup #IconAwards","@sergebomba","cultural-icon",
"@thisisrory You wearing a certified @JoeBudden special fit. You've got the ankle exposed, just missing the Carmen San Diego hat.","@PhilyJ_213","fashion",
"WHEN in the world is Carmen Sandiego coming to Netflix? *hacks database* January 18! Who’s ready to go on an adventure with @HereIsGina and @FinnSkata? #NetflixNewsWeek https://t.co/d4UC2kb5vZ","@seewhatsnext","cultural-icon",
"@reneil Gina Rodriguez To Star As Carmen Sandiego In Netflix Live-Action Feature https://t.co/AxH9V7a0KJ","@IndyCapUSA","cultural-icon",
"Doing more traveling than Carmen San Diego https://t.co/CucPmB53Qf","@SleazyC_","travel",
"Rewarding some students with some old, yet fun computer games that will help learning about History, Math and Science more appealing. Where is Carmen Sandiego and JumpStart adventures have a staple of my childhood... https://t.co/Gml52IDBu6","@alextable","travel",
"#GinaRodriguez to Voice #CarmenSandiego for #Netflix Animated Series as Two Movie Studios Battle for Her Next Slot https://t.co/bdx8TZ5ho9","@PopCultureZone","cultural-icon",
"@Holtarna @Phukfaic @chxmicalwarfare @Overmayor This sounds like an actualized version of the time travel Carmen Sandiego game from the 90s that I remember playing and ragequitting because it was too frivolous.","@PunkerTY","cultural-icon",
"Can somebody make a Carmen Sandiego app already?! Make geography fun","@anemmanie","cultural-icon",
"Netflix Is Reportedly Reviving Carmen Sandiego With Gina Rodriguez https://t.co/0TkxydqTaq https://t.co/TRD647ZsEs","@WJCLNews","cultural-icon",
"Where in the World is Carmen Sandiego ❤️ Where’s Waldo #halloween… https://t.co/olJ40ZQ3ei","@aleanamarieB","fashion",
"1. Form-fitting long button coat, either red or blue 2. Janelle Monáe’s 2018 VF Oscar Party dress 3. Carmen Sandiego’s entire outfit ...I have a type https://t.co/TWgdBXoWj8","@DrownARiver","fashion",
"What You Learn Hunting Carmen Sandiego Without Google's Help https://t.co/rKp0AsfNIS","@Mario_Tekdung","edutainment",
"After acquiring live-action film rights to the Carmen Sandiego media franchise, Netflix is officially moving forward with a screenwriter for the project: Game Night writer Mark Perez. The https://t.co/qyRtljDPkL","@dreambuilderpro","cultural-icon",
"In honor of #geoweek here is an ode to my personal geographic hero, Carmen Sandiego http://t.co/y1vCxHcJfX #osmgeoweek","@RosemaryWardley","inspiration",
"Inspired by my longtime 💖 of #CarmenSanDiego, I've created @YouTube playlist #game called, 'Find Amara' ~ where you watch other creators videos & try to spot me... take that Waldo: https://t.co/jI7S1rJDlG 🔍🤔🎬 Best Adventures, @AmaraInSeattle & #AmaraNotInSeattle 😉 https://t.co/4C2E9ahXYl","@AmaraInSeattle","cultural-icon",
"#BreakingNews Netflix Is Reportedly Reviving Carmen Sandiego With Gina Rodriguez https://t.co/kidyKQEIRc","@RaizMakmur","cultural-icon",
"@mechapoetic some of the more effective edutainment games like carmen sandiego were 90% reading external sources, often enclosed","@HepCatPJs","edutainment",
"Amazon's Alexa: ""Why is Carmen Sandiego bad at basketball? Because she's always traveling."" Good joke, but the thing is, I didn't ask...","@JohnsonIU","cultural-icon",
"@missleylaha Now the Carmen San Diego theme song will be in my head all day","@SLAVES_BC","cultural-icon",
"Outfit of the day goes to Shay. Where in the world is Carmen San Diego? She's smashing cans on the roof of Nomads... https://t.co/8fh8SouOcD","@NomadsStKilda","travel",
"Kourtney Kardashian Takes Younes Bendjima on a Surprise Birthday Trip Oh, the places they'll go! Kourtney Kardashian channeled her inner Carmen San Diego for Younes Bendjima's birthday--and no, we're not talking about a role-playing fantasy.... https://t.co/UtdchCXUC1","@JesusGreen462","travel",
"All of Gen-Y knows that this will flop w/o Rockapella// Netflix has finally found Carmen Sandiego https://t.co/Vnf8AwB2NQ","@dchapdelaine","cultural-icon",
"Netflix orders animated Carmen Sandiego series https://t.co/0lPspMisCm https://t.co/iUH1HG56zo","@Frednewsfeed","cultural-icon",
"@Silver_Slinger Where In Time Is Carmen Sandiego? Looking back on it now, it wasn't really that great a show, but the idea of going on adventure through time was just the coolest!","@Frimmel","cultural-icon",
"@kylaelena @USSStellarDrift @HKTaylor7 @vzaitsevlaw @ImaSithDuh @ElfFromDenerim @DrunkDalish @LadySeek3r @ladyiolanthe @CarrieLynne2323 Speaking of which, did you hear about the live action Carmen Sandiego movie starring Gina Rodriguez?","@SapphyrKnight","cultural-icon",
"@mattdonders loll Matt calls it my Carmen San Diego hat","@amandapilla_","fashion",
"If you wear a red stetson as part of a generic '40s costume you will get about 60/40 people thinking you're Carmen Sandiego or Peggy Carter","@DanaLeighBrand","fashion",
"#Update Gina Rodriguez, ‘Stranger Things’ actor, to lend voice to Netflix’s ‘Carmen Sandiego’ https://t.co/aBJQrOFpiu #GeekyNurture https://t.co/49xyRalypu","@geekynurture","cultural-icon",
"The hat says Carmen Sandiego https://t.co/OWATriHroE","@DannyJLeBrun","fashion",
"@Phil_Lewis_ Confession: (Those hats always make me think of like evil Carmen San Diego)","@shefalikulkarni","fashion",
"Bigger thief, the Grinch for stealing Christmas, or Carmen Sandiego for stealing everything?","@jeffunscripted","cultural-icon",
"There's a woman dressed like Carmen Sandiego on this bus. Ask her trivia questions about world geography y/n","@uisgebeatha","edutainment",
