"text","handle","category","star_tweet"
"You: “Let’s get this bread” Carmen Sandiego: “Hold my trenchcoat”","@EscoBlades","cultural-icon",
"@Danielleri danielle do you know geography. do you want to watch carmen sandiego","@auntiepixelante","cultural-icon",
"Netflix Reboots 'Carmen Sandiego' With Gina Rodriguez https://t.co/1s4sBClQMp via @thr","@Darji","cultural-icon",
"Netflix is Bringing Back 'Carmen Sandiego' with Gina Rodriguez Playing the Lead https://t.co/pfkyaLq2LS","@cafegabriel","cultural-icon",
"Repost _ayemcee__ modellife topmodel ""Where in the world is Carmen Sandiego?"" #melanin #monday __________________ #makeup #mua selmamakeupnyc #hair trevmarv… https://t.co/fZnzHrR46a","@djfiyahc","cultural-icon",
"@DaRealJohnConor that they were .. For some reason my fondest memory was trying to download Carmen San Diego to your computer 😂","@KathTarzwell","cultural-icon",
"@bartlett84 @BRUBromley I've figured out what's wrong with kids these days. They don't have Carmen San Diego as a role model!","@croweturtle","inspiration","x"
"""Me: Sha's going to Chicago @michael_filardo : WTF is your mom Carmen San Diego LIKE REALLY"" YES MICHAEL MY MOTHER IS A TRAVELING SPY","@emilyphonehome","cultural-icon",
"Seeing a lot of ladies being #CarmenSanDiego for Halloween. Was there a memo?","@SaintBrendan","fashion",
"When I was a kid, I watched 'Where in the World is Carmen San Diego?' after school. Now I listen to Drive Time Sports after work. #adulting","@bradbranham","cultural-icon",
"Who else remembers how awesome ""Where On Earth Is Carmen Sandiego?"" was? So great. Traveling down nostalgia lane. https://t.co/jO0b8k0Td3","@HeyitsMikeC","cultural-icon",
"Dressing up as Carmen Sandiego tonight, and my hat has mysteriously gone missing. The irony, unlike the hat, is not lost on me.","@LoreKeating","fashion","x"
"@RyanRoach5 @space_sloth26 It's like Where in the World is Carmen Sandiego? for idiots. Complete idiots.","@raaadaniel","cultural-icon",
"#Entertainment Gina Rodriguez to Star in 'Carmen Sandiego' Movie for Netflix: - Gina… https://t.co/uU2YgBLk2r","@musicopenn","cultural-icon",
"""Carmen Sandiego"" is coming back with a new movie and animated series featuring Gina Rodriguez on @netflix. https://t.co/N5S1j5rj73","@10News","cultural-icon",
"We found #CarmenSanDiego at #NovaCon but we didn't catch her! #LoadingSnacks #Cosplay @ The NOVA… https://t.co/8NnHm5EwBx","@LoadingSnacks","fashion",
"Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego ☄ ⛱ $v Mashable〽 https://t.co/LYIDHYqHkN","@vrai777","cultural-icon",
"Well Alright! Iconic! Netflix Is Bringing Back OG Scammer Carmen Sandiego & Everyone Is GEEKED https://t.co/jzNVDuWGB8","@DJMICHAELKNIGHT","cultural-icon",
"This was about 4 years ago... #carmensandiego #costume #cosplay #whereintheworldiscarmensandiego… https://t.co/GxyUhRIcjg","@TheJessicaMercy","fashion",
"No one on the @jeopardy #ToC2015 could guess Carmen SanDiego. Which is weird, because I credit all my history and geography knowledge to her","@EmmaCampbellB","cultural-icon",
"hah the he'll turn into Carmen Sandiego and start globe hopping I'm sure https://t.co/GVHUcUdJvU https://t.co/yYFC6ET3cB","@WhittWh","travel",
"@CalvinStarnesOG growing up I wanted to be Carmen Sandiego. Then it evolved into Lupin.","@Murjanian","cultural-icon",
"This Stranger Things Star Will Be In Netflix's Carmen Sandiego Reboot https://t.co/7ibhcOVABB #beauty https://t.co/mROhdq0865","@BrendaLambertWr","cultural-icon",
"Netflix brings back Carmen Sandiego https://t.co/po5R54zC37 https://t.co/TXV370B7Nh","@taylornetwork","cultural-icon",
"@ErinAndrews yo girl that hat gotta go #carmensandiego","@meversusmardona","fashion",
"We Now Know Where In The World Carmen Sandiego Will Be In 2019 #Netflix #CarmenSandiego https://t.co/F2Q1isG0EO","@e_gomez88","cultural-icon",
"Anyone else feel that Carmen Sandiego wanted to get caught? You don't wear bright red when you're trying to hide.","@nicholas_lyon","cultural-icon",
"Where in the World is Carmen Sandiego more like What Ever Happened to Robot Jones","@SerowRoo","cultural-icon",
"I just discovered that I've been conflating Carmen Sandiego and Carmen Miranda. I really thought that Carmen Sandiego had a fruit hat. (Perhaps she has one at home that she wears for evenings out?)","@clarissa","fashion",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show … https://t.co/vLq0i0p0bO https://t.co/QO6heFaXX9","@lunabonifacio25","edutainment",
"Netflix's 'Carmen Sandiego' debuts on January 19th, 2019 https://t.co/1PtCOl30Y9","@GeraiGanesa","cultural-icon",
".@vladmech finally did it! He found them! BOTH! #Waldo #CarmenSandiego #sdcc #notlgsdcc #comiccon #cosplay http://t.co/fQ5AhEKR1D","@thenotlg","fashion",
"I need someone to make me a reversible Darkwing Duck / Carmen Sandiego costume.","@chelsmeach","fashion",
"KarloMdz: KCCINews: Netflix Is Reportedly Reviving Carmen Sandiego With Gina Rodriguez https://t.co/o3Lp0E5YpO … … https://t.co/5YOPUO2QH6","@KarloMdz1","cultural-icon",
"I need to know how to travel back in time and watch bill nye and carmen san diego and never leave:","@chimp_ebooks","cultural-icon",
"I'm calling this one, #DanTheSkyGuy with @danthesciguy. 😭✌🏼️✈️ Good to be back in CA! #IQWSTCaravan #CarmenSanDiego https://t.co/f2QKnOWzR2","@DanTheSciGuy","travel",
"Who let me drink coffee at 3 in the afternoon? Who allowed this? What was I thinking? Where in the world is Carmen Sandiego? How did I get to this point? https://t.co/5uwCH0BQlP","@SOFA_KING_BRI","cultural-icon",
"@SophLouiseHall This must've been mentioned but 'Where In Time is Carmen Sandiego?' taught me all my knowledge of history tbvh","@EdGutteridge90","edutainment",
"@WWENintendoLAMB @MariahCarey 😂😂😂😂😂 well since we part-time detectives..let me get my Carmen Sandiego outfit on....","@Kaysceekian","fashion",
":O netflix is making a new animated carmen sandiego series! so awesome https://t.co/bMUgcR5eXA","@VKTOPIA","cultural-icon",
"For all the other Carmen Sandiego fans out there, this is a good read about the educational game industry https://t.co/jFidyU0Sax @EdSurge","@alexandralandon","edutainment",
"@ColliderVideo Which Of This Would You Love To Be A Movie Life-Action. Gargoyle Where Is Carmen Sandiego ? Swatkats #ColliderMovieTalk","@MarioPR05","cultural-icon",
"Netflix Developing Live-Action 'Carmen Sandiego' Movie Starring Gina Rodriguez https://t.co/XGomIYWUXh https://t.co/QfZH12TXjY","@EpicLootDrop","cultural-icon",
"Stop Searching Because We Have Found #CarmenSandiego [ #Cosplay ] http://t.co/pZU5T9oh1d via @po_st","@Zavlan67x","fashion",
"⚡ Netflix greenlights a Carmen Sandiego series https://t.co/cZFbL3Y2NR","@decemberp14","cultural-icon",
"I was thinking penguin ""@Charlieriley: Looks like Twittererverse has opinions of Erin Andrews outfit. Love the Carmen Sandiego references""","@joeolenick","fashion",
"DogFood Load On First Leg towards Home. TurkeyDay here I Come!!!! #BatOutOfHell #CarmenSanDiego 🚛🔜🗺🖍📍Minnesota (@ Smuckers in Topeka, KS) https://t.co/UVz1NzgYcK","@Pulpmind","cultural-icon",
"@jonathansfrakes Are we playing where in the world is Carmen Sandiego game, but Jonathan Franks style? Or is where's Waldo? lol","@Enivek","cultural-icon",
"The @UtahGymnastics meet on Sat., Feb. 4 is ""Character Day"" and I will be wearing my amazing Carmen Sandiego costume. #GoUtes #Flip4U","@Fibby1123","fashion",
"If Carmen Sandiego had the ability to travel in time, why did she bother hiding in remote parts of the world at all?","@ianfedergreen","cultural-icon",
"London News Search (Gina Rodriguez to star in Netflix's Carmen Sandiego) 1 London - https://t.co/lO7W5N7sSO","@1LondonNet","cultural-icon",
"Speaking of which, how hard would it b to be Carmen San Diego for #Halloween?","@E_Sqrd_Affair","fashion",
"Where u b at, Carmen San Diego??","@KeJoCru","cultural-icon",
"Gina Rodriguez to Voice Carmen Sandiego in New Animated Netflix Series https://t.co/x8fZxI7I4N https://t.co/dXg2eSNjvW","@ohmypnd","cultural-icon",
"@snark_tank @Mare_Bear_Baum seriously how cutting edge is this title? Carmen San Diego is my idol http://t.co/LkVfys8oDC","@sug_knight","inspiration",
"@Mr_SpacelyX9 @RedzaMusic 2017: who is Carmen San Diego ?","@itslilhank","cultural-icon",
"Confirmed: The only reason Waldo is so hard to find is because Carmen Sandiego taught him everything he knows.","@NapBonPar","cultural-icon",
"Where in the world is Carmen Sandiego?","@danaaamo","cultural-icon",
"Already have my next Halloween costume planned out. Carmen Sandiego. My date&39;ll go as Where&39;s Wally. Always wanted to do that","@513acorymelton","fashion",
"Where in the World is Carmen Sandiego?: At Westwood Elementary, in room 17, there was an Apple II computer, an... http://t.co/3rxXMYDQGi","@perdanacom_PTK","edutainment",
"Its Carmen Sandiego without her trenchcoat😱😱😉 https://t.co/LUEkUY94bd","@Attilathehunnny","fashion",
"If I were ever in charge of Opening Ceremonies, at the last second, I'd have Carmen Sandiego steal the torch and light the cauldron.","@itsonlyzach","cultural-icon",
"Carmen Sandiego Is Officially Happening With Gina Rodriguez at Netflix https://t.co/SBisrblFKr https://t.co/Fb0bECHiIy","@GomezbraSelena","cultural-icon",
"Why is there no gritty reboot of Where in the world is Carmen Sandiego? I'd even take a funny TBS style buddy show.","@jgrenn","cultural-icon",
"@sammies1718 But why is Dakota dressed like Carmen Sandiego?","@KJSFAN","cultural-icon",
"Do it, Rockapella: Netflix is Making a New 'Carmen Sandiego' Show - Geek https://t.co/Pq13Qri2ze","@NewGamesPlay","cultural-icon",
"Hey Carmen San Diego called she wants her outfit back https://t.co/kjq1hIBbGl","@Gigglesthecat13","fashion",
"It's taken 'til now for me to read up on Carmen Sandiego. I think I now have a new heroine - or at the very least, a target for cosplay.'","@RaygunGoth","fashion",
"@ken_you_not Sounds like a possible nemesis for Carmen SanDiego in a future reboot for Netflix","@IllsonTrillips","cultural-icon",
"I’d like to find a dope costume party to go to this season ... I wanna be Carmen San Diego","@ItsMsCoCo","fashion",
"I love getting new stamps on my #passport. It makes me feel like Carmen Sandiego. #europe #austria #vienna #germany #frankfurt #travel https://t.co/BbVTngrNyB","@ChrisHarrelson","travel","x"
"@RonCantiveros oh wow.. I think my parents bought me the original carmen san diego at the same time as that.. on floppies...","@Medros","cultural-icon",
"The old west cowboy edutainment classic, Where in Tarnation is Carmen San Diego?","@mizabitha","edutainment",
"@CFBDLS My first digital learning crush was Carmen San Diego, Jump Start AND Nancy Drew!! I couldn't choose just one... #GameOnCFB #FirstDigitalLearningCrush","@MsMartinezReads","cultural-icon",
"Someone Stole An Entire Bronze Statue in Tucson: It seems that Carmen Sandiego (or Bart Simpson) is alive and ... http://t.co/La5y72Ksye","@RobertTaylors","cultural-icon",
"A life-action Carmen Sandiego is coming to @Netflix","@UBLTXWRANGLERS","cultural-icon",
"Gina Rodriguez to Star in Live-Action 'Carmen Sandiego' Feature for Netflix https://t.co/hl6JrqgGAM https://t.co/wVLP5dxjfG","@Movielizer","cultural-icon",
"#SM Get Gina Rodriguez a Giant Coat, Because She’s Doing a Live-Action Carmen… https://t.co/LLMhhw2GHe","@CurrentSocials","cultural-icon",
"Gina Rodriguez To Play Carmen Sandiego In Live-Action Netflix Film: She'll also lend her voice… https://t.co/ubRgGfiiHB https://t.co/kObY3BQnrz","@DoubleClick___","cultural-icon",
"Where in the World is Carmen SanDiego, a show that taught us geography and that acapella sucked #PBS","@Tom_Menzini","edutainment",
"@FullTimeHoops1 @MGRADS @KingJosiah54 @buckleyhoops I wanted SO BADLY to be on Where in the World is Carmen Sandiego when I was in elementary school","@kensing45","inspiration",
"It's Official: Carmen Sandiego Is Getting Her Own Animated Netflix Series https://t.co/zNCYEBEzSQ","@dsk311","cultural-icon",
"Netflix's 'Carmen Sandiego' debuts on January 19th, 2019 https://t.co/D9nO639lca","@issen","cultural-icon",
"@OnlyKaraBear I assume you mean Carmen Sandiego.","@NwGeorge","cultural-icon",
"Gina Rodriguez brings Carmen Sandiego to life on Netflix! #MysteryWoman #CarmenSandiego #Netflix #Latina #HereisGina https://t.co/HGDeSUbRbw","@DarleneTenes","latina",
"When I was little I wanted to be Carmen Sandiego soo bad mostly because of the hat","@wildflower_92","inspiration",
"Where are....? #CarmenSandiego #Waldo #Halloween #Halloween2018 #CouplesCostume https://t.co/7a7IalBB0Q","@littlesassilie","fashion",
"Lightning struck my brain with another great idea for an @telltalegames episodic adventure game: Where in the World is Carmen Sandiego?","@asvaitso","cultural-icon",
"My sister the real life Carmen Sandiego","@SupaKou","cultural-icon",
"@jadieinthecity I was also Carmen Sandiego (since Halloween was 2 weekends last year) and most missed that one too, lol","@victory_goddess","fashion",
"YAY!! Sounds like Netflix is bringing back ""Where in the World is Carmen Sandiego?"" https://t.co/1R8RCuHk6w via @HuffPostEnt","@bethanylynn29","cultural-icon",
"TechBite: ""Netflix finds 'Carmen Sandiego' for its latest reboot"" https://t.co/1ShnoRQdmp #ITishNews","@shahfahadz","cultural-icon",
"Where in the World is Carmen Sandiego? 🎃 Happy Halloween from Carmen… https://t.co/OTSvdXpMYc","@MegglesandCali","fashion",
"Carmen Sandiego, the world's most iconic #Latina super villain, is back! https://t.co/9hM3lPjSqH via @FusionNews","@projectenye","inspiration",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show Ever https://t.co/1trFZ1pCXt","@kimzae5","edutainment",
"I miss the days of computer class in elementary school...playing Oregon Trail, Number Munchers, Carmen San Diego #ThoseWereTheDaysMan","@dcarman724","edutainment",
"I’m so happy they casted a Latina for Carmen SanDiego because let me tell u if they casted another white actress for a POC character smh","@dimplezonpoint","latina",
"Can't believe the most famous opera of all time, Carmen, is based on the educational computer character Carmen Sandiego","@buenasnochase","cultural-icon",
"#carmen #sandiego #50shadesofgrey #fiance #halloween #halloween2015 #90skid https://t.co/3O5zvXxRUF","@IAmKatie11","fashion",
"Carmen Sandiego (2019 Series) News & Discussion Thread https://t.co/lkGZej2rY9","@animesuperherof","cultural-icon",
"It's Official: Carmen Sandiego Is Getting Her Own Animated Netflix Series #books #feedly https://t.co/ZTgMrP7cBz https://t.co/dCyp9caJ6z","@fictfact","cultural-icon",
"Netflix Is Planning To Help A New Generation Discover Where In The World Carmen Sandiego Is https://t.co/862Kobn4qy","@raydeck3","cultural-icon",
"Saturday Night Social: Gina Rodriguez Will Voice Carmen Sandiego in Netflix’s Upcoming Animated Series https://t.co/N7k9l55sKY","@holmstrom_wanda","cultural-icon",
"Netflix's 'Carmen Sandiego' debuts on January 19th, 2019 https://t.co/KejRGV6kKo #Engadget #Gadgets #Technology #Innovation","@DoctorMantisMD","cultural-icon",
"Huh. I only just saw that there's going to be a new Carmen Sandiego cartoon on Netflix. I used to really like the old show :)","@mattdoylemedia","cultural-icon",
"i just bought a ""where in space is carmen sandiego"" choose your own adventure book because, really, what could be more perfect","@auntiepixelante","cultural-icon","x"
"Carmen Sandiego Returns in a New Educational App https://t.co/Zq3KfumGlR https://t.co/LCICKWlWf3","@wicklin_j","edutainment",
"Netflix should bring back ""Where in the World is Carmen San Diego?""","@RocheCorp","cultural-icon",
"someone please reboot carmen sandiego as a geography quiz show featuring children helping migos locate the plug all around the world","@THE_REAL_PBUTT","cultural-icon",
"NETFLIX Reveals 'CARMEN SANDIEGO' Poster and First Look https://t.co/1Rutpyu2SQ https://t.co/13BkvrHUih","@ComicBookNOW","cultural-icon",
"Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego #ChainFeedsDotCom https://t.co/lFWAe9wMPm","@Camertw33t","cultural-icon",
"@alysoncmcmanus I would rock a mean as shit fat femme Carmen Sandiego cosplay.","@jetta_rae","fashion",
"(Race Riley) Entertainment News: ""a standalone Carmen adventure that will embrace the beloved '90s property"" https://t.co/aPOccmNxL1","@KISR93","cultural-icon",
"Gina Rodriguez will play ""Carmen Sandiego"" in a live-action feature for Netflix https://t.co/ioO0RZXOkn","@latimes","cultural-icon",
"@jesskenobiii I think of it as the dancing lady in the red dress emoji wearing a hat. So basically Carmen Sandiego","@jacargon","fashion",
"Netflix Is Reportedly Reviving Carmen Sandiego With Gina Rodriguez https://t.co/yAJgtKfFF7 by #koat7news via @c0nvey https://t.co/RmsvMJC8CM","@Cecilia51346007","cultural-icon",
"Where in the World Will Gina Rodriguez Be When She Voices Netflix’s New Carmen Sandiego Series? https://t.co/IIlcNTadTA https://t.co/3A3A2OKCNE","@MoviesWorldNewz","cultural-icon",
"Incognito Khloe Kardashian Channels Carmen Sandiego With Her Trench And Fedora http://t.co/X15AAfILoG","@Top_Paparazzi","fashion",
"Netflix Is Reportedly Reviving Carmen Sandiego With Gina Rodriguez https://t.co/30okkx7Zji https://t.co/9hQR0yUXUs","@WESH","cultural-icon",
"‘Carmen Sandiego’ Coming to Netflix as an Animated Series Starring Gina Rodriguez!!!… https://t.co/K5zuF9dBcI https://t.co/xbnbOUZ9yC","@movizark","cultural-icon",
"I'm in -- Sounds Like Netflix Is Bringing Back 'Carmen Sandiego' https://t.co/s5Fzw7qbYd","@MT_Heller","cultural-icon",
"#Pinterest This woman has a who http://t.co/Q0QMcnz6Ae - This woman has a whole lot of easy DIY costumes! This one is Carmen San Diego! …","@MarketingD5Line","fashion",
"Netflix's live-action #CarmenSandiego movie -- starring Gina Rodriguez -- lands #GameNight writer Mark Perez. https://t.co/BW92tQviZe","@DenofGeekUS","cultural-icon",
"@xnulz Peppermint Patty, Miss Piggy, Dora The Explorer, Carmen San Diego...","@Fashionistae","cultural-icon",
"Wondering what happened to the edutainment game software of your youth, like Reader Rabbit and Oregon Trail? This article covers the corporate shenanigans that led to their downfall. https://t.co/kzXJi25XN0","@ArcadeSpiritsVN","edutainment",
"Go Gina! @netflix is bringing back another classic. https://t.co/lAcmTEaCax","@CassiusLife_","cultural-icon",
"@AnnTran_ is a real life Carmen Sandiego! https://t.co/wW01M4tg1N","@JasonWRocco","cultural-icon",
"Carmen Sandiego' Animated Series Greenlit at Netflix, Gina Rodriguez to Star - Variety https://t.co/Ll5kCPNl5Y","@TribuneMAG","cultural-icon",
"@PrairieSky_27 It's a Brazil, made from recycled tarps off Brazilian cargo trucks. I think I look a little like Carmen Sandiego in it. 😊","@HopeDenney2","fashion",
"@angiemason1 @HsawyerYDR I am operating Carmen Sandiego style. #yorkmojomystery.","@edmahonreporter","cultural-icon",
"@QwietSt0rm I just had to look up those old educational games- Reader Rabbit, Number Munchers and can’t forget about the OG Carmen San Diego! 🙃","@ChristineCre8s","cultural-icon",
"I want a right a book 🎂 all my experience travels something like carmen san diego #feeling http://t.co/jkvdn5V0Jw","@WuTang420Bl4z3r","travel",
". @netflix has reportedly ordered 20 episodes of a ""Where in The World Is Carmen Sandiego"" reboot: https://t.co/Hcv97niHUu https://t.co/tGoTrrMLG0","@Star941Atlanta","cultural-icon",
"@seewhatsnext @Netflix_CA @HereIsGina @FinnSkata I must find that bingle diddy, Carmen Sandiego!","@spiderpann","cultural-icon",
"@vajimenez Name 1 or more childhood show that unleashed ur curiosity: 1st 2 pop into my mind are Bill Nye Science Guy, Ghost Writer & Carmen Sandiego!!","@vajimenez","edutainment","x"
"Daisy Fraser - a spitfire reporter turned PI after she rocked the wrong boat. She investigates the corrupt politicians who tanked her career while snapping pictures of deadbeat dads and cheating husbands. All while wearing a hat like Carmen San Diego.","@LoopdiLou","fashion",
"This is why shows like the Magic School Bus and Where in the World is Carmen Sandiego such a rarity. Very few writers can blend entertainment and education so seamlessly without it being preachy and/or boring.","@Achiruetal","travel",
"What is with the Carmen SanDiego hat on #LHHATL this season?!?!","@KaramelBelle","fashion",
"You may be cool but you'll never be Carmen San Diego-riding-a-trex-running-from-batman cool http://t.co/Ym63yKw4rg","@ConnieCalmese","cultural-icon",
