"text","handle","category","star_tweet"
"@TheJessicaJames why is it that when you wear those hats you look so cute and when I try I look like Carmen SanDiego? 😒 #perfection","@GabriellaaaaaC","fashion",
"Are you ready, detectives? The Gina Rodriguez led “Where in the World is Carmen Sandiego?” animated series will debut January 18th on Netflix. What do you think?... https://t.co/YMRZkocdfN","@OneOfUsNet","cultural-icon",
"https://t.co/Xpu407dMJc Lest you be worried that Gina Rodriguez would only voice Carmen Sandiego in the animated series she's making for... https://t.co/OUanHH2dTA","@LatestCelebNew","cultural-icon",
"Gina Rodriguez to star as Carmen Sandiego in Netflix's live-action feature film https://t.co/l2qCeDAoir via @ew","@juonce","cultural-icon",
"@goldengateblond That moment when you're a trench coat away from Carmen San Diego cosplay.","@russthompson","fashion",
"Where on #television is #CarmenSandiego ? @netflix #series #comingsoon .. #netflix #streaming #online #tv #indtada… https://t.co/T3otglMizI https://t.co/NLVV4Ak8DJ","@scifielements","cultural-icon",
"Sounds Like Netflix Is Bringing Back 'Carmen Sandiego' https://t.co/ednmrCSfpS","@lilsliceofcraze","cultural-icon",
"Netflix Is Reportedly Reviving Carmen Sandiego With Gina Rodriguez | Read: https://t.co/f0xpn6rDh1 via EOnline©","@BuzzNgayon","cultural-icon",
"Booster Gold could have an entire “where in time is Carmen Sandiego” type show full of education and multiculturalism. #morningDCthoughts","@TheBatMarino","edutainment",
"Damn I forgot that computer rooms existed. We had a whole class called computer class in elementary school. That’s where we played Sim city, Oregon trail, where in the world is Carmen San Diego (never in San Diego..). We had those big ass apple computers with the colored backs","@Elle__Chapo","edutainment",
"#MaybeLaterWeCould Netflix N Chill and then FINALLY find out where in the world is Carmen San Diego and bring her in 2 JUSTICE? https://t.co/w80QgP0vDO","@sammylane2","cultural-icon",
"We don't always travel, but when we do, Carmen San Diego wonders where in the world we're at. This… https://t.co/tTarjtLqJi","@MansfieldTime","travel","w"
"Why they got Liv dressed up like Carmen San Diego? #Scandal","@TypicalAssGucci","fashion",
"Remember when fedoras were a symbol of Carmen Sandiego, not dudebros? Good times, good times.","@aaspecagenda","fashion",
"And now I have a great desire to dress as Carmen San Diego. Partially because I want a red trench coat and a giant red hat.","@jessicabfry","fashion",
"I just realized: I loved watching Liberty's Kids. Shows like that and Carmen San Diego were both entertaining and taught historical lessons.","@DarkenedEmerald","edutainment","x"
"Where can I get a Carmen Sandiego type hat quickly?","@sofiaflevin","fashion",
"Carmen Sandiego vibes in this hat. I like hats. P.S. my necklace says ""May the Force Be With You."" 😁 https://t.co/16QuNFCYaA","@jedidandolina","fashion",
"The #StarTrek V 1989 PC game looks way more fun than the actual movie, Carmen SanDiego style! http://t.co/kAFurDA7h6 http://t.co/2kRAYIH1z0","@Nick_Acosta","fashion",
"So. We have the internet now. Has anyone found Carmen Sandiego? I want that fedora.","@Topherchr1s","cultural-icon",
"Where in the world is Carmen San Diego?","@BWADE_BAMA","cultural-icon",
"@LaEsmeralda lmfaoo. Where are you now Carmen sandiego????","@McG_theThinker","travel",
"If only her hat was red then Lady Mary could be Carmen Sandiego #MOS #DowntonPBS","@howdyyal","fashion",
"Sussing out details for upcoming trips to San Francisco, Portland, and London. On my Carmen Sandiego!","@Trist_Chi","travel","x"
"I found Carmen Sandiego. Gate D11 at the Detroit airport. https://t.co/kDGeKn8eGo","@JohnPMcLaughlin","cultural-icon",
"@LaurenGoode @CaseyNewton Mark Zuckerberg and Sheryl Sandberg should be Where’s Waldo and Carmen San Diego for Halloween.","@LessThanLiz","cultural-icon",
"@theprophetpizza that second pic is carmen sandiego but make it fashion AF","@tylerwatamanuk","fashion",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show … https://t.co/kXD7uuslxA https://t.co/NZSltjMqzW","@rickyst_john","edutainment",
