"text","handle","category","star_tweet"
"""Netflix finds 'Carmen Sandiego' for its latest reboot"" https://t.co/MiB2IHrDYA #technews #feedly","@MauriceMayEye","cultural-icon",
"Where In The World is Carmen Sandiego for the Sega Master System was one of the finest education games ever made. Fite me IRL","@GameDevAlex","cultural-icon",
"@FromHappyRock @Sketch_Dailies would seriously want to see Carmen Sandiego in your style!","@hyamei","cultural-icon",
"#Halloween ready! Carmen San Diego and a shark! #corvegas @ Corvallis, Oregon http://t.co/TEEnwAWgiH","@mitcheas0","fashion",
"@midnight Where in the World is Carmen Sandiego's baby? #SadTVShows","@FreddosaurusREX","cultural-icon",
"@Rockets2Writing Nice! I did Inspector Gadget last year and Carmen Sandiego the year before that. Decided NO MORE TRENCH COATS. Too hot!","@wendyqualls","fashion",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show … https://t.co/7lBvd5Jq8M https://t.co/hdggFdP3fx","@iniwizblog","edutainment",
"@kinky_horror Holy crap is your twitter about to turn in a game of where in the world is Carmen Sandiego but with you instead 😁. So you went from Miami to Paris, I guess you’re have a euro trip 🇫🇷 enjoy!","@frankr_23","travel",
"@Marc_Bertrand is that Carmen San Diego's hat?","@poit77","fashion",
"Somebody get me a red hat, I think I can cosplay Carmen SanDiego. My hair is perfect for it right now.","@JulieJubz","fashion","x"
"Plan 1 trip and it makes you Carmen SanDiego.","@MateoRadio","travel",
"This opening march of nations ought to seek sponorship from ""Where in the World is Carmen San Diego""?","@NeuroPolarbear","cultural-icon","x"
"Caraaazzyyyy Halloween adventures this past week 🎃 I've had the Carmen Sandiego theme song stuck in… http://t.co/PkkAUtsP7E","@tricia229_MK","cultural-icon",
"Just realized I bought this red trench coat in a subconscious homage to Carmen Sandiego.","@SoosheBot","fashion",
"#GinaRodriguez To Star As Carmen Sandiego In #Netflix Live-Action Feature #GoldenGlobe https://t.co/RLY9ExsSZb https://t.co/7ePP5D5aUN","@Celebrilizer","cultural-icon",
"Netflix's 'Carmen Sandiego' debuts on January 19th, 2019 https://t.co/039J7askB2","@willwphoto","cultural-icon",
"Where in the world is @SunannaC? (You must sing this to the tune of Carmen Sandiego!) She and the amazing @remakelearning team have put a great big spotlight on relevant, engaging, and equitable learning this week. Thank you. Follow along at #RemakeDays https://t.co/mEBvrAdBs8","@greggbehr","cultural-icon",
"SERIA MEU SONHO???? Our Childhood Dreams Have Come True: Gina Rodriguez Is Playing Carmen Sandiego On Netflix https://t.co/6tD2VWTEOW","@Laine_lp","cultural-icon",
"This week's Nostalgia Trip will remember a question: Where In the World... In Time... Space... Europe... the USA... Is #CarmenSandiego","@FredCasden","cultural-icon",
"Josina Anderson in Cleveland sitting outside. And the Brian guy is following Lebron around the globe like LBJ is Carmen San Diego!","@Smoove_WStylz","travel",
"@AnalogGrrrL Carmen Sandiego has it.... That's why she's so elusive...🌍🕕","@ss_ibe","cultural-icon",
"Netflix plans live-action 'Carmen Sandiego' film with Gina Rodriguez https://t.co/gMeva6n2WA","@nswint","cultural-icon",
"Spent the entirety of my night playing real life Carmen Sandiego","@Jessica_McGlynn","cultural-icon",
"Everyone asks WHERE is Carmen Sandiego, Netflix asks WHO is Carmen Sandiego, but no one asks HOW is Carmen Sandiego? You good Sandy?","@Ianki","cultural-icon",
"Feeling very Where on Earth Is Carmen Sandiego? #summerhat #hats #strawhat #hatsofinstagram https://t.co/x82RZSyCP0","@susankalexander","fashion",
"Holy shit I just saw that #GinaRodriguez is supposed to play #CarmenSandiego in a Netflix Live action film (or series? I forget what the article said) and I AM SO HAPPY.","@MaybeMander","cultural-icon",
"Suzanne @InclusIQ : tech used for social change > Where in the World is Carmen Sandiego, The Oregon Trail = awesome 80s learning #LITE2016 https://t.co/NxZGc2nnrQ","@jlarmstrong_pro","edutainment",
"Where in the world is Carmen SanDiego? #sunset #ocean #travel http://t.co/icbKyeC6ur","@ChelChiiii","travel",
"I found Carmen San Diego's hat at least. It's on Pharrell's head.","@adammull","cultural-icon",
"@RBTVpod @laurenlapkus @jongabrus Missed cartoons: Count Duckula, Denver the Last Dinosaur, Talespin, Darkwing Duck, Ducktales, The Tick, Adventures of the Gummi Bears, Maya the Bee, Where on Earth is Carmen San Diego.","@turbo_donkey","cultural-icon",
"New Carmen Sandiego Animated Series Coming to Netflix Starring Gina Rodriguez - IGN https://t.co/YARNhKr76C https://t.co/ScYRJRDygV","@Loadedgoods","cultural-icon",
"“Where in the World is Carmen Sandiego?” Excited about a new project that has some traveling involved, which got me remembering that 90’s computer game/children’s tv game show. In sync… https://t.co/vGm2Z9OGKe","@helloandgoodeye","travel",
"Netflix Reboots 'Carmen Sandiego' as Animated Series With Gina Rodriguez https://t.co/hGNqnWSRwU https://t.co/z0r5c0xiDn","@MoviesWrld","cultural-icon",
"And if they got on those Carmen Sandiego hats, it's a wrap. The bigger the hat, the less crap they taking! https://t.co/e5anTxUZf6","@busyworksport","fashion",
"Where is Carmen San Diego? Getting ready for kingdom women fashion… https://t.co/IHcyGht3Nr","@JesTruth","fashion",
"@lovemeree Carmen sandiego style lol","@Viva_Ventura","fashion",
