"text","handle","category","star_tweet"
"Gina Rodriguez to Voice “Carmen Sandiego” In New Netflix Series https://t.co/jpqyHUR5uG #netflix","@takesontech","cultural-icon",
"@GameritisGuy There was a lady dressed up as Carmen Sandiego at @PhoenixComicon today.","@MeepleLady","fashion",
"Getting prepped for Halloween. #CarmenSandiego #costume #themesong #stuckinmyhead https://t.co/NKwESD0EY7","@kirstinrepco","fashion",
"@sesamestreet you know, the Carmen Sandiego games can help teach kids about different cultures too.","@JeremiahLiles1","edutainment","w"
"I swear I learned this playing Where In Time Is Carmen Sandiego (1997, PC)","@SamwellGnarly_","edutainment","w"
"This is so unrealistic! Nobody saw her walk in with these lace stalkings and this Carmen San Diego trench coat?! K. #LHHH","@Sir_Deveraux","fashion",
"@tcamil Looking like Carmen Sandiego","@tcamil","cultural-icon",
"Ready for #planetcomicon day 3! #pcckc #planetcomicon #day3 #whereswaldo #carmensandiego #cosplay https://t.co/beX9AeRgTm","@AmberCapp","fashion",
"@MatthewACherry @netflix Where in the World is Carmen San Diego!😍","@semanadrea","cultural-icon",
"I could have given my car the name Carmen Sandiego #whereintheworldisshe","@sophiawillliams","travel",
"Carmen Sandiego is the og lesbian icon 🏳️‍🌈🏳️‍🌈 Sorry I don’t make the rules","@ZoeMeade31","role-model",
"@mallelis @MizunoTakarai Elisa Maza was my hero as a kid. And Carmen Sandiego","@Ilzairspar","role-model",
"Where are you all finding the #McRib?????? In NY they are harder to find than Carmen Sandiego. https://t.co/PxSYQkIe3H","@ggawkward","cultural-icon",
"@ClarkServiceGrp Is that Carmen Sandiego? Great costumes!👍","@Fresh_Creative","fashion",
"What's new on Netflix in January 2019 - New year, new Netflix. Or the same old awesome Netflix. Whichever way you see it, really. It's time to get a little... https://t.co/YUxBXh5eKr","@TabletShop","cultural-icon",
"Everyday I find a clue..bruh I kinda feel like Carmen SanDiego","@Juicy_JT_92","cultural-icon",
"Rumours of @jimseven cafe hopping in YVR. Tempted to follow the trail like a real life Carmen Sandiego.","@Putankhamun","cultural-icon",
"I liked the Red Hat Society better when I thought it was a Carmen Sandiego death cult.","@undeadmolly","fashion",
"i think i'll never be allowed in ireland again cause i got this book from the only public library in dublin and accidentally brought home am i an internacional criminal can i wear carmen sandiego outfits?","@calamiteajane","cultural-icon",
"Where in the w.urld is Carmen San Diego?","@yungmojojojo","cultural-icon",
"I have a long red coat at home so now I can dress up as carmen sandiego any time I want #kubecon @RedHat https://t.co/VvZQBKtApU","@charwarz","fashion",
"Netflix Is Making A Carmen Sandiego Movie https://t.co/9KPiJ6U41U #carmensandiego #kotakucore #movies","@GamerGeekNews","cultural-icon",
"I have no interest in playing the new Carmen Sandiego for iOS, but I'm grateful that it inspired me to find this: https://t.co/1VuoUUn80d","@misc","cultural-icon",
"DO IT ROCKAPELLA MT @margarita: It's international women's day so enjoy the Carmen Sandiego theme song: http://t.co/SLIwipxdw2","@dvanduzer","cultural-icon",
"@renegade_roo Carmen Sandiego is one of the most underrated feminist icons from our childhood.","@BoxsonaOfficial","cultural-icon","x"
"Netflix orders animated Carmen Sandiego series - YES!! I played the CD-Rom game like crazy! #whereintheworld https://t.co/G4aR7Ub9nZ","@davidmullings","cultural-icon",
"Carmen Sandiego' Reboot Headed to Netflix https://t.co/ZhQ6FP8So9 https://t.co/fwVLvnA0GR","@UberXpress","cultural-icon",
"Netflix Could Be Bringing Carmen Sandiego Back https://t.co/QBUaQquhY0 https://t.co/5JkdG23tHg","@40deuce","cultural-icon",
"Netflix Is Reportedly Reviving Carmen Sandiego With Gina Rodriguez https://t.co/W1tGvE2osr","@QkTipcom","cultural-icon",
"""Netflix plans live-action 'Carmen Sandiego' film with Gina Rodriguez"" https://t.co/9GXEdO1aCU","@guzmanadrian","cultural-icon",
"Agreed. I think my name instead is kinda catchy.. And I like wearing red.... #MeantToBe #CarmenSandiego https://t.co/AVA4M63FUH","@ContikiSheenie","fashion",
"@BigBird I nabbed Carmen Sandiego!","@JeremiahLiles1","cultural-icon",
"Check out these insane (and inexpensive!) Halloween costumes! https://t.co/YSUbdDlNXP My favorite is Carmen Sandiego!! #90s","@MyVintageSoul","fashion",
"@KristinRaworth @atypicalalbertn @Ninjarale @DavidStaplesYEG @ThomasDangAB @JonCMLA I'm happy to the let the #ndp take credit for Carmen Sandiego. That's a strong female role model right there.","@rluff","role-model",
"where in the world is Carmen Sandiego? https://t.co/t5HLy56nzl","@drewberinger","cultural-icon",
"Gina Rodriguez will also voice a Carmen Sandiego animated series on Netflix for 2019 and a line of books will launch timed to the series release. https://t.co/zvHJ8SXU3p","@michelle__bacon","cultural-icon",
"Took some time to introduce the kids to Oregon Trail and Where in the World is Carmen San Diego today. They taught me about #Minecraft.","@Real1Alexander","cultural-icon",
"@WeeabooNinja @Jyosua Living in the country learning a language is like playing Carmen Sandiego. You enjoyed never realizing it's an educational game","@WeeabooNinja","edutainment",
"Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego https://t.co/adwQRvuksz https://t.co/6CTcmDH186","@nimitdshah","cultural-icon",
"See an exclusive first look at Netflix's 'Carmen Sandiego' animated series https://t.co/QZNiial2Fo","@dedysilveria","cultural-icon",
"He would so fail at Where is Carmen SanDiego!! Hand him a globe please! https://t.co/32W4w07V7n","@bellajamila","edutainment",
"Great Cosplay!! @ny2k @li_Spidey is blue @secretsandbones @carmen.sandiego @anerdatthecoolkidstable @kaldur https://t.co/1jY9F0Xlvj","@jdfffn","fashion",
"Netflix Is Making A Carmen Sandiego Movie https://t.co/gi3bk89Fov","@GeekRadioDaily","cultural-icon",
"I JUST FOUND OUT WHERE ON EARTH IS CARMEN SANDIEGO IS GETTING A RE RUN ON NETFLIX WITH FREAKING GINA RODRIGUEZ THE QUEEN AS CARMEN WHY IS NO ONE TALKING ABOUT THIS","@thisisnotbellag","cultural-icon",
"Netflix Is Reportedly Reviving Carmen Sandiego With Gina Rodriguez https://t.co/3oxuSvgMqD https://t.co/JSgpk9Uoia","@WLKY","cultural-icon",
"@STCroiss “@STCroiss: The ‘Where in the World is Carmen Sandiego’ album combines my two favourite things: A Capella singing and Puns” @nwahs086 puns!","@lou2","cultural-icon",
"Sounds like Netflix is bringing back ""Where in the World is Carmen Sandiego?"" https://t.co/ZGsBN3TBQr via @HuffPostEnt","@willishl","cultural-icon",
"Our Childhood Dreams Have Come True: Gina Rodriguez Is Playing Carmen Sandiego On Netflix! https://t.co/ZpVcdhFqUr https://t.co/S8NxSRxLKW","@iamthatgirl","cultural-icon",
"Say, good ol' chump, do you perchance happen to know where this Wally chap was last seen? #cosplay #carmensandiego http://t.co/ScOaeAmTvC","@BeaIank","fashion",
"@jmjones carmen sandiego is high fashion","@gerbatron","fashion",
"What You Learn Hunting Carmen Sandiego Without Google's Help: So I decided that I needed to get away from Wiki... https://t.co/fZwIFNfrg0","@qhtraffic","edutainment",
"@MeganBDorward Megan Kate, you look like Carmen San Diego in that hat! Are you here to steal the whole island?","@RichardBrahan","fashion",
"Netflix Is Reportedly Reviving Carmen Sandiego With Gina Rodriguez https://t.co/V6yYWC2iZu https://t.co/SzqYRiWkH0","@CNNcelebnews","cultural-icon",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show Ever https://t.co/XiZGe7mETt","@reFLIPd","edutainment",
"I'll be there, if you've been trying to catch me on my Carmen Sandiego journeys. https://t.co/cwrx6Cw2yQ","@dberkholz","travel",
"I hope to do a couple's cosplay with Jessica with me as Waldo and her as Carmen Sandiego, maybe at Texas Comicon!","@illusion007","cultural-icon",
"@Model3Owners Thankful for my delivery the day before Thanksgiving. Ordered & delivered within 2 weeks! We’re happy with our new car, Carmen, Carmen Sandiego that is.! ❤️💥 @Tesla @elonmusk https://t.co/Smb1HqScif","@LaurenFrancisco","cultural-icon",
"Greg: Listen I just want to remind you guys, if one of you catches Carmen Sandiego today, you will get a free trip to anywhere in North America, and that's not bad! Tom: Done! #thisexplainseverything #SuperBowl2018 https://t.co/sBH3XpOljf","@901BarandGrill","travel",
"When I was 8 I was the first kid on the block to beat Super Mario Brothers and Kung Fu. Learned every country's flag with Carmen SanDiego. https://t.co/QKahpzWHxd","@microscope_eyes","cultural-icon",
"Netflix plans live-action 'Carmen Sandiego' film with Gina Rodriguez https://t.co/3XIo6hcEmX","@strawberry7ict","cultural-icon",
"That outfit reminds me of Carmen San Diego","@BitchImPHE","fashion",
"Where in the world am I now? #carmensandiego #travel #adventure https://t.co/2CffcVfYQy","@TTandTheRacers","travel",
"Carmen Sandiego for Halloween","@somesayju","fashion",
"@SparklinAngela y’all can find her but can’t find carmen sandiego","@yallhoesareugly","cultural-icon",
