"contents","author","category","star_tweet"
"I'm all for gamification of learning. I played educational games as a kid and to this day I still loved it. Lookin' at you, Carmen Sandiego. https://t.co/G45Y73lUxi","@StephenTanksley","edutainment","x"
"me in elementary trying to finish mavis beacon so i can play carmen san diego https://t.co/lT96qk3jy5","@xchickenxlegsx","nostalgia",
"Edward Snowden isn’t the 1st person to flee to Russia. Carmen Sandiego fled to Moscow after revealing classified edutainment trivia","@Sophia_D75","edutainment",
"I've settled on my outfit for H.Styles and I'm going as Carmen San Diego's less cool cousin Jennifer Greater LA Area","@ImmaCapsicle","style",
"He got the Carmen San Diego hat on https://t.co/dQNuNcix5x","@Lamar_NoOdom","style",
"@CocoTRobot Nice hat, carmen sandiego","@fritolaysia","style",
"We shouldn’t be celebrating Carmen Sandiego. I don’t care if I learn geography because of her, she’s a criminal. #DoItRockapella #fb","@bootleg_bible","edutainment",
"#askHayley probs abit late with this but is agent carter really just carmen sandiego? the hat and coat are kinda similar!","@Akicatter","style",
"@HuffingtonPost Oregon Trail, Odell Lake, Carmen San Diego, and Treasure Cove. These were my jam in elementary school. #The90s #DOSgames","@LoloPisani","edutainment",
"@scottEweinberg I learned what spelunking was from Carmen Sandiego. My mom and I played the first handful of games together on Saturday nights in the 80s.","@Supavixen","edutainment",
"Thank you @splitlipthemag! And I loved playing the computer game version of Where in the World is Carmen Sandiego as a kid. Brings back memories! https://t.co/UDBlFuau9x","@rwillsit","pop culture",
"We found her! Our costume contest winner, the lovely @Scarlettjen #halloween2015 #unitedfrontgames #CarmenSandiego https://t.co/i4dssJF8xn","@UnitedFrontGame","style",
"Hot take, Carmen San Diego ranking edition T1. Computer game (world and USA, tied) 3. Game show 4. Getting hit by a car 5. PBS Cartoon https://t.co/e2VX3VrJdt","@DDCEddieCarifio","pop culture",
"Carmen Sandiego style😏👒 https://t.co/4i6rZht8cs","@Cla_TeamHaught","style",
"Kourtney Kardashian Takes Younes Bendjima on a Surprise Birthday Trip Oh, the places they'll go! Kourtney Kardashian channeled her inner Carmen San Diego for Younes Bendjima's birthday--and no, we're not talking about a role-playing fantasy.... https://t.co/UtdchCXUC1","@JesusGreen462","travel",
"Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego https://t.co/ntQHQYkl2v","@ThomasPeng","pop culture",
"“When I was younger, I played the game ""Where in the World is Carmen Sandiego"" to learn English. Carmen is a... https://t.co/TqN6eAhb5y","@hcigamesgroup","edutainment",
"Carmen Sandiego was the most notorious fugitive but always looked unbothered & slayed. Hair did. Makeup Godly. Hat & Jacket wavy. How? 🤔","@jayjaybenny","style",
"@MeatSauce1 Thank you Carmen San Diego. (Copyright MeatSauce)","@todddavid81","pop culture",
"Petition to relocate the entire WVU football stadium, Carmen-Sandiego-Style, to a location that makes any goddamn sense with the geography of this town.","@WolverKeith","pop culture",
"[Heavy Breathing Intensifies] I *LIVE* for these costumes: #Steampunk #Waldo and #CarmenSandiego #cosplay*faints* http://t.co/gHKa0hWOcC","@ShatteredStitch","style","x"
"🏃‍♀️🇲🇽🏃‍♀️🇲🇽🏃‍♀️Always on the move... Feeling like Carmen Sandiego... — traveling to Mexico City, Mexico from Aeropuerto Internacional de Cancun https://t.co/qBkxbqj5vJ","@waterchica999","travel","x"
"#childhoodshows I used to love: Archie's weird mysteries, Dennis the menace, where on earth is Carmen sandiego?, Magic school bus,","@RoshansPotions","pop culture",
"To whoever gave Erin Andrews the go-ahead to dress up like Carmen SanDiego today, thank you... thank you very much. http://t.co/Oci7RgVOTw","@RyanPappolla","fashion",
"@GibsonMenace77 I dated a Puerto Rican guy once. His mom looked like Chief Lynne Thigpen from Carmen Sandiego. :D","@Misha_Mayhem","pop culture",
"Forget Carmen Sandiego, where in the world is the YAG bus? https://t.co/glDrFq3Ush","@weakestlink99","pop culture",
"Where on the Globe is Carmen San Diego? #CircularTVandMovies","@CjB9181","pop culture",
"I have no idea where Azerbaijan would be on a map. Why didn't Carmen Sandiego teach me this country","@ryanrhoton","edutainment",
"Where in the World Is Carmen Sandiego? Becoming a Secret Travel Agent: Comments https://t.co/VeIPlTaw5X","@bartezzini","travel",
"#overheardatthebar ""he travels more than Carmen Sandiego"" re: #lebron #nbafinals #overtime @nattiesando","@miriamparker","travel",
"Red hats worked out for gnomes, Limp Bizkit, and Carmen San Diego.","@mattmcewan_","style",
"Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego https://t.co/W9TIS7leWj","@PedroArtino","pop culture",
"Who let Carmen Sandiego borrow my car!?","@TheSmittyNo1","pop culture",
"Carmen Sandiego was going around the world stealing and scamming in a fabulous trench coat and a hat. What's not to love? I bet her shoe game was flawless","@VicTORIousGable","style","x"
"How many of you learned geography by watching (or playing) _Where in the World Is Carmen Sandiego_? Well, guess what… https://t.co/oMdBMcqOjc #TV #games","@Best_Schools","edutainment",
"@MischiArt 🎃 Week #4's Halloween's commission for Zillidan. They wanted their gorgeous Illidari dressed as Carmen Sandiego! https://t.co/MVwBtXn9nH","@MischiArt","pop culture",
"@iSmashFizzle Loved that show... actually won my last office Halloween costume competition as my hero, the border hopping Carmen Sandiego! https://t.co/Ak6mbp806B","@likethemovie19","inspiration",
"Carmen Sandiego Is Officially Happening With Gina Rodriguez at Netflix #FactsApps #Fashion https://t.co/sUi89CegWm https://t.co/oCBl6kQGUB","@FactsApps","pop culture",
"Taking the 68 bus from Coney Island to Windsor Terrace is like playing a demented game of where in the world is Carmen Sandiego.","@patrickdijusto","travel",
"@stephan_draws Oh wait I flopped those. The red head one has elements I like (tats/burns and hair), the Carmen SanDiego one is more appealing (and I agree—heroic looking). I just like long flowy Wonder Woman hair ):","@tanatot","style",
"@No_ChillButton absolutely!!! I want to cosplay but I'm not sure as what yet. Maybe Carmen Sandiego","@asiaelle","style",
"Retweeted Jarett Wieselman (@JarettSays): Gina Rodriguez will star in and produce a live-action Carmen Sandiego movie for Netflix!!! She also voices the iconic character in an upcoming animated series https://t.co/2PrJ9su9kc","@willwritesgood","pop culture",
"Carmen San Diego is on my flight!!! #childhooddream http://t.co/y928lvvP5q","@Ericdehn","travel",
"My in-laws keep sending pics of their amazing trip to Europe. Where in the world is Carmen Sandiego? #rubitin http://t.co/aFdY4smoLP","@BrandonRieb","travel",
"I feel like Carmen sandiego in my red rain coat 😍","@StinaFilipina","style","x"
"New career goal. To be the male version of Carmen Sandiego. She got to travel the world and be a badass.","@GetWiggyWitIt","inspiration","x"
"@iSmashFizzle Wait, she was brown? I think I never put together that obviously ""Carmen San Diego"" is a Spanish name... Or I just never noticed the animated characters ethnicity. The Chief was clearly the hero, though.","@CrazedZooChimp","latina",
"@Rheadangs OMG YOU ALSO PLAYED THAT GAME? I KNEW THAT's A 90's Indian Girl Experience! I had such a crush on Carmen Sandiego seriously, which of course I thought was coz I liked her clothes 😂","@redqueensparta","lgbt",
"We was tryna catch Carmen San Diego before the bus came lol","@FlashTheSamurai","pop culture",
"@jwtierney @heikala_art I'm trying to make out if that black thing is an eyeshadowy eye, or the bottom brim of a hat and Carmen Sandiego. Nice visual duality.","@McLachlanBrian","style",
"@scattermoon That's unfortunate. A crowd member in a Carmen Sandiego hat could only have improved it... :)","@richmondbridge","style",
"@Taeler_Hendrix That hat!, maybe a brown trench and you could come in mysteriously like Carmen Sandiego","@kalimytona","style",
".@Snowden & his gf @lsjourneys dressed up as Waldo & Carmen Sandiego for Halloween.. officially the best couple https://t.co/MwVzlnScSy","@RonenV","style",
"@ikebarinholtz And also you shop at the same hat store as Carmen San Diego.","@AndrewMettler","style",
"I love my new hat, but today it made me look like an ""Exhausted Carmen SanDiego"". #IEvenTaggedLocatuonSoYouKnow #WhereInTheWorldIsCarmenSanDiegosStuntDouble @… https://t.co/aT2AmGVwaC","@bubafettt","style",
"Just booked a flight to NYC for the weekend before I head to Tel Aviv this summer! Move over Carmen Sandiego! #havepassportwilltravel","@txkelli","travel",
"@angwilliams @HiAndrewJenkins Halloween lifesaver! I have Carmen San Diego waiting to be revived if need be but thank you!","@lifewithlauren1","cosplay",
"Out here feeling like Carmen Sandiego 😂😂😂 does anyone else feel that way when they wear hats?! This… https://t.co/lcJVJGe4Wd","@jasmindailyblog","style","x"
"I swear I'm not this pale. Accidental Carmen Sandiego/Michael Jackson crossover cosplay. Happy Halloween all!! https://t.co/lQT3mwAl47","@Marchingham","style",
"Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego https://t.co/sAerLFX6g2 https://t.co/d01W6YxXD9","@migueldelfresno","pop culture",
"@fangirlsmash @BlackGirlNerds @ValerieComplex Carmen San Diego....why would we think she was Latina..Dora is actually Somalian by birth","@RonaldBlair45","latina",
"A Latina voiced by the great Rita Moreno in the cartoon series Where on Earth is Carmen Sandiego? https://t.co/nmjdcZ2D4t @ComputerHistory https://t.co/dkYdeh0fur","@gmcurley","latina","x"
"@RogerCaneda As much as you be traveling your name should be Carmen Sandiego lol hahah 😂 😂😂😂 much respect bro keep it up","@Michael85232236","travel",
"Pic of carmen_sandiego_ in #zanzibar | how is your trip so far? And as a #soultravel ? |… https://t.co/vtv0ypwQIA","@CuriousOnTz","travel",
"I LOVED educational games when I was little. I had no idea a dude from shark tank ruined the industry and almost took down Mattel at the same time. This article is great! https://t.co/hoJE2bgXX5","@ohhoe","nostalgia",
"Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego https://t.co/d3ypKHPSll #Netflix https://t.co/GIMkJgwF2s","@appmevee","pop culture",
"How Carmen Sandiego accidentally became an educational game icon https://t.co/dvYdcrzZBz https://t.co/bHV92ys6dq","@jackmonkeygames","inspiration",
"Bedelia looks like she's wearing the blue version of Carmen San Diego's outfit. #Hannibal #HannibalPremiere","@kt_pumpkinhead","style",
"Keep up wit me on my daily adventures on snapchat: Realtroy_boy and see if you can help me find ""Carmen San Diego"" 😂😭😂","@Realtroy_boy","travel",
"Carmen Sandiego did less traveling than Lebron.","@Gaizka_XOS","pop culture",
"Kate out here looking like Carmen San Diego with that hat on. #WaywardPines #PFWaywardPines","@LookListenPod","style",
"But seriously what kinda travel credit card does the Hurtful bae from #HurtBae have? That man is Carmen San Diego","@holadamilola","travel",
"Them:What are you gonna do when you grow up? Me: uh I learned the carmen sandiego theme song😉 I’ll be on my bike","@leaves_of_red","rockapella",
"No way phenomenon means exploring a cave @KenTremendous didn't you learn anything about spelunking from playing Carmen Sandiego?","@alexanderbasek","edutainment","x"
"It's cuz I took it and that glow saves lives! 💁🏻💁🏻 Carmen SanDiego is about to come out of hiding 🕵🏻‍♀️🕵🏻‍♀️ Adventures are our calling 👑 https://t.co/DQZIz585Jv","@mrowjazz","travel",
"OMG I was telling my technician recently about my awesome Carmen Sandiego halloween costume from a few years back, and she had no idea what I was talking about.","@Dr_DalilaRendon","style",
"@Cyndifferous @BurningStar_lV Why am I picturing you dressed up as Carmen Sandiego saying that to me 😭","@KidDisaster84","style",
"@seanfiction Wo in der Welt ist Carmen Sandiego? // The real adventures of Jonny Quest // Inspector Gadget // Galaxy Rangers","@Salavora","pop culture",
"She might be wearing black, not red, but I still found her! #carmen #carmensandiego #tokyo #omotesando http://t.co/6BTi4xVPG6","@EricJadi","style",
"Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego https://t.co/8k2CoE9jg7","@BuzzStandard","pop culture",
"I'm SO HAPPY that our @HereIsGina is going to be Carmen Sandiego, can't waitttttttttttttttt! thank u netflix","@4M_Ikochin","pop culture",
"They look hot. I love Lauren's hat. It gives me a Carmen Sandiego vibe. https://t.co/1rGGsv3vs1","@AIIyCap","style",
"@1Step_Ahead_ He's a hero! Gonna take pollution down to zero! Where in the world is... (deep voice) Carmen San Diego! I remember!","@krteach1","pop culture",
"My friend is going on an international trip. I asked her what is she wearing on said trip. First thing that pops in her head, “I’m taking my trench coat!” I said, “what? Why? It’s the Mediterranean? Who are you? Carmen San Diego?” Now she mad at me. Lol!!","@fabglance","travel",
"Thanks to SNL, I've now gone on a multi-hour trip to YouTube for ""Where In The World Is Carmen Sandiego"" clips. The 90's were fun, you guys.","@SethDRothman","travel",
"@tithenai That hat looks like Carmen Sandiego's hat. Spill it: that couch is really a world-famous couch and Acme gumshoes are after it, eh?","@ActsofAndrewB","style",
"They also have a collection of Carmen Sandiego hats. Typing at my phone so sales staff will stop hovering like buzzards.","@BeefcakeFactory","style",
"Watching Where On Earth Is Carmen Sandiego! I miss this show. The 90s were awesome. No more fun learning cartoons anymore for older kids. :(","@TCSoRandom","nostalgia",
"@jeannine5x5 also everyone in Paris is wearing giant floppy hats. Time to set your inner carmen San Diego free","@bonjour_pierre","style",
"YES!! My heart is swelling with latina pride💖💖 @HereIsGina https://t.co/quECKHEyIL via @dailydot","@mariana_anell","latina","x"
"@GoGirlGuides didn't see too many women travelers growing up but Carmen Sandiego was inspiring...so was my dad who traveled the globe","@ChocoChipRaisin","inspiration","x"
"@RedBeanz87 @hawkwrrdly did he get pk the carmen sandiego hat?","@audrey1nd","style",
"but it's led me to think a lot, between games like F76 and playing with VR, about video games and their potential to not just take you to other worlds but to really explore your own in a way and in a place you'd never thought of before gimme Carmen Sandiego VR pls","@criacow","pop culture",
"""you look like carmen sandiego."" ""thank you."" https://t.co/3IS4LdOrbi","@ernlindsay","fashion",
"LIVE on #Periscope: Halloween in NYC Where's Waldo & Carmen Sandiego FOUND @fulltimeexplore https://t.co/8Cj5Mc4aOQ","@lisipowers","style",
"@majornelson Explorer and id name it Carmen because thats where Carmen San Diego is hiding today. #freecodefridaycontest","@Natiredgals","pop culture",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV ... https://t.co/nIgjmxKfzw https://t.co/Mb8Yosw516","@sarahknows","edutainment",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show Ever The PBS game show w… https://t.co/i0uiCSkS3S","@wegetnews","edutainment",
"@mitskileaks now you have me thinking about carmen sandiego's hygiene habits.. but then I'm thinking that's prob why she always wore a hat","@lizpeterpants","pop culture",
"@astridmariaa You are becoming a world traveler. I think of you now as the old game ""Where In The World Is Carmen SanDiego?""","@L7Panda","travel",
".@JuniorExplorers is like an adventure-packed Carmen Sandiego for nature and wildlife: https://t.co/MTyOm7MT5r https://t.co/1Yru3S8xyD","@kickstarter","pop culture",
"@kidkerrigan @MajorTightpants @GOGcom (Seriously thank you I totally forgot about this!!! I remember Carmen San Diego was on there too!)","@kidkerrigan","pop culture",
"@mdachamp trench coats remind me of Casablanca and Carmen San Diego lol","@carriepearl_","style",
"I've learned a new game today. Where in the world is @Maggie_Hassan? Maybe Carmen San Diego knows. #nhpolitics #NHSen #DoYourJob","@Marcus_Cicero12","pop culture",
"My mother at Dottie's red hat, ""I thought that was Carmen Sandiego."" *dies laughing* #AgentCarter","@silverwolfstar7","style",
"Hey Gumshoes, @rjstorybreak and their guest @ElyseWillems have one hour to break the story of Carmen Sandiego, and you can listen to them do it: https://t.co/Xw4mP6igfE WHERE IN THE WORLD are you going to wear your #MaxFunDrive Story Break pin? https://t.co/NV8ixnpMGm https://t.co/3NQDc6DNzq","@MaxFunHQ","pop culture",
"Gina Rodriguez will be donning the red fedora and trench coat of Carmen Sandiego for Netflix https://t.co/LLWKVGjiO1","@tech_politics","pop culture",
"Carmen Sandiego 2017: Which V.I.L.E. henchman is killing elephants in Africa? - He has orange skin - His...hands are oddly small - His hair is made of scarecrow straw - He is learning English - He's changing his money into rubles","@joebhorton","pop culture",
"How many kids' parents got divorced in the 90s bc if you won Where In The World Is Carmen San Diego they only let one parent go with you on the trip?","@BetchesHeadPro","travel",
"If someone made Acme gumshoe jackets as worn on Where in the World is Carmen Sandiego, I would buy one & wear it until the sleeves fell off.","@LucyNaturae","style","x"
"Thirtieth anniversary of Carmen Sandiego marked with new iOS app: Global learning company Houghton Mifflin Har... https://t.co/EWVp8OCRrW","@appletechbytes","pop culture",
"@LovelyWindyVert Did we finally find her? All the globe hopping, chasing her cronies, and we found Carmen Sandiego?","@SheosMan117","travel",
"Is Boomer trying to be Carmen Sandiego? Or trying to bite @BJRains' style? https://t.co/YaNq0VrnoV","@MichaelLKatz","style",
"Let's play a game called Where in the Midwest is Danielle Allen? Set to the Carmen San Diego theme song. @xo_missdanielle #roadtrip","@LaurielMorales","travel","x"
"@LuuucyImHome Hi Lucy, my little brother's a fan of LACMA snapchat 😁 We had a good time working through today's posts Carmen Sandiego style!","@hueiyuanpan","pop culture",
"@dancingofpens I was waiting for someone to make a Carmen Sandiego joke thank you Camryn A++ as always. *high five*","@Caitlin_Renata","pop culture",
"I thought CL’s acting was weird and her voice sound dif then I watched the other 73 questions and they were the same..it seems like a clip off the where in the world is carmen sandiego game😭😭 i learned cool info and was served looks so i aint complaing","@chad_the_gemini","edutainment",
"Throw a hat on her and she's instantly carmen San Diego https://t.co/V8yUCcoF6y","@SpaceAgePimping","style",
"The best female villain in video games was the first one for many of us. Carmen Sandiego. Who's with me?","@Robert_Mason_SF","game",
"@Jumbahjackski technically not a costume cuz I wear this shit on the daily but u know I am Carmen Sandiego in real life out here travelin incognito","@Jumbahjackski","style",
"Learning world geography is________with the Where in the World is Carmen Sandiego game! #gamedev #retrogaming #education https://t.co/NiWS9DibmJ","@sjfostersound","edutainment",
"Where In the World Are Carmen Sandiego's Car Keys? #RuinAVideoGame @midnight","@Brewmeisterjw","pop culture",
"Spoiler alert: #CarmenSandiego escapes as the hero is only given 45 seconds to catch her. 🚨🚨🚨 🌎 https://t.co/AUmPnY10Gx","@Cshifty","pop culture",
"@Addy_Finch Carmen San Diego was one of my favorite costumes ever!","@14db1rd","style",
"Just another day being Carmen Sandiego #NSBE #frequentflier ... But I will be doing research work on this trip !! http://t.co/6ZhiziCWVY","@lightuptheFIRE","travel","x"
"#HappyHalloween from Carmen Sandiego Comic-Con, who may or may not have been at UCSD stealing the Geisel Library. It's amazing how much fits in those swag bags! #SDCC https://t.co/XdOcaEdh0I","@thelibbyweber","style",
"@pgervois @FarkleUp The cars are right between Waldo and Carmen SanDiego","@learnmath4us","pop culture",
"3 trains, 1 bus, 1 rickshaw, 1 boat, 1 car (so far). I feel like Carmen Sandiego.","@RamirezCarolina","travel","x"
"""Use Machine Learning to Find Waldo"" (https://t.co/Aa7YRc30ck) JK--Why don't you find Carmen Sandiego & Amelia Earhart while you're at it?","@jameskobielus","pop culture",
"@nrose I've just been informed that the dome was stolen, Carmen Sandiego-style, from a local high school.","@nrose","pop culture",
"Where are....? #CarmenSandiego #Waldo #Halloween #Halloween2018 #CouplesCostume https://t.co/7a7IalBB0Q","@littlesassilie","style",
"Chasing #CarmenSanDiego around the #world introduced me to #traveling and other #cultures. #youth #educationalgames","@kampind","travel",
"@Royceda59 #ASKROYCE59 Youve been all over the globe... Where is Carmen SanDiego?","@OhYeahBeats","travel",
"@bangishotyou @hello_amanda Bright red. The most inconspicuous color. He blends right in. If only he'd had Carmen Sandiego's red trench coat he could have just stolen the courthouse.","@Wyndgrove","style",
"The Miss of Misdemeanor, Carmen Sandiego! Women Who Are The Best At Being Evil: Our Favorite Villainesses, Baddies and Lady Evil Doers https://t.co/Sjl2ZVVNyR https://t.co/EB6BNnEVee","@BlkNrdProblems","pop culture",
"Get Gina Rodriguez a Giant Coat, Because She’s Doing a Live-Action Carmen Sandiego Movie https://t.co/nUfTtEcq1I via @Vulture","@The_News_DIVA","pop culture",
"I JUST REALIZED THAT CARMEN SANDIEGO IS IN THE BACKGROUND OF THE ALOLAN DUGTRIO COSPLAY???????","@silencedrowns","style",
"San Marino's capital is San Marino. I learned that from playing Carmen Sandiego https://t.co/3VVNjsMTXj","@vicky7news","edutainment",
"Fav cosplay couple: Waldo and Carmen Sandiego. #SDCC2017 #SDCC #WheresWaldo #WhereintheworldisCarmenSandiego","@elenalovesgames","waldo",
"Congratulations to Joy Hodgson who guessed that today's hat belongs to Carmen Sandiego and has won two free... http://t.co/ftCu6GM71E","@SBTCalgary","style",
"😀🙉🤗 #Magazine #Vulture : Get Gina Rodriguez a Giant Coat, Shes Doing a Live-Action Carmen Sandiego Movie | Vulture, please click here for details. #Magazine #Celeb #News #Today #Maga https://t.co/HAmPuMEM0f","@birbakmagazin","pop culture",
"Tempted to buy a sequin fedora for Carmen Sandiego. Too much? Is ""too much"" a myth? #burlesque #nerdlesque #cosplay","@BellaEntendre","style",
"Puh-reee juice has begun! Join us in 30 as we get EDUCATED, 1990 style with Where in the World is Carmen Sandiego? http://t.co/N8b7b47FFe","@SuperShilling","edutainment",
"Tried to turn Carmen Sandiego into a 1930s style toon. Idk if I like it but heck I worked hard so Im posting it. https://t.co/41rhVVstXE","@tru_SarahJin","style",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show … https://t.co/GRCLytkDw1 https://t.co/M0XtO9AlbM","@kumarmangla","edutainment",
"A green witch, maid in shade, and Carmen Sandiego walk into a bar... And lose at trivia #halloween @ Sunshine Saloon Sports Bar & Grill https://t.co/AbQYtmF4TD","@ImA_Lopez","style",
"@egabbert in a hat you could be easily mistaken for Carmen Sandiego and we're still looking for her.","@goingattraction","style",
"@cortezad Happy birthday mom! That's an awesome Carmen Sandiego coat!","@courtlanw","style","x"
"Listen up, gumshoes! Where in the World is Carmen Sandiego? began 25 years ago today on PBS w/ that iconic theme. https://t.co/ClxFSrUVtS","@thearcadeshow","rockapella",
"@EricaRHill Love that Carmen Sandiego hat u sportin' on the plaza this morning.","@LydJG","style",
"@JoyOnBroad You need to create a Peters meme with a Carmen Sandiego hat","@RoshD87","style",
"New look up on Northwest Blonde where I feel like #CarmenSanDiego https://t.co/DXLJ6aboMU #ootd #outfit #hats https://t.co/8oYg7yFKV8","@aluiza__","style",
"""Congrats! Have u been traveling with Carmen Sandiego, you're a world traveler!"" (9 out of 10! ) http://t.co/tOf4AEI2Iv via @play_buzz","@Beldodie","travel",
"I owe 90% of my elementary school education 2 Wishbone(literature),Where n the World is Carmen Sandiego(geography),Magic School Bus(science)","@yessicana","edutainment",
"Miguel's latest reaches into the history of educational games, and explores how one in particular wanted to teach us to teach ourselves. Opened World: Finding Her - Miguel Penabella travels the world with Carmen Sandiego. https://t.co/CeoBhzChJC https://t.co/CqsmaRMX78","@haywiremag","edutainment",
"On my way to a fun job today! Put my Carmen Sandiego hat so you'd know how to find me! #voiceover #videogames https://t.co/nKDzRbzF8x","@TasiaValenza","style",
"Someone please dress up as Waldo and I'll dress up as Carmen Sandiego and together we will win Halloween.","@rachaelandrew4","style",
"I loved both the cheesy kids quiz show and the animated series so I'd be 100% here for Carmen Sandiego no matter how it looked. The fact that the art style looks legit awesome is just incredible icing on top. https://t.co/SbXJ4cZbgd","@jobias","pop culture","x"
"@ladyluvstech We had a desktop when I was 5, lots of learning games. Math puzzles + Carmen San Diego were my early childhood #ladylovescode","@whatthefoz","edutainment",
"The Spyder is back from vacation. Never did find Carmen San Diego. #sneakybeatch","@spydieshooter","travel",
"@RobaatoX It's the sequel to Where in the World is Carmen Sandiego? Mainly cuz the hat.","@BlazeHenry1","style",
"Carmen Sandiego @ Burlington International Airport - BTV https://t.co/oDYIacRLUa","@Ben_Walking_AT","travel",
"@faeryfawnxx Dude it's like a Carmen SanDiego summer outfit, I dig it","@JimPhee","style",
"@Model3Owners Thankful for my delivery the day before Thanksgiving. Ordered & delivered within 2 weeks! We’re happy with our new car, Carmen, Carmen Sandiego that is.! ❤️💥 @Tesla @elonmusk https://t.co/Smb1HqScif","@LaurenFrancisco","pop culture",
"#Gina #Rodriguez Will Play The Iconic #Carmen Sandiego In An Upcoming Netflix Live-Action Film https://t.co/Eq1L6JvbmN","@jenkers_en","pop culture",
"Sometimes flights itineraries to NZ look like a plan to chase Carmen Sandiego. 👄💼👢💰✈️🌎 https://t.co/msYvE1dxwa","@ms_zanderblot","travel",
"@ryansatin I'd love to see a ""Where In The World Is Carmen San Diego"" relaunch. Educational while still entertaining.","@dansaint5879","edutainment",
"Halloween sightings: Thing 1 and 2, Cat in the Hat, Waldo & Carmen Sandiego. If you're looking for the last two, try Hampden. #Baltimore","@CorinneL","style",
"I've decided on Carmen Sandiego for Halloween.... I feel like I'm the only one who knows who that is but whatever😂","@DanielleSharick","style",
"Sophia looking like Carmen San Diego with that hat. #Gotham https://t.co/Gc6qIrGOiA","@Dream_Legos","style",
"It is super hard for me to tell if someone is #Cosplaying as #AgentCarter or #CarmenSandiego. #Wondercon #Cosplay","@Kr0nusAlphaGeek","style",
"Just realized the best cosplay photo would be Waldo and Carmen Sandiego together.","@j_hat","style",
"Aztecs might be from Carmen San Diego with all this traveling. #kubball","@FakeKUCJay","travel",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show … … https://t.co/QJIwweDOsl","@sabrina_sow","edutainment",
"Good luck finding us. #BigRedBoos #halloween #carmensandiego #waldo https://t.co/pd0cpaZv1k","@Jennmag07","cultural icon",
"A nurse, a superfan, a farmer, Carmen Sandiego, the Queen, a jazzy accountant, & Taylor Field would like to wish you all a #HappyHalloween https://t.co/uoqEMOQLhs","@SaskCanola","style",
"Netflix is learning how in the world to play the franchise game with Carmen Sandiego https://t.co/1ZX8yAgiXE","@WY_Butler","pop culture",
"@ConnorBlades Actually if this was red she could put on the wide brim hat and you couldn't convince me that she isn't Carmen Sandiego.","@ConnorBlades","style",
"If I ever do a couple's Halloween costume, I definitely want to go as Carmen Sandiego and Where's Waldo. #relationshipgoals","@moses_says","style",
"@philademusic “@philademusic: y'all done with wearing the carmen san diego hats yet?”","@DntBeGoodBeDave","style",
"@latrinaa35 more Carmen San Diego hat pics for you https://t.co/NnZacgexS8","@BecksLS30","style",
"Gina Rodriguez Is Going To Be Carmen Sandiego In A Live-Action Film And I'm Breaking Out My Red Fedora To Celebrate https://t.co/SZGCtTqzJZ https://t.co/dYAUn4OWhP","@PeopleStarWorld","pop culture",
"think im gonna be 'carmen sandiego' for Halloween since ppl claim I be MIA and ducked off. https://t.co/LgcGH8st9z","@ADoseOf_Anna","style",
"@RyllenEscent well, the original Carmen Sandiego traveled a lot to steal stuff from all over the world in the name of teaching us geography","@0xymoroff","edutainment",
"Carmen on the move again. #HappyHalloween #carmensandiego https://t.co/GvCqGO96d1","@oOh_tati","style",
"I think I just spotted the greatest couples costume in history at Tomorrowland. One person was Waldo and the other was Carmen Sandiego. That is incredible and more people should do it.","@michaeljande19","cultural icon","x"
"My itch to travel is growing every day as I wonder where Carmen San Diego is... https://t.co/uIzAiW2MqZ","@Birdie_Blues","travel","x"
"@CodeNameLiz I'm feeling that Carmen Sandiego hat","@theFLYinHAWiian","style",
"Would be played in a click-and-point adventure style. Inspired by Where in Time is Carmen Sandiego, Collar x Malice, Papers Please and a tad of Assassin's Creed?","@maplethistles","pop culture",
"You know, the jackets my momma and daddy have been wearing lately got them looking like Carmen Sandiego and Inspector Gadget respectively.","@FearlessRiOT","style",
"Some of Yall be cute as shit in ya lil Carmen Sandiego hat","@FallofTres","style",
"Rasheeda and this Easter Sunday hat, looking like Carmen San Diego...honey, YESSS!! #Lhhatl","@YAGURLWOODY","style",
"I may have been late, it may have been my easiest costume to date, it may have been quiet and I was too busy this weekend to do both days, but I honestly had a great time at Games Expo Ireland yesterday. Carmen Sandiego has been a love of mine for a l… https://t.co/RTAUbC88Zz https://t.co/2IjTRgdhVT","@withoutastitch","style",
"Going on a nostalgia trip into 90s educational computer games. Logical Journey of the Zoombinis! Treasure Cove! Carmen SanDiego!","@atsirkuw","nostalgia",
"using Where in Time is Carmen Sandiego? as inspiration for homework #conceptdevelopment #chyeah 🌎🌀","@shotanarrow","pop culture",
"I need a girlfriend only so she can be Carmen Sandiego while I'm where's Waldo for Halloween.","@EricAldstadt","style",
"@AndrewzCooper At least it wasn't Carmen Sandiego. That song would have driven him crazy.","@icarus_two","pop culture",
