"contents","author","category","star_tweet"
"I was always a little bit intimidated by Carmen Sandiego. Such a powerful world traveler","@HoolieCC","travel",
"Happy Halloween from all the ghouls and goblins at ROBOT! #halloween2016 #dayofthedead #CarmenSanDiego #peewees #ellewoods #Pokemonhalloween https://t.co/Jsx7qcQi49","@RobotCreative","style",
"bought wifi to do work on an airplane feeling like such a clickety clack clack carmen san diego bitch","@rivianna","travel",
"#throwbackthursday to a day in the Tuscan sun. Getting that #wanderlust vibe. Where to next!? #carmensandiego #travelblogger #travel #bringiton #beachbodycoach #writerslife… https://t.co/0vRNRP41kY","@SillypantsB","travel",
"Getting in touch w/ my inner Carmen SanDiego and planning a trip to Californa. Need sun and waves like meds. #toomuchwinter #snowblows","@PatriciaMartin","travel","x"
"https://t.co/lI7gjTroha Where in the World is Carmen Sandiego? is an educational video game released by Broderbund in 1985. It is the first product in the Carmen Sandiego franchise. #amiga #Commodore @retrogamer_ca @Amigamers @amigaforever","@RobbieStrike3","pop culture",
"@Timmyham @awcrandall I though it was Carmen San Diego too. I think it's the hat.","@RamonCreates","style",
"@netflix rebooting ""Carmen Sandiego"". Jane the Virgin's Gina Rodriguez will voice the red fedora and trench coat-w… https://t.co/OWPyjk2RNB https://t.co/yKjCIHyGis","@TheCozmicLeague","pop culture",
"@TheSubtleDoctor @sniperking323 Carmen Sandiego cartoon taught geography, Bill Nye taught science, Wishbone taught literature,","@joyofthejoui","edutainment",
"One of the pros of a script it lets me write stuff like ""her outfit is like a black palette swap of Carmen Sandiego's."" #screenwriting","@handsomefatman","style",
"@peytonpclark @handsbrini @SariCarpenter Wow I love @SariCarpenter’s costume. Carmen San Diego, creative. https://t.co/hSmHPSAz1h","@sabrinasbeatle","style",
"@KaleKatsura Hey, RPGs=story,decisionmaking consequences (FFIV,FFVI)Where in the world is carmen sandiego-who says education can't be fun?","@rkmodena","edutainment",
"@idontlikemunday I clearly need to read ""We Can Fix It."" (And also I can't believe I didn't think of Carmen Sandiego as a time-traveller!).","@cynaragee","pop culture",
"@TheChicGovGeek World renowned criminal mastermind and fashion icon… Carmen Sandiego!! #WomanCrushEveryday","@JavierLopezMSA","fashion",
"How am I supposed to wear a trench coat and not look like Carmen Sandiego?","@JagiferAnn","style",
"Castlevania, Chilling Adventures of Sabrina, Bojack, Disenchanted, SheRa: Princesses of Power & Now Carmen Sandiego! Seriously guys there's never been a better time to be a @netflix subscriber!! If you want fantastic original content do yourself a favor and Subscribe ASAP!!!","@ASliceofComics","pop culture",
"Women gon go get these trench coats for the fall and SAH-wear that they the ghetto Carmen Sandiego, I'm here for it though! I got mine https://t.co/u3mt3L0Kdk","@TheWalker17","style",
"@katiebakes I learned ""dossier"" playing Carmen Sandiego...","@ChrisDunkerLJS","edutainment",
"Happy Halloween from my costumes over the years... #PaperDoll #CarmenSandiego #JoyceByers #Dendelion #BabushkaDoll #MortonSaltGirl #Aquarius #Peacock","@HeidiALuerra","style",
"Strongly considering buying a red coat and hat and being Carmen Sandiego for Halloween","@faeriefountain","style",
"On the road again....#carmensandiego #arttour @ Chicago O'Hare International Airport https://t.co/xNWdztITHA","@DContrerasart","travel",
"I played oregon trail, cross country canada and carmen sandiego when I was in elementary school HELL YEAH","@aantifreeze","edutainment",
"All I want in life is someone who will couples costume as Waldo and Carmen San Diego with me","@TiatheTiger","style","x"
"Carmen Sandiego is my fucking hero. #FridayThoughts","@StellaLibretto","inspiration",
"@iwata77 I wish I wore a fedora and a beige trench coat so this would make sense! 😂😂 #carmensandiego","@jvhtu99","style",
"@cakeandmadness Please for the love of all things holy cosplay Carmen Sandiego","@theresaninkspot","style",
"@VanityLaviie thank you Carmen Sandiego","@_Beezo__","pop culture",
"I think I loved watching Carmen Sandiego so much because all she did was travel around the world and have ... https://t.co/ZDWaUc1TdF","@barbierants","travel",
"What if your father was a big opera fan and named your first pet. And your last vacation was to take your kids to the San Diego Zoo? See where I’m going with this? Your detective name would be Carmen San Diego.","@RickSandersLaw","travel",
"@andylassner From Dora the Explorer to Carmen San Diego in one trip. Is this her idea of Hispanic outreach?","@Kingwoman","latina",
"watching a 1992 episode of WHERE IN THE WORLD IS CARMEN SAN DIEGO and I forgot how big of a role hats play in this show.","@tomshea","style",
"@bpsycho1 solid choice, I love me a femme fatale my top fictional girlcrush is still carmen sandiego >__>","@jaythenerdkid","feminism",
"Thanks ""Where in Time is Carmen Sandiego"" for teaching me about him when I was younger.","@chasebunker","edutainment",
"@michelestork @EdSurge I love that some of the older games are resurfacing for the current generation. Carmen Sandiego taught us so much! #eme5053","@AmberPacheco113","nostalgia",
"Plan a last-minute vacation like a freaking pro. *cue Carmen Sandiego* http://t.co/H4lPHgGOvk","@map_happy","travel",
"Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego https://t.co/qiLcFd512Q","@asideGeek","pop culture",
"@McFlyCasual Traveling with Carmen San Diego. No one can find her either.","@m_alegria23","travel",
"@iglvzx carmen sandiego is a lesbian icon but she's also a cop who steals from indigenous cultures purely bc she's bored","@MarkLoafers","inspiration",
"""What's that, a trench coat? You look like Carmen Sandiego."" - @jumpferjoy","@mjbahrenburg","style",
"When your pops surprises you with a snazzy new chapeau from @TilleyEndurable :) Where on Earth is the new #CarmenSandiego ? She's in Leeds, mate xx #ActorsLife #Hat https://t.co/vebjyZaAdg","@RachelBActor","style",
"I've changed my mind like 1000 times, but I think I'm going to be Carmen Sandiego for Halloween. G is gonna be Waldo 😂❤️","@HisWinoWifey","style",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show Ever #education #tv https://t.co/bFNslDxhnh","@PaulDarvasi","edutainment",
"@ZaDarkHero THE MUSIC IS A GREGORIAN STYLE VERSION OF THE CARMEN SANDIEGO THEME","@CandyArachnid","pop culture",
"Fitz channeling Carmen Sandiego in a @BrixtonMfg hat #wornattherippedbodice https://t.co/OMnfOcnJOx","@TheRippedBodice","style",
"Is it weird to want a queer-er version of Ivy's outfit from Carmen Sandiego? #whereintheworld #carmensandiego #90skid","@EauxYesExclmtn","lgbtq",
"Carmen Sandiego, the world’s most iconic Latina super villain, is back https://t.co/C0ekmshKs0 https://t.co/pZNWYpnxw7","@arrowsmith","latina",
"@BryanInSpace where are you?! Your pictures make you look like you travel like Carmen San Diego","@taraperry","travel","x"
"@radspacegal Reminds me of when I played Where in the World is Carmen Sandiego in Italian, Spanish, German, French to make game last longer!","@GoldStarMarimo","pop culture - game",
"#Where in the #world? #Carmensandiego #Halloween #costume @ PeraBell Food Bar Riverhead https://t.co/0QYHUWAarg","@ktkatrina","style",
"Took some time to introduce the kids to Oregon Trail and Where in the World is Carmen San Diego today. They taught me about #Minecraft.","@Real1Alexander","nostalgia",
"I just read that Netflix is making a Carmen Sandiego movie 😮😮😮 Carmen sandiego is my childhood!I loved that cartoon it was one of my first strong woman influences cause she always got away always stayed on top 💕 I hope the movie can match up to my fuzzy childhood memory’s 😅","@Pearberrie","feminism","x"
"The scariest Black Hat talk? Project Carmen Sandiego. http://t.co/PIL1DKQ2pH said @deantak","@mikko_2010","style",
"@KnockOutBreaks A where is Carmen Sandiego hat let's go","@GoldenEyeO07","style",
"@Lin_Manuel Is the coat your equivalent of Carmen Sandiego's hat? Where in the world is Lin-Manuel Miranda would be a catchy TV series, given how much you travel ;)","@celizst","travel",
"@AltDptEducation Bill Nye the Science Guy and Where in the World is Carmen Sandiego. PBS all the way.","@mouse_clicker","nostalgia",
"@mklachu (You know, like Carmen Sandiego and how she travels around. And because of her, I get to *explore* the magical wonders of e-violining :^))","@mklachu","travel",
"@carolinaravassa @sweeetanj That hat is making me think of Carmen Sandiego, and now I kinda want to hear you voice her in a reboot.","@UhThisIsPatrick","style",
"Jessica is turning into a modern day Carmen Sandiego with all of these MF trips she's taking 🙄🙄","@samcarvajal_","travel",
"Will power: seeing a woman with a floppy red hat, a red trench coat and sunglasses and not tweeting ""There in the World is Carmen Sandiego""","@byarijoseph","style",
"James Bond with Carmen Sandiego. What a fun costume Ms Brenda. @ The Lion King Minskoff Theatre… https://t.co/uUo1e6SXYG","@iamjuliansilva","style",
"Straight up just saw a guy dressed as the dude from Hellsing and high fived this guy saying “sweet Carmen San Diego outfit.” I notice after he wasn’t Carmen San Diego","@Lavinasaurus","style",
"@Ferns__ Air travel isn't exactly noted for security of personal information... https://t.co/07LDIcMVAN","@shallowydeep","pop culture",
"@BlackGirlNerds @ValerieComplex Her name was Carmen Sandiego. How does that not scream Hispanic?","@boatloadsbaley","latina",
"Everything we needed to learn about being successful as adults we learned from playing Oregon Trail & Where in the World Is Carmen San-Diego","@FranklinForward","role model",
"Dentists And Furbies - An homage to Carmen Sandiego about a car accident that will try to stealth past Zeuses.","@discord99057751","pop culture",
"@goldengateblond I was gonna say it reminds me of Carmen Sandiego but I think she wore a red hat.","@GenGenLove","style",
"Where in The World is Carmen Sandiego? will teach you where Lima is, plus a few other things about nature & physics. http://t.co/C6OBk4pcmJ","@InternetsMike","edutainment",
"On a brighter note, I dressed up as Carmen Sandiego for Halloween. https://t.co/CYAIJWMl9b","@thatpeterfox","style",
"@bartlett84 @BRUBromley I've figured out what's wrong with kids these days. They don't have Carmen San Diego as a role model!","@croweturtle","inspiration","x"
"literally me. I can so far speak french fluently but conversational farsi, Spanish, Korean and Amharic (Ethiopian)\. Anyone willing to teach me more conversational languages are more than welcome but I need to be #CarmenSanDiego therefore I learn what I can https://t.co/zFhcOxi1f4","@Diamond_ChaseMi","edutainment",
"Worlds collided tonight #90s #kids #molly #bigcomfycouch #carmensandiego #halloween #costume https://t.co/ZA2hhgyUCY","@cassie_sokol","style",
"Rapper TheBasementStatement Iconic! Netflix Is Bringing Back OG Scammer Carmen Sandiego & Everyone Is GEEKED https://t.co/HjJdcEVuJE","@Kneegrowpolice","pop culture",
"https://t.co/RBdwMsfuzd VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show … https://t.co/2EL0qB9Ikd","@MicheleGerren","edutainment",
"@raiden I was Carmen Sandiego for Halloween last year. Oh god, that reminds me of my crippling anxiety of what to do this year. @_@ Fly safe!","@giapet","style",
"Seriously? Nobody thought of checking the airport for her until now?? #CarmenSandiego http://t.co/dXXs7fdeST","@todmaffin","travel",
"Plan to make travel a higher priority into the latter portion of this year & beyond. Carmen Sandiego is my spirit animal. 🙏🏾","@ElysianHue","travel","x"
"What You Learn Hunting Carmen Sandiego Without Google's Help https://t.co/Y6ZMxcABeA #google","@_newstech_","edutainment",
"@TehZerp Next you're going to be hating on Where in the World is Carmen Sandiego. I dont even know you anymore. DO IT ROCKAPELLA","@thedopp","pop culture",
"That be the funniest when somebody who’s clearly from the other part of town get on your bus at 1am dressed like Carmen Sandiego trying to act like they not on some creepy mission","@MattMakesMeSick","pop culture",
"Where On Earth Is Carmen Sandiego is an old favorite of mine from childhood. I was raised by examples of powerful Women... Not Feminists. https://t.co/zjddX9JH20","@SaitoNetwork","feminism",
"@BisHilarious Carmen Sandiego was my first ever girl crush, I kid you not. I am 100% serious about this. Now no real woman can compare","@NicolaMcCaskill","pop culture",
"@sophaskins @catehstn exactly. Carmen SanDiego was smart and solved mysteries and traveled the world. She also had a great theme song","@osgOlivia","inspiration",
"You'd think a woman in a red coat and hat would be easier to find. But Carmen Sandiego is still as elusive as ever!!! >:C","@Poisonedcandie","style",
